Token,Condition,Prefix2,Prefix1,Root,Suffix1,Suffix2,Wordlength,Monomorpheme,MonoPrefix2,MonoPrefix1,MonoRoot,MonoSuffix1,MonoSuffix2,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,MonoErrorPrefix2,MonoErrorPrefix1,MonoErrorRoot,MonoErrorSuffix1,MonoErrorSuffix2,MonoChangedIndexP2,MonoChangedIndexP1,MonoChangedIndexR,MonoChangedIndexS1,MonoChangedIndexS2,errortype,Word1,Word2
yot,pr,,de,gage,,,3,edggae,,ed,ggae,,,,tegage,degade,,,,0.0,2,,,,epggae,edgvae,,,,1.0,1,,,Root,yot,degade
preyotioner,pprs,un,de,gage,ion,,11,nuedegganoi,nu,ed,egga,noi,,umdegageion,undigageion,undegagaion,undegageien,,1.0,1.0,3,1.0,,luedegganoi,nuadegganoi,nuedogganoi,nuedegganai,,0.0,0.0,0,1.0,,NoErrorMono,nuedegganoi,nuedegganoi
preyot,rs,,,ter,able,,6,ertblea,,,ert,blea,,,,temable,teraple,,,,2,1.0,,,,urtblea,ertbjea,,,,0,1.0,,NoErrorMono,ertblea,ertblea
preelserion,pprs,un,de,yot,ful,,11,nuedtoylfu,nu,ed,toy,lfu,,endeyotful,unteyotful,undeyosful,undeyotfel,,0.0,0.0,2,1.0,,yuedtoylfu,nuudtoylfu,nuedtonlfu,nuedtoyyfu,,0.0,0.0,2,0.0,,MonoSuffix1,nuedtoylfu,nuedtoyyfu
egahioner,prss,,de,hidad,er,ion,9,eddiahdrenoi,,ed,diahd,re,noi,,dihidaderion,depidaderion,dehidademion,dehidaderior,,1.0,0,1.0,2.0,,esdiahdrenoi,eddiehdrenoi,eddiahdronoi,eddiahdrejoi,,1.0,2,1.0,0.0,MonoPrefix1,eddiahdrenoi,esdiahdrenoi
inemsoion,ppr,de,un,emso,,,9,ednumose,ed,nu,mose,,,dounemso,deanemso,deunemdo,,,1.0,0.0,2,,,adnumose,edrumose,ednumote,,,0.0,0.0,2,,,Prefix2,inemsoion,dounemso
ehu,pr,,de,yot,,,3,edtyo,,ed,tyo,,,,heyot,deyet,,,,0.0,1,,,,estyo,edsyo,,,,1.0,0,,,NoErrorPoly,ehu,ehu
pregageer,ppr,de,pre,egah,,,9,edperaehg,ed,per,aehg,,,hepreegah,degreegah,depreedah,,,0.0,0.0,1,,,epperaehg,edpemaehg,edperaehs,,,1.0,2.0,3,,,MonoPrefix1,edperaehg,edpemaehg
els,pr,,in,emso,,,3,nioems,,ni,oems,,,,imemso,inemsi,,,,1.0,3,,,,mioems,niooms,,,,0.0,1,,,MonoSuffix1,nioems,
unels,rs,,,ter,ful,,5,rteufl,,,rte,ufl,,,,tarful,terpul,,,,1,0.0,,,,lteufl,rteutl,,,,0,1.0,,NoErrorMono,rteufl,rteufl
ter,pr,,pre,sop,,,3,perops,,per,ops,,,,prosop,predop,,,,2.0,0,,,,herops,peropp,,,,0.0,2,,,NoErrorMono,perops,perops
