first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
préreinprév,préreinprév,pppr,ppp,,prév,pré_re_in,,préreinprév,target,p,0.0,0,p,c,créreinprév,0
érpsédnimierelbatnem,érpsédnimierelbutnem,ppprss,ppp,ss,mier,érp_séd_ni,elba_tnem,érpsédnimierelbatnem,control,s,0.0,3,a,u,érpsédnimierelbutnem,1
prédéfoirionelité,prédéfoarionelité,pprsss,pp,sss,foir,pré_dé,ion_el_ité,prédéfoirionelité,target,r,,2,i,a,prédéfoarionelité,1
reindécrus,reindécrus,pppr,ppp,,crus,re_in_dé,,reindécrus,target,p,2.0,0,d,s,reinsécrus,0
erléutnoileéti,erléutnoileéti,prsss,p,sss,léut,er,noi_le_éti,erléutnoileéti,control,r,,2,u,e,erléetnoileéti,0
insoutronionelité,insoutronionelité,pprsss,pp,sss,tron,in_sou,ion_el_ité,insoutronionelité,target,s,2.0,1,t,s,insoutronionelisé,0
préinsouscertable,préinsouscertaple,ppprs,ppp,s,cert,pré_in_sous,able,préinsouscertable,target,s,0.0,1,b,p,préinsouscertaple,1
poulent,poulent,rs,,s,poul,,ent,poulent,target,s,0.0,0,e,o,poulont,0
érperniriofelbatnem,érpernimiofelbatnem,ppprss,ppp,ss,riof,érp_er_ni,elba_tnem,érperniriofelbatnem,control,r,,0,r,m,érpernimiofelbatnem,1
érpersiatnoi,érpersiatnoi,pprs,pp,s,siat,érp_er,noi,érpersiatnoi,control,p,0.0,2,p,b,érbersiatnoi,0
ersurc,orsurc,pr,p,,surc,er,,ersurc,control,p,0.0,0,e,o,orsurc,1
retais,retais,pr,p,,tais,re,,retais,target,p,0.0,1,e,i,ritais,0
repoul,repoul,pr,p,,poul,re,,repoul,target,r,,1,o,e,repeul,0
erédrèimtneleetsi,erédrèimtneleetsi,pprsss,pp,sss,rèim,er_éd,tne_le_etsi,erédrèimtneleetsi,control,s,2.0,2,s,c,erédrèimtneleetci,0
ninaseuqitnem,niraseuqitnem,prss,p,ss,nas,ni,euqi_tnem,ninaseuqitnem,control,r,,0,n,r,niraseuqitnem,1
cortionelment,cortionelment,rsss,,sss,cort,,ion_el_ment,cortionelment,target,r,,1,o,é,cértionelment,0
préreinpoulanteliste,préreinpoilanteliste,ppprsss,ppp,sss,poul,pré_re_in,ant_el_iste,préreinpoulanteliste,target,r,,2,u,i,préreinpoilanteliste,1
érpermoc,érpermop,ppr,pp,,moc,érp_er,,érpermoc,control,r,,2,c,p,érpermop,1
reinsurboitant,reinsurboitant,ppprs,ppp,s,boit,re_in_sur,ant,reinsurboitant,target,p,1.0,0,i,a,reansurboitant,0
remait,jemait,pr,p,,mait,re,,remait,target,p,0.0,0,r,j,jemait,1
erniédsurceuqitnem,erniédsurceuqitnem,ppprss,ppp,ss,surc,er_ni_éd,euqi_tnem,erniédsurceuqitnem,control,s,1.0,3,m,l,erniédsurceuqitnel,0
préreinjaunionelité,préreinjaunionelité,ppprsss,ppp,sss,jaun,pré_re_in,ion_el_ité,préreinjaunionelité,target,r,,0,j,r,préreinraunionelité,0
erlémle,arlémle,prs,p,s,lém,er,le,erlémle,control,p,0.0,0,e,a,arlémle,1
