first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
préreinboitant,préreinboitant,ppprs,ppp,s,boit,pré_re_in,ant,préreinboitant,target,p,2.0,1,n,r,préreirboitant,0
reindéjaunment,reindejaunment,ppprs,ppp,s,jaun,re_in_dé,ment,reindéjaunment,target,p,2.0,1,é,e,reindejaunment,1
érpernimelkelba,érpernimelkelba,ppprs,ppp,s,melk,érp_er_ni,elba,érpernimelkelba,control,p,2.0,1,i,e,érpernemelkelba,0
erniédvérptnem,erniédvérptnem,ppprs,ppp,s,vérp,er_ni_éd,tnem,erniédvérptnem,control,r,,1,é,i,erniédvirptnem,0
nortnoiletnem,nortnoiletnem,rsss,,sss,nort,,noi_le_tnem,nortnoiletnem,control,r,,2,r,n,nontnoiletnem,0
érpédtrat,érpadtrat,ppr,pp,,trat,érp_éd,,érpédtrat,control,p,1.0,0,é,a,érpadtrat,1
érpernirèim,érpernilèim,pppr,ppp,,rèim,érp_er_ni,,érpernirèim,control,r,,0,r,l,érpernilèim,1
édvérpnoiletnem,odvérpnoiletnem,prsss,p,sss,vérp,éd,noi_le_tnem,édvérpnoiletnem,control,p,0.0,0,é,o,odvérpnoiletnem,1
prédésinfoireux,prédésinfoireux,ppprs,ppp,s,foir,pré_dés_in,eux,prédésinfoireux,target,p,1.0,2,s,v,prédévinfoireux,0
érpsédnitiamnoieria,érpsédnitiemnoieria,ppprss,ppp,ss,tiam,érp_séd_ni,noi_eria,érpsédnitiamnoieria,control,r,,2,a,e,érpsédnitiemnoieria,1
mierlaéti,mierlaéto,rss,,ss,mier,,la_éti,mierlaéti,control,s,1.0,2,i,o,mierlaéto,1
érpernicibnoi,érpernicibnoi,ppprs,ppp,s,cib,érp_er_ni,noi,érpernicibnoi,control,p,2.0,0,n,r,érperricibnoi,0
ercibtsieuqi,ercibtsieuqi,prss,p,ss,cib,er,tsi_euqi,ercibtsieuqi,control,r,,0,c,d,erdibtsieuqi,0
léutxue,léatxue,rs,,s,léut,,xue,léutxue,control,r,,2,u,a,léatxue,1
nekalnoiletnem,nekannoiletnem,prsss,p,sss,kal,ne,noi_le_tnem,nekalnoiletnem,control,r,,2,l,n,nekannoiletnem,1
