first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
bourant,vourant,rs,,s,bour,,ant,bourant,target,r,,0,b,v,vourant,1
indélansant,indélansant,pprs,pp,s,lans,in_dé,ant,indélansant,target,r,,3,s,t,indélantant,0
rèimtne,rèimtnà,rs,,s,rèim,,tne,rèimtne,control,s,0.0,2,e,à,rèimtnà,1
rusnefab,rusnetab,ppr,pp,,fab,rus_ne,,rusnefab,control,r,,0,f,t,rusnetab,1
reindéfoiranteliste,reindéfoiranteliste,ppprsss,ppp,sss,foir,re_in_dé,ant_el_iste,reindéfoiranteliste,target,r,,3,r,n,reindéfoinanteliste,0
reinsurprévionelment,reinsurprévionelment,ppprsss,ppp,sss,prév,re_in_sur,ion_el_ment,reinsurprévionelment,target,p,1.0,0,i,é,reénsurprévionelment,0
détron,détjon,pr,p,,tron,dé,,détron,target,r,,1,r,j,détjon,1
érpsédniriofle,érpsédniriofle,ppprs,ppp,s,riof,érp_séd_ni,le,érpsédniriofle,control,s,0.0,0,l,m,érpsédniriofme,0
désinlansionel,désinlinsionel,pprss,pp,ss,lans,dés_in,ion_el,désinlansionel,target,r,,1,a,i,désinlinsionel,1
ernirustrecnoileéti,ernirustrecnoileéti,ppprsss,ppp,sss,trec,er_ni_rus,noi_le_éti,ernirustrecnoileéti,control,r,,2,e,o,ernirustrocnoileéti,0
lémnoile,lémnoile,rss,,ss,lém,,noi_le,lémnoile,control,s,0.0,2,i,e,lémnoele,0
sédnimiernoileéti,sédnimiernoileéti,pprsss,pp,sss,mier,séd_ni,noi_le_éti,sédnimiernoileéti,control,s,2.0,2,i,e,sédnimiernoileéte,0
inintersananteliste,inintersananteliste,pprsss,pp,sss,san,in_inter,ant_el_iste,inintersananteliste,target,s,2.0,0,i,e,inintersananteleste,0
ersurcnoiletnem,ersurcnoiletnem,prsss,p,sss,surc,er,noi_le_tnem,ersurcnoiletnem,control,r,,1,u,i,ersircnoiletnem,0
inboitionelment,inboitionelment,prsss,p,sss,boit,in,ion_el_ment,inboitionelment,target,p,0.0,0,i,e,enboitionelment,0
trec,trec,r,,,trec,,,trec,control,r,,2,e,a,trac,0
erniruslifnoileéti,irniruslifnoileéti,ppprsss,ppp,sss,lif,er_ni_rus,noi_le_éti,erniruslifnoileéti,control,p,0.0,0,e,i,irniruslifnoileéti,1
surcnoileemsi,surcnoileemsi,rsss,,sss,surc,,noi_le_emsi,surcnoileemsi,control,s,2.0,0,e,a,surcnoileamsi,0
reinsurcertenteliste,reinsurcertenteliste,ppprsss,ppp,sss,cert,re_in_sur,ent_el_iste,reinsurcertenteliste,target,s,0.0,2,t,c,reinsurcertenceliste,0
reindéboitiveité,reindéboitiveité,ppprss,ppp,ss,boit,re_in_dé,ive_ité,reindéboitiveité,target,r,,3,t,c,reindéboiciveité,0
surdir,surdim,pr,p,,dir,sur,,surdir,target,r,,2,r,m,surdim,1
nuajelbatnem,nuajelbatnem,rss,,ss,nuaj,,elba_tnem,nuajelbatnem,control,r,,3,j,m,nuamelbatnem,0
désinjaunaire,désinjaunaire,pprs,pp,s,jaun,dés_in,aire,désinjaunaire,target,s,0.0,3,e,u,désinjaunairu,0
ernicibtneleetsi,erniciptneleetsi,pprsss,pp,sss,cib,er_ni,tne_le_etsi,ernicibtneleetsi,control,r,,2,b,p,erniciptneleetsi,1
érpercibleéti,émpercibleéti,pprss,pp,ss,cib,érp_er,le_éti,érpercibleéti,control,p,0.0,1,r,m,émpercibleéti,1
indéjaun,indéjaun,ppr,pp,,jaun,in_dé,,indéjaun,target,p,1.0,0,d,q,inqéjaun,0
reindétaisent,reinpétaisent,ppprs,ppp,s,tais,re_in_dé,ent,reindétaisent,target,p,2.0,0,d,p,reinpétaisent,1
resananteliste,resananteliste,prsss,p,sss,san,re,ant_el_iste,resananteliste,target,s,2.0,0,i,e,resananteleste,0
luoptneleetsi,nuoptneleetsi,rsss,,sss,luop,,tne_le_etsi,luoptneleetsi,control,r,,0,l,n,nuoptneleetsi,1
prévanteliste,prévantaliste,rsss,,sss,prév,,ant_el_iste,prévanteliste,target,s,1.0,0,e,a,prévantaliste,1
erniédtiamtnaleetsi,erniédtiantnaleetsi,ppprsss,ppp,sss,tiam,er_ni_éd,tna_le_etsi,erniédtiamtnaleetsi,control,r,,3,m,n,erniédtiantnaleetsi,1
erlisnoileéti,erlisnoileéti,prsss,p,sss,lis,er,noi_le_éti,erlisnoileéti,control,p,0.0,0,e,o,orlisnoileéti,0
ciblaemsi,ciblaensi,rss,,ss,cib,,la_emsi,ciblaemsi,control,s,1.0,1,m,n,ciblaensi,1
érperniluopnoileéti,érperniluopnoileési,ppprsss,ppp,sss,luop,érp_er_ni,noi_le_éti,érperniluopnoileéti,control,s,2.0,1,t,s,érperniluopnoileési,1
niédmier,niédmier,ppr,pp,,mier,ni_éd,,niédmier,control,r,,1,i,o,niédmoer,0
désilent,désilent,prs,p,s,sil,dé,ent,désilent,target,s,0.0,2,t,b,désilenb,0
lansion,lension,rs,,s,lans,,ion,lansion,target,r,,1,a,e,lension,1
reincerteur,reincerteur,pprs,pp,s,cert,re_in,eur,reincerteur,target,r,,2,r,n,reincenteur,0
rebafionaire,rebafioneire,prss,p,ss,baf,re,ion_aire,rebafionaire,target,s,1.0,0,a,e,rebafioneire,1
miernoile,riernoile,rss,,ss,mier,,noi_le,miernoile,control,r,,0,m,r,riernoile,1
nefab,nefab,pr,p,,fab,ne,,nefab,control,r,,2,b,v,nefav,0
remélionelité,rémélionelité,prsss,p,sss,mél,re,ion_el_ité,remélionelité,target,p,0.0,1,e,é,rémélionelité,1
indédireur,indédireur,pprs,pp,s,dir,in_dé,eur,indédireur,target,p,1.0,1,é,e,indedireur,0
ernirusmiernoiletnem,ernirusmuernoiletnem,ppprsss,ppp,sss,mier,er_ni_rus,noi_le_tnem,ernirusmiernoiletnem,control,r,,1,i,u,ernirusmuernoiletnem,1
prév,prév,r,,,prév,,,prév,target,r,,2,é,e,prev,0
niédtiamtneleetsi,niédtiartneleetsi,pprsss,pp,sss,tiam,ni_éd,tne_le_etsi,niédtiamtneleetsi,control,r,,3,m,r,niédtiartneleetsi,1
tiobtnem,tiobtnem,rs,,s,tiob,,tnem,tiobtnem,control,r,,0,t,s,siobtnem,0
lémla,lémlû,rs,,s,lém,,la,lémla,control,s,0.0,1,a,û,lémlû,1
filionelment,filionelment,rsss,,sss,fil,,ion_el_ment,filionelment,target,r,,0,f,t,tilionelment,0
erniédtratnoi,erniédtrasnoi,ppprs,ppp,s,trat,er_ni_éd,noi,erniédtratnoi,control,r,,3,t,s,erniédtrasnoi,1
erniédlisnoi,erniédlusnoi,ppprs,ppp,s,lis,er_ni_éd,noi,erniédlisnoi,control,r,,1,i,u,erniédlusnoi,1
siatelbatnem,siatelbatnem,rss,,ss,siat,,elba_tnem,siatelbatnem,control,r,,3,t,s,siaselbatnem,0
reindécrusion,reindécrusiol,ppprs,ppp,s,crus,re_in_dé,ion,reindécrusion,target,s,0.0,2,n,l,reindécrusiol,1
diotion,diotiun,rs,,s,diot,,ion,diotion,target,s,0.0,1,o,u,diotiun,1
édfab,édfab,pr,p,,fab,éd,,édfab,control,r,,1,a,e,édfeb,0
érpernisurcnoieria,érpelnisurcnoieria,ppprss,ppp,ss,surc,érp_er_ni,noi_eria,érpernisurcnoieria,control,p,1.0,1,r,l,érpelnisurcnoieria,1
prérediotalité,prérudiotalité,pprss,pp,ss,diot,pré_re,al_ité,prérediotalité,target,p,1.0,1,e,u,prérudiotalité,1
reinsurcertionelité,reinsurcertionelité,ppprsss,ppp,sss,cert,re_in_sur,ion_el_ité,reinsurcertionelité,target,p,0.0,0,r,m,meinsurcertionelité,0
ernirustôlbtna,ernirustôlbtna,ppprs,ppp,s,tôlb,er_ni_rus,tna,ernirustôlbtna,control,s,0.0,2,a,e,ernirustôlbtne,0
taisionelment,taisionelment,rsss,,sss,tais,,ion_el_ment,taisionelment,target,r,,1,a,e,teisionelment,0
reinsurfilité,roinsurfilité,ppprs,ppp,s,fil,re_in_sur,ité,reinsurfilité,target,p,0.0,1,e,o,roinsurfilité,1
redécomionaire,redécomoonaire,pprss,pp,ss,com,re_dé,ion_aire,redécomionaire,target,s,0.0,0,i,o,redécomoonaire,1
prétuél,prétual,pr,p,,tuél,pré,,prétuél,target,r,,2,é,a,prétual,1
