first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
érpernicibtnemeria,érpernicibtnemeria,ppprss,ppp,ss,cib,érp_er_ni,tnem_eria,érpernicibtnemeria,control,p,0.0,2,p,s,érsernicibtnemeria,0
édrèimeuqitnem,édrèimeuqitnem,prss,p,ss,rèim,éd,euqi_tnem,édrèimeuqitnem,control,s,0.0,0,e,i,édrèimiuqitnem,0
prévionelment,prévionelment,rsss,,sss,prév,,ion_el_ment,prévionelment,target,r,,1,r,j,pjévionelment,0
erniédlém,erniédmém,pppr,ppp,,lém,er_ni_éd,,erniédlém,control,r,,0,l,m,erniédmém,1
reinlansiquement,rèinlansiquement,pprss,pp,ss,lans,re_in,ique_ment,reinlansiquement,target,p,0.0,1,e,è,rèinlansiquement,1
désinbaf,desinbaf,ppr,pp,,baf,dés_in,,désinbaf,target,p,0.0,1,é,e,desinbaf,1
redémaitment,redémaitrent,pprs,pp,s,mait,re_dé,ment,redémaitment,target,s,0.0,0,m,r,redémaitrent,1
redirionelité,redirionelitè,prsss,p,sss,dir,re,ion_el_ité,redirionelité,target,s,2.0,2,é,è,redirionelitè,1
erniédmier,erniédmier,pppr,ppp,,mier,er_ni_éd,,erniédmier,control,r,,3,r,m,erniédmiem,0
redéprév,rudéprév,ppr,pp,,prév,re_dé,,redéprév,target,p,0.0,1,e,u,rudéprév,1
recrusité,recruvité,prs,p,s,crus,re,ité,recrusité,target,r,,3,s,v,recruvité,1
relansmentaire,relansmeltaire,prss,p,ss,lans,re,ment_aire,relansmentaire,target,s,0.0,2,n,l,relansmeltaire,1
erniédridnoile,erniépridnoile,ppprss,ppp,ss,rid,er_ni_éd,noi_le,erniédridnoile,control,p,2.0,1,d,p,erniépridnoile,1
reindémièralité,reindémiaralité,ppprss,ppp,ss,mièr,re_in_dé,al_ité,reindémièralité,target,r,,2,è,a,reindémiaralité,1
enlansment,enlensment,prs,p,s,lans,en,ment,enlansment,target,r,,1,a,e,enlensment,1
érpsédninuajtnaleetsi,érpsécninuajtnaleetsi,ppprsss,ppp,sss,nuaj,érp_séd_ni,tna_le_etsi,érpsédninuajtnaleetsi,control,p,1.0,2,d,c,érpsécninuajtnaleetsi,1
érpernirujtnemeria,érpernirujtnimeria,ppprss,ppp,ss,ruj,érp_er_ni,tnem_eria,érpernirujtnemeria,control,s,0.0,2,e,i,érpernirujtnimeria,1
tôlbeuqitnem,tôlbeuqitnem,rss,,ss,tôlb,,euqi_tnem,tôlbeuqitnem,control,s,0.0,0,e,o,tôlbouqitnem,0
bour,pour,r,,,bour,,,bour,target,r,,0,b,p,pour,1
mierla,mierla,rs,,s,mier,,la,mierla,control,s,0.0,1,a,e,mierle,0
érperridtnemeria,érperrodtnemeria,pprss,pp,ss,rid,érp_er,tnem_eria,érperridtnemeria,control,r,,1,i,o,érperrodtnemeria,1
prérejuriquement,trérejuriquement,pprss,pp,ss,jur,pré_re,ique_ment,prérejuriquement,target,p,0.0,0,p,t,trérejuriquement,1
liftnem,liftnem,rs,,s,lif,,tnem,liftnem,control,s,0.0,2,e,i,liftnim,0
nirèimtnaleetsi,nirèimtnaleetsi,prsss,p,sss,rèim,ni,tna_le_etsi,nirèimtnaleetsi,control,p,0.0,1,i,e,nerèimtnaleetsi,0
fab,fas,r,,,fab,,,fab,control,r,,2,b,s,fas,1
