first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
nuajnoiletnem,nuajnoaletnem,rsss,,sss,nuaj,,noi_le_tnem,nuajnoiletnem,control,s,0.0,2,i,a,nuajnoaletnem,1
reindéjur,reindèjur,pppr,ppp,,jur,re_in_dé,,reindéjur,target,p,2.0,1,é,è,reindèjur,1
insoulansionelment,inboulansionelment,pprsss,pp,sss,lans,in_sou,ion_el_ment,insoulansionelment,target,p,1.0,0,s,b,inboulansionelment,1
erédlifelba,erédlifelba,pprs,pp,s,lif,er_éd,elba,erédlifelba,control,r,,1,i,a,erédlafelba,0
reinsursaneur,reinsursaneur,ppprs,ppp,s,san,re_in_sur,eur,reinsursaneur,target,s,0.0,1,u,e,reinsursaneer,0
reintronmentaire,reintrenmentaire,pprss,pp,ss,tron,re_in,ment_aire,reintronmentaire,target,r,,2,o,e,reintrenmentaire,1
reindireur,reindoreur,pprs,pp,s,dir,re_in,eur,reindireur,target,r,,1,i,o,reindoreur,1
ensilment,ensilmert,prs,p,s,sil,en,ment,ensilment,target,s,0.0,2,n,r,ensilmert,1
retaisionel,retaisiunel,prss,p,ss,tais,re,ion_el,retaisionel,target,s,0.0,1,o,u,retaisiunel,1
érpernimoctnemeria,érpernimoctnemeroa,ppprss,ppp,ss,moc,érp_er_ni,tnem_eria,érpernimoctnemeria,control,s,1.0,2,i,o,érpernimoctnemeroa,1
inmièr,inmièr,pr,p,,mièr,in,,inmièr,target,r,,0,m,r,inrièr,0
reinsurmièrenteliste,reinsunmièrenteliste,ppprsss,ppp,sss,mièr,re_in_sur,ent_el_iste,reinsurmièrenteliste,target,p,2.0,2,r,n,reinsunmièrenteliste,1
reindéreimiveité,reendéreimiveité,ppprss,ppp,ss,reim,re_in_dé,ive_ité,reindéreimiveité,target,p,1.0,0,i,e,reendéreimiveité,1
tuélionelment,tuélionelment,rsss,,sss,tuél,,ion_el_ment,tuélionelment,target,s,1.0,0,e,u,tuélionulment,0
erniédkalnoiletnem,erniédkalnoiletnem,ppprsss,ppp,sss,kal,er_ni_éd,noi_le_tnem,erniédkalnoiletnem,control,s,1.0,1,e,à,erniédkalnoilàtnem,0
ercibelbatnem,ercibelbatnel,prss,p,ss,cib,er,elba_tnem,ercibelbatnem,control,s,1.0,3,m,l,ercibelbatnel,1
prérediotent,prérediotelt,pprs,pp,s,diot,pré_re,ent,prérediotent,target,s,0.0,1,n,l,prérediotelt,1
prédésanion,prédésanion,pprs,pp,s,san,pré_dé,ion,prédésanion,target,r,,1,a,e,prédésenion,0
reindéreimionelment,reindéreimionelment,ppprsss,ppp,sss,reim,re_in_dé,ion_el_ment,reindéreimionelment,target,p,1.0,1,n,m,reimdéreimionelment,0
reinsurlanseux,reinsurlanseux,ppprs,ppp,s,lans,re_in_sur,eux,reinsurlanseux,target,r,,0,l,n,reinsurnanseux,0
érpertrocnoiletnem,énpertrocnoiletnem,pprsss,pp,sss,troc,érp_er,noi_le_tnem,érpertrocnoiletnem,control,p,0.0,1,r,n,énpertrocnoiletnem,1
