first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
reinsurcort,reinsurcort,pppr,ppp,,cort,re_in_sur,,reinsurcort,target,r,,0,c,s,reinsursort,0
niédtôlbelbatnem,niédtôlbelbatnem,pprss,pp,ss,tôlb,ni_éd,elba_tnem,niédtôlbelbatnem,control,s,1.0,3,m,j,niédtôlbelbatnej,0
lansité,lanvité,rs,,s,lans,,ité,lansité,target,r,,3,s,v,lanvité,1
nortnoi,nortnoa,rs,,s,nort,,noi,nortnoi,control,s,0.0,2,i,a,nortnoa,1
erkaleria,erkaleria,prs,p,s,kal,er,eria,erkaleria,control,p,0.0,1,r,l,elkaleria,0
fabtna,fabtna,rs,,s,fab,,tna,fabtna,control,r,,0,f,s,sabtna,0
cibtne,cittne,rs,,s,cib,,tne,cibtne,control,r,,2,b,t,cittne,1
nimelktnemeria,nimelktnemeria,prss,p,ss,melk,ni,tnem_eria,nimelktnemeria,control,s,1.0,2,i,e,nimelktnemerea,0
léuttne,léuttne,rs,,s,léut,,tne,léuttne,control,s,0.0,2,e,ê,léuttnê,0
sédnivérp,sédnevérp,ppr,pp,,vérp,séd_ni,,sédnivérp,control,p,1.0,1,i,e,sédnevérp,1
reindéfoirionelment,reindéfoirionulment,ppprsss,ppp,sss,foir,re_in_dé,ion_el_ment,reindéfoirionelment,target,s,1.0,0,e,u,reindéfoirionulment,1
miernoileemsi,miernoileemsi,rsss,,sss,mier,,noi_le_emsi,miernoileemsi,control,r,,2,e,u,miurnoileemsi,0
ernirusridnoileéti,ernirusridnoileéti,ppprsss,ppp,sss,rid,er_ni_rus,noi_le_éti,ernirusridnoileéti,control,r,,1,i,e,ernirusrednoileéti,0
tôlbnoileéti,tôlbnoileéti,rsss,,sss,tôlb,,noi_le_éti,tôlbnoileéti,control,s,1.0,1,e,a,tôlbnoilaéti,0
