first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
redémaitent,rebémaitent,pprs,pp,s,mait,re_dé,ent,redémaitent,target,p,1.0,0,d,b,rebémaitent,1
lansionelisme,lansiorelisme,rsss,,sss,lans,,ion_el_isme,lansionelisme,target,s,0.0,2,n,r,lansiorelisme,1
enjurment,anjurment,prs,p,s,jur,en,ment,enjurment,target,p,0.0,0,e,a,anjurment,1
érpernimiernoileemsi,érperniliernoileemsi,ppprsss,ppp,sss,mier,érp_er_ni,noi_le_emsi,érpernimiernoileemsi,control,r,,0,m,l,érperniliernoileemsi,1
recort,recorx,pr,p,,cort,re,,recort,target,r,,3,t,x,recorx,1
erédcibnoiletnem,erédcibnoiletnem,pprsss,pp,sss,cib,er_éd,noi_le_tnem,erédcibnoiletnem,control,p,0.0,0,e,o,orédcibnoiletnem,0
ermelk,ermelk,pr,p,,melk,er,,ermelk,control,r,,3,k,c,ermelc,0
blôtant,blôtunt,rs,,s,blôt,,ant,blôtant,target,s,0.0,0,a,u,blôtunt,1
lémnoiletnem,lénnoiletnem,rsss,,sss,lém,,noi_le_tnem,lémnoiletnem,control,r,,2,m,n,lénnoiletnem,1
préreinmièrif,préreinmiarif,ppprs,ppp,s,mièr,pré_re_in,if,préreinmièrif,target,r,,2,è,a,préreinmiarif,1
préresilionelité,préresilionelité,pprsss,pp,sss,sil,pré_re,ion_el_ité,préresilionelité,target,r,,2,l,r,préresirionelité,0
reindétartant,reindétartant,ppprs,ppp,s,tart,re_in_dé,ant,reindétartant,target,p,1.0,1,n,r,reirdétartant,0
nimoc,numoc,pr,p,,moc,ni,,nimoc,control,p,0.0,1,i,u,numoc,1
toidtnemeria,toittnemeria,rss,,ss,toid,,tnem_eria,toidtnemeria,control,r,,3,d,t,toittnemeria,1
retnimelk,retrimelk,pr,p,,melk,retni,,retnimelk,control,p,0.0,3,n,r,retrimelk,1
erniédtoid,erniédtoid,pppr,ppp,,toid,er_ni_éd,,erniédtoid,control,p,1.0,1,i,e,erneédtoid,0
déjurmentaire,séjurmentaire,prss,p,ss,jur,dé,ment_aire,déjurmentaire,target,p,0.0,0,d,s,séjurmentaire,1
tartelité,tartelité,rss,,ss,tart,,el_ité,tartelité,target,r,,1,a,e,tertelité,0
ertrat,ertrat,pr,p,,trat,er,,ertrat,control,r,,0,t,g,ergrat,0
erniédrujlaéti,erliédrujlaéti,ppprss,ppp,ss,ruj,er_ni_éd,la_éti,erniédrujlaéti,control,p,1.0,0,n,l,erliédrujlaéti,1
erlémtnemeria,ellémtnemeria,prss,p,ss,lém,er,tnem_eria,erlémtnemeria,control,p,0.0,1,r,l,ellémtnemeria,1
niédriofnoile,niédniofnoile,pprss,pp,ss,riof,ni_éd,noi_le,niédriofnoile,control,r,,0,r,n,niédniofnoile,1
bouraire,bouraire,rs,,s,bour,,aire,bouraire,target,r,,0,b,c,couraire,0
netôlb,nutôlb,pr,p,,tôlb,ne,,netôlb,control,p,0.0,1,e,u,nutôlb,1
érpsédnimocnoiletnem,érpsédnimocnoiletnem,ppprsss,ppp,sss,moc,érp_séd_ni,noi_le_tnem,érpsédnimocnoiletnem,control,r,,1,o,i,érpsédnimicnoiletnem,0
reinsurcortion,reinsurvortion,ppprs,ppp,s,cort,re_in_sur,ion,reinsurcortion,target,r,,0,c,v,reinsurvortion,1
rujtnaleetsi,rujtnaluetsi,rsss,,sss,ruj,,tna_le_etsi,rujtnaleetsi,control,s,1.0,1,e,u,rujtnaluetsi,1
préretartal,préretartam,pprs,pp,s,tart,pré_re,al,préretartal,target,s,0.0,1,l,m,préretartam,1
nesurctnemeria,mesurctnemeria,prss,p,ss,surc,ne,tnem_eria,nesurctnemeria,control,p,0.0,0,n,m,mesurctnemeria,1
reindéjaun,reindéjaun,pppr,ppp,,jaun,re_in_dé,,reindéjaun,target,r,,3,n,m,reindéjaum,0
foirion,foijion,rs,,s,foir,,ion,foirion,target,r,,3,r,j,foijion,1
melk,melk,r,,,melk,,,melk,control,r,,1,e,i,milk,0
tuélment,tuélmend,rs,,s,tuél,,ment,tuélment,target,s,0.0,3,t,d,tuélmend,1
érpernivérp,élpernivérp,pppr,ppp,,vérp,érp_er_ni,,érpernivérp,control,p,0.0,1,r,l,élpernivérp,1
redémél,redémél,ppr,pp,,mél,re_dé,,redémél,target,p,0.0,1,e,o,rodémél,0
prédéprév,prédéprév,ppr,pp,,prév,pré_dé,,prédéprév,target,p,0.0,1,r,n,pnédéprév,0
recertenteliste,mecertenteliste,prsss,p,sss,cert,re,ent_el_iste,recertenteliste,target,p,0.0,0,r,m,mecertenteliste,1
prédésinsaniquement,prédésinsaniquement,ppprss,ppp,ss,san,pré_dés_in,ique_ment,prédésinsaniquement,target,s,0.0,1,q,s,prédésinsanisuement,0
érpertiobnoileemsi,érpertiobnoileemsi,pprsss,pp,sss,tiob,érp_er,noi_le_emsi,érpertiobnoileemsi,control,r,,0,t,p,érperpiobnoileemsi,0
erniédrioftnemeria,enniédrioftnemeria,ppprss,ppp,ss,riof,er_ni_éd,tnem_eria,erniédrioftnemeria,control,p,0.0,1,r,n,enniédrioftnemeria,1
ensanmentaire,ensanmentaire,prss,p,ss,san,en,ment_aire,ensanmentaire,target,s,1.0,2,r,l,ensanmentaile,0
prérejur,prérenur,ppr,pp,,jur,pré_re,,prérejur,target,r,,0,j,n,prérenur,1
nemocnoileéti,nemocnoileéti,prsss,p,sss,moc,ne,noi_le_éti,nemocnoileéti,control,s,2.0,1,t,s,nemocnoileési,0
préreinbourionelité,préreinbourionelité,ppprsss,ppp,sss,bour,pré_re_in,ion_el_ité,préreinbourionelité,target,p,0.0,0,p,f,fréreinbourionelité,0
édfab,édfab,pr,p,,fab,éd,,édfab,control,r,,0,f,d,éddab,0
reinfoiralisme,reinfoiralisme,pprss,pp,ss,foir,re_in,al_isme,reinfoiralisme,target,p,1.0,0,i,o,reonfoiralisme,0
prédésinmait,prédusinmait,pppr,ppp,,mait,pré_dés_in,,prédésinmait,target,p,1.0,1,é,u,prédusinmait,1
reindépoulelité,reindépoulelité,ppprss,ppp,ss,poul,re_in_dé,el_ité,reindépoulelité,target,s,0.0,1,l,r,reindépoulerité,0
prédémait,prédémait,ppr,pp,,mait,pré_dé,,prédémait,target,p,1.0,1,é,e,prédemait,0
ersnalelbatnem,ersnalelbatnem,prss,p,ss,snal,er,elba_tnem,ersnalelbatnem,control,r,,2,a,e,ersnelelbatnem,0
refil,refil,pr,p,,fil,re,,refil,target,r,,2,l,r,refir,0
préretaisionelment,pléretaisionelment,pprsss,pp,sss,tais,pré_re,ion_el_ment,préretaisionelment,target,p,0.0,1,r,l,pléretaisionelment,1
préreinlakelité,préreinlakelité,ppprss,ppp,ss,lak,pré_re_in,el_ité,préreinlakelité,target,p,1.0,1,e,a,prérainlakelité,0
édlis,édnis,pr,p,,lis,éd,,édlis,control,r,,0,l,n,édnis,1
bourionelment,bourionerment,rsss,,sss,bour,,ion_el_ment,bourionelment,target,s,1.0,1,l,r,bourionerment,1
érpsédnitiob,érpsédnitiob,pppr,ppp,,tiob,érp_séd_ni,,érpsédnitiob,control,r,,2,o,é,érpsédnitiéb,0
vérpnoiletnem,vérpnoiletnem,rsss,,sss,vérp,,noi_le_tnem,vérpnoiletnem,control,s,1.0,0,l,m,vérpnoimetnem,0
niretnikallaéti,niresnikallaéti,pprss,pp,ss,kal,ni_retni,la_éti,niretnikallaéti,control,p,1.0,2,t,s,niresnikallaéti,1
reindéjuralité,reindéjuralisé,ppprss,ppp,ss,jur,re_in_dé,al_ité,reindéjuralité,target,s,1.0,1,t,s,reindéjuralisé,1
niédrèimnoi,niédrèirnoi,pprs,pp,s,rèim,ni_éd,noi,niédrèimnoi,control,r,,3,m,r,niédrèirnoi,1
préretron,préretron,ppr,pp,,tron,pré_re,,préretron,target,p,0.0,1,r,l,pléretron,0
erédridlaéti,erédridliéti,pprss,pp,ss,rid,er_éd,la_éti,erédridlaéti,control,s,0.0,1,a,i,erédridliéti,1
indéfil,indéfel,ppr,pp,,fil,in_dé,,indéfil,target,r,,1,i,e,indéfel,1
relakionaire,relakionaire,prss,p,ss,lak,re,ion_aire,relakionaire,target,s,0.0,1,o,u,relakiunaire,0
préreinmél,prureinmél,pppr,ppp,,mél,pré_re_in,,préreinmél,target,p,0.0,2,é,u,prureinmél,1
érpernirèimtnemeria,érpernirèimtnemeria,ppprss,ppp,ss,rèim,érp_er_ni,tnem_eria,érpernirèimtnemeria,control,p,2.0,1,i,e,érpernerèimtnemeria,0
prérebourité,prérebourité,pprs,pp,s,bour,pré_re,ité,prérebourité,target,p,1.0,0,r,l,prélebourité,0
erédtiobnoiletnem,erédsiobnoiletnem,pprsss,pp,sss,tiob,er_éd,noi_le_tnem,erédtiobnoiletnem,control,r,,0,t,s,erédsiobnoiletnem,1
inlans,inlans,pr,p,,lans,in,,inlans,target,r,,1,a,e,inlens,0
blôtionelment,blôtionelment,rsss,,sss,blôt,,ion_el_ment,blôtionelment,target,r,,2,ô,i,blitionelment,0
erniédridtna,erniédridtna,ppprs,ppp,s,rid,er_ni_éd,tna,erniédridtna,control,s,0.0,0,t,c,erniédridcna,0
prédélakif,prédélakif,pprs,pp,s,lak,pré_dé,if,prédélakif,target,r,,0,l,r,prédérakif,0
jurablement,jurablement,rss,,ss,jur,,able_ment,jurablement,target,r,,0,j,n,nurablement,0
édlifleéti,édlifreéti,prss,p,ss,lif,éd,le_éti,édlifleéti,control,s,0.0,0,l,r,édlifreéti,1
édtiob,édtiob,pr,p,,tiob,éd,,édtiob,control,p,0.0,1,d,s,éstiob,0
ernirusvérpeuqitnem,ernirusvérpeuqitnem,ppprss,ppp,ss,vérp,er_ni_rus,euqi_tnem,ernirusvérpeuqitnem,control,r,,0,v,s,ernirussérpeuqitnem,0
reklemionelisme,reklemionelisme,prsss,p,sss,klem,re,ion_el_isme,reklemionelisme,target,s,0.0,0,i,e,reklemeonelisme,0
