first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
combine,combine,r,,combine,,combine,control,r,,4,i,a,combane,0,7
shenanigan,shonanigan,r,,shenanigan,,shenanigan,control,r,,2,e,o,shonanigan,1,10
emotionally,emotionally,rsss,,emot,ion_al_ly,emotionally,target,r,,3,t,h,emohionally,0,11
masquerade,masquerade,r,,masquerade,,masquerade,control,r,,0,m,l,lasquerade,0,10
egoistical,egoistical,rsss,,ego,ist_ic_al,egoistical,target,r,,1,g,d,edoistical,0,10
clandestine,clandostine,r,,clandestine,,clandestine,control,r,,5,e,o,clandostine,1,11
discontinue,distontinue,pr_long,dis,continue,,discontinue,target,r,,0,c,t,distontinue,1,11
catastrophe,catustrophe,r,,catastrophe,,catastrophe,control,r,,3,a,u,catustrophe,1,11
experience,expereence,r,,experience,,experience,control,r,,5,i,e,expereence,1,10
chemically,chemically,rsss,,chem,ic_al_ly,chemically,target,r,,2,e,i,chimically,0,10
determine,detormine,r,,determine,,determine,control,r,,3,e,o,detormine,1,9
upholder,upholder,prs,up,hold,er,upholder,target,r,,0,h,k,upkolder,0,8
anarchically,anarchicamly,prsss,an,arch,ic_al_ly,anarchically,target,s,1.0,1,l,m,anarchicamly,1,12
disapproval,disafproval,prs_long,dis,approv,al,disapproval,target,r,,1,p,f,disafproval,1,11
caterpillar,caterpillar,r,,caterpillar,,caterpillar,control,r,,3,e,u,caturpillar,0,11
understand,underssand,r,,understand,,understand,control,r,,6,t,s,underssand,1,10
reinstate,reinstate,ppr,re_in,state,,reinstate,target,r,,4,e,o,reinstato,0,9
wetly,yetly,rs,,wet,ly,wetly,target,r,,0,w,y,yetly,1,5
irrelevant,irrelevalt,pprs,ir_re,lev,ant,irrelevant,target,s,0.0,1,n,l,irrelevalt,1,10
collect,collect,r,,collect,,collect,control,r,,5,c,p,collept,0,7
emphasis,emphasis,r,,emphasis,,emphasis,control,r,,6,i,o,emphasos,0,8
fifthly,fefthly,rss,,fif,th_ly,fifthly,target,r,,1,i,e,fefthly,1,7
hollowness,hollowness,rs_long,,hollow,ness,hollowness,target,s,0.0,3,s,t,hollownest,0,10
renewal,reniwal,prs,re,new,al,renewal,target,r,,1,e,i,reniwal,1,7
inactivate,inactivate,prss,in,act,iv_ate,inactivate,target,r,,0,a,o,inoctivate,0,10
rhododendron,rhododendron,r,,rhododendron,,rhododendron,control,r,,4,o,e,rhodedendron,0,12
hopeless,hopoless,rs,,hope,less,hopeless,target,r,,3,e,o,hopoless,1,8
immoral,immiral,pr,im,moral,,immoral,target,r,,1,o,i,immiral,1,7
transmit,trarsmit,r,,transmit,,transmit,control,r,,3,n,r,trarsmit,1,8
accomplice,accomplide,r,,accomplice,,accomplice,control,r,,8,c,d,accomplide,1,10
sensory,hensory,rss,,sens,or_y,sensory,target,r,,0,s,h,hensory,1,7
abnormally,abnormally,prss,ab,norm,al_ly,abnormally,target,p,0.0,0,a,e,ebnormally,0,10
manfully,manfully,rss,,man,ful_ly,manfully,target,r,,0,m,r,ranfully,0,8
unevently,unepently,prs,un,event,ly,unevently,target,r,,1,v,p,unepently,1,9
event,event,r,,event,,event,control,r,,0,e,o,ovent,0,5
often,iften,r,,often,,often,control,r,,0,o,i,iften,1,5
boulevard,boulevard,r,,boulevard,,boulevard,control,r,,1,o,a,baulevard,0,9
discipline,discifline,r,,discipline,,discipline,control,r,,5,p,f,discifline,1,10
activational,activational,rssss,,act,iv_at_ion_al,activational,target,s,0.0,0,i,e,actevational,0,12
overreach,overreach,pr,over,reach,,overreach,target,p,0.0,0,o,i,iverreach,0,9
abracadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,10,a,e,abracadabre,0,11
reimburse,reimburse,ppr,re_im,burse,,reimburse,target,r,,4,e,i,reimbursi,0,9
reoutsell,reoutselr,ppr,re_out,sell,,reoutsell,target,r,,3,l,r,reoutselr,1,9
unrelatable,unrelatable,pprs,un_re,lat,able,unrelatable,target,r,,2,t,s,unrelasable,0,11
irremovable,irrelovable,pprs,ir_re,mov,able,irremovable,target,r,,0,m,l,irrelovable,1,11
