first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
unmead,unmead,pr,un,read,,unread,target,r,,0,r,m,unmead,2,6
deactivation,daactivation,prsss,de,act,iv_at_ion,deactivation,target,p,0.0,1,e,a,daactivation,1,12
hippopotamus,hipposotamus,r,,hippopotamus,,hippopotamus,control,r,,5,p,s,hipposotamus,1,12
quarantine,quarantine,r,,quarantine,,quarantine,control,r,,2,a,e,querantine,0,10
vicariousyy,vicariously,rs_long,,vicarious,ly,vicariously,target,s,0.0,0,l,y,vicariousyy,3,11
fuizzically,quizzically,rsss,,quizz,ic_al_ly,quizzically,target,r,,0,q,f,fuizzically,3,11
dormality,dormality,rss,,form,al_ity,formality,target,r,,0,f,d,dormality,2,9
chinchilla,chinchilra,r,,chinchilla,,chinchilla,control,r,,8,l,r,chinchilra,1,10
marshmallow,marshmallow,r,,marshmallow,,marshmallow,control,r,,6,a,o,marshmollow,0,11
chimhanzee,chimpanzee,r,,chimpanzee,,chimpanzee,control,r,,4,p,h,chimhanzee,3,10
hieroglyph,hieroglyph,r,,hieroglyph,,hieroglyph,control,r,,4,o,e,hiereglyph,0,10
holloyness,hollowness,rs_long,,hollow,ness,hollowness,target,r,,5,w,y,holloyness,3,10
egoissically,egoistically,rssss,,ego,ist_ic_al_ly,egoistically,target,s,0.0,2,t,s,egoissically,3,12
depopurate,depopulate,prs_long,de,popul,ate,depopulate,target,r,,4,l,r,depopurate,3,10
chemicully,chemicully,rsss,,chem,ic_al_ly,chemically,target,s,1.0,0,a,u,chemicully,2,10
overahtive,overactive,prs_long,over,act,ive,overactive,target,r,,1,c,h,overahtive,3,10
instinct,instincb,r,,instinct,,instinct,control,r,,7,t,b,instincb,1,8
frankincense,frankincense,r,,frankincense,,frankincense,control,r,,4,k,h,franhincense,0,12
unearthly,unearthly,prs,un,earth,ly,unearthly,target,r,,3,t,h,unearhhly,0,9
diserbody,disembody,ppr,dis_em,body,,disembody,target,p,1.0,1,m,r,diserbody,3,9
reactivatu,reactivatu,prss,re,act,iv_ate,reactivate,target,s,1.0,2,e,u,reactivatu,2,10
anarchicarly,anarchicarly,prsss,an,arch,ic_al_ly,anarchically,target,s,1.0,1,l,r,anarchicarly,2,12
rtododendron,rhododendron,r,,rhododendron,,rhododendron,control,r,,1,h,t,rtododendron,3,12
homelets,homeless,rs,,home,less,homeless,target,s,0.0,2,s,t,homelets,3,8
catistrophe,catastrophe,r,,catastrophe,,catastrophe,control,r,,3,a,i,catistrophe,3,11
eucalyptus,eucalypsus,r,,eucalyptus,,eucalyptus,control,r,,7,t,s,eucalypsus,1,10
prodaganda,propaganda,r,,propaganda,,propaganda,control,r,,3,p,d,prodaganda,3,10
calentine,valentine,r,,valentine,,valentine,control,r,,0,v,c,calentine,3,9
irremovable,irremavable,pprs,ir_re,mov,able,irremovable,target,r,,1,o,a,irremavable,1,11
abnormally,abnormally,prss,ab,norm,al_ly,abnormally,target,p,0.0,1,b,p,apnormally,0,10
neighbour,neighbour,r,,neighbour,,neighbour,control,r,,0,n,l,leighbour,0,9
irrulikable,irrelikable,pprs,ir_re,lik,able,irrelikable,target,p,1.0,1,e,u,irrulikable,3,11
encylcopedia,encyncopedia,r,,encylcopedia,,encylcopedia,control,r,,4,l,n,encyncopedia,1,12
reison,reison,r,,reason,,reason,control,r,,2,a,i,reison,2,6
purchase,purchaso,r,,purchase,,purchase,control,r,,7,e,o,purchaso,1,8
sagittariup,sagittariup,r,,sagittarius,,sagittarius,control,r,,10,s,p,sagittariup,2,11
caterpillar,cuterpillar,r,,caterpillar,,caterpillar,control,r,,1,a,u,cuterpillar,1,11
artistically,arsistically,rssss,,art,ist_ic_al_ly,artistically,target,r,,2,t,s,arsistically,1,12
account,uccount,r,,account,,account,control,r,,0,a,u,uccount,1,7
ingredient,ongredient,r,,ingredient,,ingredient,control,r,,0,i,o,ongredient,1,10
provence,province,r,,province,,province,control,r,,4,i,e,provence,3,8
defiant,defianz,rs,,defi,ant,defiant,target,s,0.0,2,t,z,defianz,1,7
vercatile,vercatile,r,,versatile,,versatile,control,r,,3,s,c,vercatile,2,9
undemstate,understate,pr_long,under,state,,understate,target,p,0.0,4,r,m,undemstate,3,10
renew,menew,pr,re,new,,renew,target,p,0.0,0,r,m,menew,1,5
rrongfully,wrongfully,rss,,wrong,ful_ly,wrongfully,target,r,,0,w,r,rrongfully,3,10
subcontrect,subcontract,pr_long,sub,contract,,subcontract,target,r,,5,a,e,subcontrect,3,11
ibracadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,0,a,i,ibracadabra,3,11
upholdel,upholdel,prs,up,hold,er,upholder,target,s,0.0,1,r,l,upholdel,2,8
reempose,reimpose,ppr,re_im,pose,,reimpose,target,p,1.0,0,i,e,reempose,3,8
srostitute,srostitute,r,,prostitute,,prostitute,control,r,,0,p,s,srostitute,2,10
monph,monph,r,,month,,month,control,r,,3,t,p,monph,2,5
