first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
egoistical,egoistical,rsss,,ego,ist_ic_al,egoistical,target,r,,1,g,k,ekoistical,0,10
hollowness,hollowness,rs_long,,hollow,ness,hollowness,target,r,,5,w,r,hollorness,0,10
marshmallow,morshmallow,r,,marshmallow,,marshmallow,control,r,,1,a,o,morshmallow,1,11
chemically,cherically,rsss,,chem,ic_al_ly,chemically,target,r,,3,m,r,cherically,1,10
premisuse,premisuso,ppr,pre_mis,use,,premisuse,target,r,,2,e,o,premisuso,1,9
woodenness,woodemness,rss,,wood,en_ness,woodenness,target,s,0.0,1,n,m,woodemness,1,10
reoutsmart,reoutsmarb,ppr,re_out,smart,,reoutsmart,target,r,,4,t,b,reoutsmarb,1,10
skeleton,skelehon,r,,skeleton,,skeleton,control,r,,5,t,h,skelehon,1,8
teachable,teachable,rs,,teach,able,teachable,target,r,,2,a,e,teechable,0,9
fatally,fatallm,rss,,fat,al_ly,fatally,target,s,1.0,1,y,m,fatallm,1,7
irrelikable,irrelikable,pprs,ir_re,lik,able,irrelikable,target,r,,0,l,r,irrerikable,0,11
accomplice,accomplice,r,,accomplice,,accomplice,control,r,,4,m,l,accolplice,0,10
avalanche,avalanche,r,,avalanche,,avalanche,control,r,,7,h,d,avalancde,0,9
inactivate,inactivote,prss,in,act,iv_ate,inactivate,target,s,1.0,0,a,o,inactivote,1,10
catastrophe,catastrophe,r,,catastrophe,,catastrophe,control,r,,4,s,t,catattrophe,0,11
caterpillar,caterpellar,r,,caterpillar,,caterpillar,control,r,,6,i,e,caterpellar,1,11
styleless,styleless,rs,,style,less,styleless,target,s,0.0,1,e,a,stylelass,0,9
inactivation,inactivation,prsss,in,act,iv_at_ion,inactivation,target,r,,2,t,k,inackivation,0,12
inspect,imspect,pr,in,spect,,inspect,target,p,0.0,1,n,m,imspect,1,7
prostitute,prosxitute,r,,prostitute,,prostitute,control,r,,4,t,x,prosxitute,1,10
guillotine,guilletine,r,,guillotine,,guillotine,control,r,,5,o,e,guilletine,1,10
removal,removal,prs,re,mov,al,removal,target,p,0.0,1,e,u,rumoval,0,7
frankincense,frankincense,r,,frankincense,,frankincense,control,r,,3,n,m,framkincense,0,12
chimpanzee,chimpanzee,r,,chimpanzee,,chimpanzee,control,r,,1,h,d,cdimpanzee,0,10
shenanigan,shenonigan,r,,shenanigan,,shenanigan,control,r,,4,a,o,shenonigan,1,10
collect,collect,r,,collect,,collect,control,r,,6,t,d,collecd,0,7
problem,problem,r,,problem,,problem,control,r,,6,m,y,probley,0,7
overstep,oherstep,pr,over,step,,overstep,target,p,0.0,1,v,h,oherstep,1,8
reactivate,reactivate,prss,re,act,iv_ate,reactivate,target,s,0.0,1,v,h,reactihate,0,10
weaponless,weaponlefs,rs_long,,weapon,less,weaponless,target,s,0.0,2,s,f,weaponlefs,1,10
unrelatable,unrelatable,pprs,un_re,lat,able,unrelatable,target,r,,2,t,h,unrelahable,0,11
remover,removor,prs,re,mov,er,remover,target,s,0.0,0,e,o,removor,1,7
irrelevant,irrelevant,pprs,ir_re,lev,ant,irrelevant,target,r,,0,l,r,irrerevant,0,10
boulevard,boulevawd,r,,boulevard,,boulevard,control,r,,7,r,w,boulevawd,1,9
cartridge,cartridge,r,,cartridge,,cartridge,control,r,,2,r,n,cantridge,0,9
egoistically,egoistically,rssss,,ego,ist_ic_al_ly,egoistically,target,r,,1,g,h,ehoistically,0,12
impossibly,impossibly,prs_long,im,possib,ly,impossibly,target,p,0.0,1,m,r,irpossibly,0,10
abracadabra,abracadadra,r,,abracadabra,,abracadabra,control,r,,8,b,d,abracadadra,1,11
encylcopedia,encylcopedio,r,,encylcopedia,,encylcopedia,control,r,,11,a,o,encylcopedio,1,12
address,eddress,r,,address,,address,control,r,,0,a,e,eddress,1,7
activational,activataonal,rssss,,act,iv_at_ion_al,activational,target,s,2.0,0,i,a,activataonal,1,12
envelope,envelote,r,,envelope,,envelope,control,r,,6,p,t,envelote,1,8
rhododendron,rhododendron,r,,rhododendron,,rhododendron,control,r,,3,d,s,rhosodendron,0,12
discipline,discipline,r,,discipline,,discipline,control,r,,9,e,o,disciplino,0,10
abnormally,aknormally,prss,ab,norm,al_ly,abnormally,target,p,0.0,1,b,k,aknormally,1,10
programme,plogramme,r,,programme,,programme,control,r,,1,r,l,plogramme,1,9
tenseness,tenseness,rs,,tense,ness,tenseness,target,r,,2,n,l,telseness,0,9
province,province,r,,province,,province,control,r,,4,i,o,provonce,0,8
repaint,repeint,pr,re,paint,,repaint,target,r,,1,a,e,repeint,1,7
quizzically,quibzically,rsss,,quizz,ic_al_ly,quizzically,target,r,,3,z,b,quibzically,1,11
caricature,caricature,r,,caricature,,caricature,control,r,,6,t,h,caricahure,0,10
apparatus,appayatus,r,,apparatus,,apparatus,control,r,,4,r,y,appayatus,1,9
crustacean,crustacean,r,,crustacean,,crustacean,control,r,,8,a,o,crustaceon,0,10
hallelujah,hallelujeh,r,,hallelujah,,hallelujah,control,r,,8,a,e,hallelujeh,1,10
phenomenon,phenomenon,r,,phenomenon,,phenomenon,control,r,,4,o,a,phenamenon,0,10
underground,underground,pr_long,under,ground,,underground,target,p,0.0,1,n,w,uwderground,0,11
experience,experierce,r,,experience,,experience,control,r,,7,n,r,experierce,1,10
hippopotamus,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,9,m,r,hippopotarus,0,12
counsel,counsel,r,,counsel,,counsel,control,r,,5,e,u,counsul,0,7
sagittarius,sagittaries,r,,sagittarius,,sagittarius,control,r,,9,u,e,sagittaries,1,11
lawfully,lawfully,rss,,law,ful_ly,lawfully,target,r,,2,w,r,larfully,0,8
discontinue,discontinue,pr_long,dis,continue,,discontinue,target,r,,1,o,e,discentinue,0,11
reimpose,reimpose,ppr,re_im,pose,,reimpose,target,r,,1,o,e,reimpese,0,8
license,license,r,,license,,license,control,r,,0,l,m,micense,0,7
anarchically,inarchically,prsss,an,arch,ic_al_ly,anarchically,target,p,0.0,0,a,i,inarchically,1,12
replacement,replacemens,prs_long,re,place,ment,replacement,target,s,0.0,3,t,s,replacemens,1,11
clandestine,clandestime,r,,clandestine,,clandestine,control,r,,9,n,m,clandestime,1,11
unevently,urevently,prs,un,event,ly,unevently,target,p,0.0,1,n,r,urevently,1,9
