first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
frankincemse,frankincemse,r,,frankincense,,frankincense,control,r,,9,n,m,frankincemse,2,12
aytistically,artistically,rssss,,art,ist_ic_al_ly,artistically,target,r,,1,r,y,aytistically,3,12
rdinoceros,rhinoceros,r,,rhinoceros,,rhinoceros,control,r,,1,h,d,rdinoceros,3,10
clandestine,clandestine,r,,clandestine,,clandestine,control,r,,7,t,h,clandeshine,0,11
reaptivate,reaptivate,prss,re,act,iv_ate,reactivate,target,r,,1,c,p,reaptivate,2,10
disapsrove,disapprove,pr_long,dis,approve,,disapprove,target,r,,2,p,s,disapsrove,3,10
disdipline,discipline,r,,discipline,,discipline,control,r,,3,c,d,disdipline,3,10
outdistarce,outdistance,pr_long,out,distance,,outdistance,target,r,,5,n,r,outdistarce,3,11
reinforce,reinforce,ppr,re_in,force,,reinforce,target,p,0.0,0,r,m,meinforce,0,9
resat,resat,pr,re,set,,reset,target,r,,1,e,a,resat,2,5
inearthly,unearthly,prs,un,earth,ly,unearthly,target,p,0.0,0,u,i,inearthly,3,9
guillotene,guillotine,r,,guillotine,,guillotine,control,r,,7,i,e,guillotene,3,10
anarchically,analchically,prsss,an,arch,ic_al_ly,anarchically,target,r,,1,r,l,analchically,1,12
larshmallow,larshmallow,r,,marshmallow,,marshmallow,control,r,,0,m,l,larshmallow,2,11
hippopotamos,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,10,u,o,hippopotamos,3,12
reimturse,reimburse,ppr,re_im,burse,,reimburse,target,r,,0,b,t,reimturse,3,9
belicious,delicious,rs,,delic,ious,delicious,target,r,,0,d,b,belicious,3,9
sagittayius,sagittarius,r,,sagittarius,,sagittarius,control,r,,7,r,y,sagittayius,3,11
quizzically,quizzically,rsss,,quizz,ic_al_ly,quizzically,target,s,0.0,1,c,k,quizzikally,0,11
deactitation,deactitation,prsss,de,act,iv_at_ion,deactivation,target,s,0.0,1,v,t,deactitation,2,12
idewtically,idewtically,rsss,,ident,ic_al_ly,identically,target,r,,3,n,w,idewtically,2,11
encylcopedia,oncylcopedia,r,,encylcopedia,,encylcopedia,control,r,,0,e,o,oncylcopedia,1,12
distinct,distinht,r,,distinct,,distinct,control,r,,6,c,h,distinht,1,8
weaponless,weaponless,rs_long,,weapon,less,weaponless,target,s,0.0,2,s,t,weaponlets,0,10
umcertainly,uncertainly,prs_long,un,certain,ly,uncertainly,target,p,0.0,1,n,m,umcertainly,3,11
caterpillar,taterpillar,r,,caterpillar,,caterpillar,control,r,,0,c,t,taterpillar,1,11
disagree,dasagree,pr,dis,agree,,disagree,target,p,0.0,1,i,a,dasagree,1,8
holocaust,holocausp,r,,holocaust,,holocaust,control,r,,8,t,p,holocausp,1,9
wtitest,whitest,rs,,whit,est,whitest,target,r,,1,h,t,wtitest,3,7
capastrophe,catastrophe,r,,catastrophe,,catastrophe,control,r,,2,t,p,capastrophe,3,11
champaign,chimpaign,r,,champaign,,champaign,control,r,,2,a,i,chimpaign,1,9
rhododendron,rhododendron,r,,rhododendron,,rhododendron,control,r,,0,r,w,whododendron,0,12
artallery,artallery,r,,artillery,,artillery,control,r,,3,i,a,artallery,2,9
immersion,immirsion,prs,im,mers,ion,immersion,target,r,,1,e,i,immirsion,1,9
wishfulry,wishfully,rss,,wish,ful_ly,wishfully,target,s,1.0,0,l,r,wishfulry,3,9
iryelevant,irrelevant,pprs,ir_re,lev,ant,irrelevant,target,p,1.0,0,r,y,iryelevant,3,10
unrelatable,unrelatabli,pprs,un_re,lat,able,unrelatable,target,s,0.0,3,e,i,unrelatabli,1,11
thomough,thorough,r,,thorough,,thorough,control,r,,3,r,m,thomough,3,8
class,class,r,,class,,class,control,r,,4,s,t,clast,0,5
trouble,troucle,r,,trouble,,trouble,control,r,,4,b,c,troucle,1,7
catalogue,cetalogue,r,,catalogue,,catalogue,control,r,,1,a,e,cetalogue,1,9
abracedabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,5,a,e,abracedabra,3,11
cartridge,cartridga,r,,cartridge,,cartridge,control,r,,8,e,a,cartridga,1,9
palingrome,palindrome,r,,palindrome,,palindrome,control,r,,5,d,g,palingrome,3,10
accowplice,accowplice,r,,accomplice,,accomplice,control,r,,4,m,w,accowplice,2,10
rastaurant,rastaurant,r,,restaurant,,restaurant,control,r,,1,e,a,rastaurant,2,10
rittenly,rottenly,rss,,rott,en_ly,rottenly,target,r,,1,o,i,rittenly,3,8
onactivate,onactivate,prss,in,act,iv_ate,inactivate,target,p,0.0,0,i,o,onactivate,2,10
invalidate,invalidate,prs_long,in,valid,ate,invalidate,target,s,0.0,1,t,h,invalidahe,0,10
threspold,threshold,r,,threshold,,threshold,control,r,,5,h,p,threspold,3,9
activateonal,activational,rssss,,act,iv_at_ion_al,activational,target,s,2.0,0,i,e,activateonal,3,12
preventable,preventabre,rs_long,,prevent,able,preventable,target,s,0.0,2,l,r,preventabre,1,11
