first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
versatile,persatile,r,,versatile,,versatile,control,r,,0,v,p,persatile,1,9
secrete,secrete,r,,secrete,,secrete,control,r,,4,e,i,secrite,0,7
activational,acdivational,rssss,,act,iv_at_ion_al,activational,target,r,,2,t,d,acdivational,1,12
discipline,dikcipline,r,,discipline,,discipline,control,r,,2,s,k,dikcipline,1,10
allurement,allerement,rs_long,,allure,ment,allurement,target,r,,3,u,e,allerement,1,10
reimburse,reimburse,ppr,re_im,burse,,reimburse,target,p,1.0,0,i,e,reemburse,0,9
sinfully,sinfolly,rss,,sin,ful_ly,sinfully,target,s,0.0,1,u,o,sinfolly,1,8
currency,currercy,r,,currency,,currency,control,r,,5,n,r,currercy,1,8
abracadabra,abracadabma,r,,abracadabra,,abracadabra,control,r,,9,r,m,abracadabma,1,11
abnormally,abmormally,prss,ab,norm,al_ly,abnormally,target,r,,0,n,m,abmormally,1,10
naturalism,yaturalism,rss,,natur,al_ism,naturalism,target,r,,0,n,y,yaturalism,1,10
encylcopedia,encylcopedia,r,,encylcopedia,,encylcopedia,control,r,,7,p,k,encylcokedia,0,12
address,adkress,r,,address,,address,control,r,,2,d,k,adkress,1,7
phenomenon,ptenomenon,r,,phenomenon,,phenomenon,control,r,,1,h,t,ptenomenon,1,10
fatally,fetally,rss,,fat,al_ly,fatally,target,r,,1,a,e,fetally,1,7
antifreeze,antifreeze,pr_long,anti,freeze,,antifreeze,target,p,0.0,0,a,e,entifreeze,0,10
rhododendron,rhotodendron,r,,rhododendron,,rhododendron,control,r,,3,d,t,rhotodendron,1,12
pedestrian,pedestrian,r,,pedestrian,,pedestrian,control,r,,7,i,a,pedestraan,0,10
nonracial,nonmacial,prs,non,raci,al,nonracial,target,r,,0,r,m,nonmacial,1,9
silhouette,silhiuette,r,,silhouette,,silhouette,control,r,,4,o,i,silhiuette,1,10
