first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
deactivition,deactivition,prsss,de,act,iv_at_ion,deactivation,target,s,1.0,0,a,i,deactivition,2,12
colpare,colpare,r,,compare,,compare,control,r,,2,m,l,colpare,2,7
actitational,actitational,rssss,,act,iv_at_ion_al,activational,target,s,0.0,1,v,t,actitational,2,12
chimpanzee,chimganzee,r,,chimpanzee,,chimpanzee,control,r,,4,p,g,chimganzee,1,10
unrelatoble,unrelatable,pprs,un_re,lat,able,unrelatable,target,s,0.0,0,a,o,unrelatoble,3,11
frankincense,frankincense,r,,frankincense,,frankincense,control,r,,8,e,i,frankincinse,0,12
outperform,outpirform,pr_long,out,perform,,outperform,target,r,,1,e,i,outpirform,1,10
clandestine,clandestime,r,,clandestine,,clandestine,control,r,,9,n,m,clandestime,1,11
amateurism,amateurihm,rs_long,,amateur,ism,amateurism,target,s,0.0,1,s,h,amateurihm,1,10
hippopohamus,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,7,t,h,hippopohamus,3,12
dislocality,dislocalitr,prs_long,dis,local,ity,dislocality,target,s,0.0,2,y,r,dislocalitr,1,11
leprechaun,reprechaun,r,,leprechaun,,leprechaun,control,r,,0,l,r,reprechaun,1,10
egoistical,egoistical,rsss,,ego,ist_ic_al,egoistical,target,r,,2,o,a,egaistical,0,10
prostitute,prostitute,r,,prostitute,,prostitute,control,r,,3,s,t,prottitute,0,10
yauthfully,yauthfully,rss,,youth,ful_ly,youthfully,target,r,,1,o,a,yauthfully,2,10
contaloupe,cantaloupe,r,,cantaloupe,,cantaloupe,control,r,,1,a,o,contaloupe,3,10
premistake,premisdake,ppr,pre_mis,take,,premistake,target,r,,0,t,d,premisdake,1,10
restaurart,restaurant,r,,restaurant,,restaurant,control,r,,8,n,r,restaurart,3,10
reactivape,reactivape,prss,re,act,iv_ate,reactivate,target,s,1.0,1,t,p,reactivape,2,10
sagittarius,sagittarius,r,,sagittarius,,sagittarius,control,r,,8,i,e,sagittareus,0,11
deodorize,deovorize,prs,de,odor,ize,deodorize,target,r,,1,d,v,deovorize,1,9
blaspheme,blaspheme,r,,blaspheme,,blaspheme,control,r,,3,s,h,blahpheme,0,9
odder,odder,rs,,odd,er,odder,target,r,,1,d,k,okder,0,5
determiye,determine,r,,determine,,determine,control,r,,7,n,y,determiye,3,9
inmoral,inmoral,pr,im,moral,,immoral,target,p,0.0,1,m,n,inmoral,2,7
salmonella,salmonella,r,,salmonella,,salmonella,control,r,,8,l,r,salmonelra,0,10
