first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
satellice,satellite,r,,satellite,,satellite,control,r,,7,t,c,satellice,3,9
again,agaan,r,,again,,again,control,r,,3,i,a,agaan,1,5
underscate,underscate,pr_long,under,state,,understate,target,r,,1,t,c,underscate,2,10
unphaven,unphaven,prs,un,shav,en,unshaven,target,r,,0,s,p,unphaven,2,8
experienpe,experience,r,,experience,,experience,control,r,,8,c,p,experienpe,3,10
orrelikable,irrelikable,pprs,ir_re,lik,able,irrelikable,target,p,0.0,0,i,o,orrelikable,3,11
analchically,analchically,prsss,an,arch,ic_al_ly,anarchically,target,r,,1,r,l,analchically,2,12
phenomenon,phenemenon,r,,phenomenon,,phenomenon,control,r,,4,o,e,phenemenon,1,10
marshmallor,marshmallor,r,,marshmallow,,marshmallow,control,r,,10,w,r,marshmallor,2,11
sound,siund,r,,sound,,sound,control,r,,1,o,i,siund,1,5
shyly,shyly,rs,,shy,ly,shyly,target,r,,0,s,f,fhyly,0,5
pedestrian,pedestrean,r,,pedestrian,,pedestrian,control,r,,7,i,e,pedestrean,1,10
caterpillar,caterpillar,r,,caterpillar,,caterpillar,control,r,,4,r,l,catelpillar,0,11
thatrical,thatricay,rs_long,,thatric,al,thatrical,target,s,0.0,1,l,y,thatricay,1,9
overreact,ovenreact,pr,over,react,,overreact,target,p,0.0,3,r,n,ovenreact,1,9
reoutcell,reoutsell,ppr,re_out,sell,,reoutsell,target,r,,0,s,c,reoutcell,3,9
abracadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,10,a,o,abracadabro,0,11
deactivation,deactivation,prsss,de,act,iv_at_ion,deactivation,target,p,0.0,1,e,o,doactivation,0,12
nonsysvemic,nonsysvemic,prs_long,non,system,ic,nonsystemic,target,r,,3,t,v,nonsysvemic,2,11
catostrophe,catostrophe,r,,catastrophe,,catastrophe,control,r,,3,a,o,catostrophe,2,11
egoistic,egoistic,rss,,ego,ist_ic,egoistic,target,s,1.0,0,i,e,egoistec,0,8
celwophane,cellophane,r,,cellophane,,cellophane,control,r,,3,l,w,celwophane,3,10
avalanche,avalancte,r,,avalanche,,avalanche,control,r,,7,h,t,avalancte,1,9
blandestine,clandestine,r,,clandestine,,clandestine,control,r,,0,c,b,blandestine,3,11
roinsurance,roinsurance,pprs,re_in,sur,ance,reinsurance,target,p,0.0,1,e,o,roinsurance,2,11
analogously,analogously,rss,,analog,ous_ly,analogously,target,r,,0,a,i,inalogously,0,11
sagittariut,sagittariut,r,,sagittarius,,sagittarius,control,r,,10,s,t,sagittariut,2,11
rerun,rerun,pr,re,run,,rerun,target,p,0.0,1,e,i,rirun,0,5
immerhion,immerhion,prs,im,mers,ion,immersion,target,r,,3,s,h,immerhion,2,9
neighbour,neighbour,r,,neighbour,,neighbour,control,r,,6,o,e,neighbeur,0,9
reenadt,reenadt,ppr,re_en,act,,reenact,target,r,,1,c,d,reenadt,2,7
diccourage,discourage,pr_long,dis,courage,,discourage,target,p,0.0,2,s,c,diccourage,3,10
encylgopedia,encylcopedia,r,,encylcopedia,,encylcopedia,control,r,,5,c,g,encylgopedia,3,12
activetional,activetional,rssss,,act,iv_at_ion_al,activational,target,s,1.0,0,a,e,activetional,2,12
agoistical,agoistical,rsss,,ego,ist_ic_al,egoistical,target,r,,0,e,a,agoistical,2,10
concwete,concrete,r,,concrete,,concrete,control,r,,4,r,w,concwete,3,8
verhically,vertically,rs_long,,vertical,ly,vertically,target,r,,3,t,h,verhically,3,10
rhodadendron,rhododendron,r,,rhododendron,,rhododendron,control,r,,4,o,a,rhodadendron,3,12
addross,addross,r,,address,,address,control,r,,4,e,o,addross,2,7
happopotamus,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,1,i,a,happopotamus,3,12
rejuvinate,rejuvinate,prs_long,re,juven,ate,rejuvenate,target,r,,3,e,i,rejuvinate,2,10
abnoryality,abnormality,prss,ab,norm,al_ity,abnormality,target,r,,3,m,y,abnoryality,3,11
eucalyptus,eucalyptus,r,,eucalyptus,,eucalyptus,control,r,,6,p,s,eucalystus,0,10
hprinter,hprinter,rs,,sprint,er,sprinter,target,r,,0,s,h,hprinter,2,8
artistically,artestically,rssss,,art,ist_ic_al_ly,artistically,target,s,0.0,0,i,e,artestically,1,12
leighbor,leighbor,r,,neighbor,,neighbor,control,r,,0,n,l,leighbor,2,8
umnaturally,umnaturally,prss,un,natur,al_ly,unnaturally,target,p,0.0,1,n,m,umnaturally,2,11
frankincenbe,frankincense,r,,frankincense,,frankincense,control,r,,10,s,b,frankincenbe,3,12
rhinoceros,rhinoceros,r,,rhinoceros,,rhinoceros,control,r,,6,e,o,rhinocoros,0,10
catalogue,catalogue,r,,catalogue,,catalogue,control,r,,3,a,e,catelogue,0,9
cgemically,chemically,rsss,,chem,ic_al_ly,chemically,target,r,,1,h,g,cgemically,3,10
protocel,protocol,r,,protocol,,protocol,control,r,,6,o,e,protocel,3,8
