first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
numerically,numorically,rsss,,numer,ic_al_ly,numerically,target,r,,3,e,o,numorically,1,11
outsmart,outsmarp,pr,out,smart,,outsmart,target,r,,4,t,p,outsmarp,1,8
redehydrate,redehydmate,ppr,re_de,hydrate,,redehydrate,target,r,,3,r,m,redehydmate,1,11
disorderly,disorderly,prs,dis,order,ly,disorderly,target,r,,1,r,l,disolderly,0,10
witlessness,witlessness,rss,,wit,less_ness,witlessness,target,r,,1,i,a,watlessness,0,11
hieroglyph,hiiroglyph,r,,hieroglyph,,hieroglyph,control,r,,2,e,i,hiiroglyph,1,10
point,poilt,r,,point,,point,control,r,,3,n,l,poilt,1,5
unmistakable,unmestakable,pprs,un_mis,tak,able,unmistakable,target,p,1.0,1,i,e,unmestakable,1,12
marshmallow,mardhmallow,r,,marshmallow,,marshmallow,control,r,,3,s,d,mardhmallow,1,11
frankincense,frankincense,r,,frankincense,,frankincense,control,r,,1,r,m,fmankincense,0,12
clandestine,clandestine,r,,clandestine,,clandestine,control,r,,4,d,t,clantestine,0,11
outlandishly,outlandishly,prss,out,land,ish_ly,outlandishly,target,s,1.0,1,y,m,outlandishlm,0,12
shyly,shyly,rs,,shy,ly,shyly,target,r,,0,s,p,phyly,0,5
hippopotamus,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,5,p,s,hipposotamus,0,12
abracadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,1,b,d,adracadabra,0,11
marshall,marsharl,r,,marshall,,marshall,control,r,,6,l,r,marsharl,1,8
