first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
reinstatable,reanstatable,pprs,re_in,stat,able,reinstatable,target,p,1.0,0,i,a,reanstatable,1,12
underexpose,underexpose,ppr,under_ex,pose,,underexpose,target,r,,0,p,s,underexsose,0,11
numerically,numerically,rsss,,numer,ic_al_ly,numerically,target,r,,4,r,n,numenically,0,11
attempt,attempp,r,,attempt,,attempt,control,r,,6,t,p,attempp,1,7
enclose,enhlose,pr,en,close,,enclose,target,r,,0,c,h,enhlose,1,7
sagittarius,sagittarius,r,,sagittarius,,sagittarius,control,r,,9,u,o,sagittarios,0,11
frankincense,frankincense,r,,frankincense,,frankincense,control,r,,6,n,r,frankircense,0,12
hippopotamus,happopotamus,r,,hippopotamus,,hippopotamus,control,r,,1,i,a,happopotamus,1,12
etiquette,etiqoette,r,,etiquette,,etiquette,control,r,,4,u,o,etiqoette,1,9
impossibly,inpossibly,prs,im,possib,ly,impossibly,target,p,0.0,1,m,n,inpossibly,1,10
redeactivate,redeactivate,pprss,re_de,act,iv_ate,redeactivate,target,r,,1,c,h,redeahtivate,0,12
couple,coaple,r,,couple,,couple,control,r,,2,u,a,coaple,1,6
marshmallow,marshmallow,r,,marshmallow,,marshmallow,control,r,,1,a,e,mershmallow,0,11
tambourine,tambourine,r,,tambourine,,tambourine,control,r,,9,e,a,tambourina,0,10
wistfully,wistfully,rss,,wist,ful_ly,wistfully,target,s,0.0,2,l,m,wistfumly,0,9
snorer,smorer,rs,,snor,er,snorer,target,r,,1,n,m,smorer,1,6
