first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
chameleon,chameleon,r,,chameleon,,chameleon,control,r,,2,a,i,chimeleon,0,9
clandastine,clandestine,r,,clandestine,,clandestine,control,r,,5,e,a,clandastine,3,11
sickness,sihkness,rs,,sick,ness,sickness,target,r,,2,c,h,sihkness,1,8
sagittarius,sagittarius,r,,sagittarius,,sagittarius,control,r,,1,a,o,sogittarius,0,11
undiscwose,undiscwose,ppr,un_dis,close,,undisclose,target,r,,1,l,w,undiscwose,2,10
irromovable,irremovable,pprs,ir_re,mov,able,irremovable,target,p,1.0,1,e,o,irromovable,3,11
enjey,enjey,pr,en,joy,,enjoy,target,r,,1,o,e,enjey,2,5
suppomtable,suppomtable,rs_long,,support,able,supportable,target,r,,5,r,m,suppomtable,2,11
salmonella,salmonella,r,,salmonella,,salmonella,control,r,,9,a,e,salmonelle,0,10
restaurart,restaurant,r,,restaurant,,restaurant,control,r,,8,n,r,restaurart,3,10
disapprove,disapprove,pr_long,dis,approve,,disapprove,target,r,,4,o,u,disappruve,0,10
hippopotamis,hippopotamis,r,,hippopotamus,,hippopotamus,control,r,,10,u,i,hippopotamis,2,12
inactivation,inactivatien,prsss,in,act,iv_at_ion,inactivation,target,s,2.0,1,o,e,inactivatien,1,12
sensational,sensationel,rsss,,sens,at_ion_al,sensational,target,s,2.0,0,a,e,sensationel,1,11
hienoglyph,hieroglyph,r,,hieroglyph,,hieroglyph,control,r,,3,r,n,hienoglyph,3,10
caterpillar,caterpillar,r,,caterpillar,,caterpillar,control,r,,6,i,a,caterpallar,0,11
marshmallom,marshmallom,r,,marshmallow,,marshmallow,control,r,,10,w,m,marshmallom,2,11
outshine,outshine,pr,out,shine,,outshine,target,r,,1,h,c,outscine,0,8
immorally,immorally,prs,im,moral,ly,immorally,target,s,0.0,0,l,r,immoralry,0,9
beast,beast,r,,beast,,beast,control,r,,3,s,t,beatt,0,5
pinnecle,pinnacle,r,,pinnacle,,pinnacle,control,r,,4,a,e,pinnecle,3,8
rhinoceros,rhinocoros,r,,rhinoceros,,rhinoceros,control,r,,6,e,o,rhinocoros,1,10
chemically,chemically,rsss,,chem,ic_al_ly,chemically,target,s,0.0,1,c,h,chemihally,0,10
ingrebient,ingredient,r,,ingredient,,ingredient,control,r,,5,d,b,ingrebient,3,10
teaccable,teaccable,rs,,teach,able,teachable,target,r,,4,h,c,teaccable,2,9
complaint,somplaint,r,,complaint,,complaint,control,r,,0,c,s,somplaint,1,9
stimumus,stimumus,r,,stimulus,,stimulus,control,r,,5,l,m,stimumus,2,8
haradigm,paradigm,r,,paradigm,,paradigm,control,r,,0,p,h,haradigm,3,8
hallilujah,hallelujah,r,,hallelujah,,hallelujah,control,r,,4,e,i,hallilujah,3,10
straighter,straighter,rs_long,,straight,er,straighter,target,r,,0,s,d,dtraighter,0,10
corpare,corpare,r,,compare,,compare,control,r,,2,m,r,corpare,2,7
rhododendron,rhododendron,r,,rhododendron,,rhododendron,control,r,,5,d,h,rhodohendron,0,12
manfully,mamfully,rss,,man,ful_ly,manfully,target,r,,2,n,m,mamfully,1,8
reactivate,reaftivate,prss,re,act,iv_ate,reactivate,target,r,,1,c,f,reaftivate,1,10
nonspepific,nonspepific,prs_long,non,specif,ic,nonspecific,target,r,,3,c,p,nonspepific,2,11
thorougv,thorough,r,,thorough,,thorough,control,r,,7,h,v,thorougv,3,8
inactivate,inactivete,prss,in,act,iv_ate,inactivate,target,s,1.0,0,a,e,inactivete,1,10
encylcopedia,encylcopedia,r,,encylcopedia,,encylcopedia,control,r,,2,c,t,entylcopedia,0,12
enfairly,unfairly,prs,un,fair,ly,unfairly,target,p,0.0,0,u,e,enfairly,3,8
abracadabra,abracodabra,r,,abracadabra,,abracadabra,control,r,,5,a,o,abracodabra,1,11
irrelevart,irrelevart,pprs,ir_re,lev,ant,irrelevant,target,s,0.0,1,n,r,irrelevart,2,10
frankimcense,frankimcense,r,,frankincense,,frankincense,control,r,,6,n,m,frankimcense,2,12
phenomenon,phenomenon,r,,phenomenon,,phenomenon,control,r,,6,e,u,phenomunon,0,10
anarchically,anarchically,prsss,an,arch,ic_al_ly,anarchically,target,r,,0,a,e,anerchically,0,12
fifthlm,fifthly,rss,,fif,th_ly,fifthly,target,s,1.0,1,y,m,fifthlm,3,7
premisose,premisose,ppr,pre_mis,use,,premisuse,target,r,,0,u,o,premisose,2,9
unfriendly,unfriendly,prs_long,un,friend,ly,unfriendly,target,p,0.0,1,n,m,umfriendly,0,10
discontimue,discontimue,pr_long,dis,continue,,discontinue,target,r,,5,n,m,discontimue,2,11
artistically,artistipally,rssss,,art,ist_ic_al_ly,artistically,target,s,1.0,1,c,p,artistipally,1,12
activationel,activational,rssss,,act,iv_at_ion_al,activational,target,s,3.0,0,a,e,activationel,3,12
architect,archotect,r,,architect,,architect,control,r,,4,i,o,archotect,1,9
silbouette,silhouette,r,,silhouette,,silhouette,control,r,,3,h,b,silbouette,3,10
