first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
artistically,aytistically,rssss,,art,ist_ic_al_ly,artistically,target,r,,1,r,y,aytistically,1,12
satellite,sahellite,r,,satellite,,satellite,control,r,,2,t,h,sahellite,1,9
discipline,discipline,r,,discipline,,discipline,control,r,,9,e,i,disciplini,0,10
egoistically,epoistically,rssss,,ego,ist_ic_al_ly,egoistically,target,r,,1,g,p,epoistically,1,12
catastrophe,catastrophe,r,,catastrophe,,catastrophe,control,r,,0,c,s,satastrophe,0,11
analogue,analogue,r,,analogue,,analogue,control,r,,3,l,w,anawogue,0,8
abracadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,6,d,p,abracapabra,0,11
activation,activation,rsss,,act,iv_at_ion,activation,target,s,1.0,0,a,e,activetion,0,10
champaign,champaign,r,,champaign,,champaign,control,r,,1,h,f,cfampaign,0,9
apparatus,apparatus,r,,apparatus,,apparatus,control,r,,8,s,p,apparatup,0,9
weaponless,weaponless,rs_long,,weapon,less,weaponless,target,s,0.0,2,s,b,weaponlebs,0,10
dishonor,dishonor,pr,dis,honor,,dishonor,target,r,,3,o,e,dishoner,0,8
syndrome,sywdrome,r,,syndrome,,syndrome,control,r,,2,n,w,sywdrome,1,8
watcher,watchor,rs,,watch,er,watcher,target,s,0.0,0,e,o,watchor,1,7
against,agoinst,r,,against,,against,control,r,,2,a,o,agoinst,1,7
black,blatk,r,,black,,black,control,r,,3,c,t,blatk,1,5
hippopotamus,hippopetamus,r,,hippopotamus,,hippopotamus,control,r,,6,o,e,hippopetamus,1,12
lawfully,lawfully,rss,,law,ful_ly,lawfully,target,s,1.0,1,y,m,lawfullm,0,8
rhododendron,rhedodendron,r,,rhododendron,,rhododendron,control,r,,2,o,e,rhedodendron,1,12
abnormally,abnorrally,prss,ab,norm,al_ly,abnormally,target,r,,3,m,r,abnorrally,1,10
