first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
sagittarius,sagittarius,r,,sagittarius,,sagittarius,control,r,,9,u,e,sagittaries,0,11
anread,anread,pr,un,read,,unread,target,p,0.0,0,u,a,anread,2,6
prostituta,prostitute,r,,prostitute,,prostitute,control,r,,9,e,a,prostituta,3,10
unevently,unevemtly,prs,un,event,ly,unevently,target,r,,3,n,m,unevemtly,1,9
underground,underground,pr_long,under,ground,,underground,target,p,0.0,2,d,b,unberground,0,11
yearly,yearly,rs,,year,ly,yearly,target,s,0.0,0,l,r,yearry,0,6
rhododendron,rhododendrom,r,,rhododendron,,rhododendron,control,r,,11,n,m,rhododendrom,1,12
irrelitable,irrelikable,pprs,ir_re,lik,able,irrelikable,target,r,,2,k,t,irrelitable,3,11
altistically,artistically,rssss,,art,ist_ic_al_ly,artistically,target,r,,1,r,l,altistically,3,12
experience,axperience,r,,experience,,experience,control,r,,0,e,a,axperience,1,10
revaluation,revaluation,prss,re,valu,at_ion,revaluation,target,s,1.0,0,i,a,revaluataon,0,11
extrect,extract,pr,ex,tract,,extract,target,r,,2,a,e,extrect,3,7
marshmallow,marshmallow,r,,marshmallow,,marshmallow,control,r,,9,o,u,marshmalluw,0,11
caterpillar,caterpillar,r,,caterpillar,,caterpillar,control,r,,6,i,a,caterpallar,0,11
frankincenhe,frankincenhe,r,,frankincense,,frankincense,control,r,,10,s,h,frankincenhe,2,12
woodenly,woodenly,rss,,wood,en_ly,woodenly,target,s,0.0,1,n,y,woodeyly,0,8
ringle,mingle,r,,mingle,,mingle,control,r,,0,m,r,ringle,3,6
crustahean,crustacean,r,,crustacean,,crustacean,control,r,,6,c,h,crustahean,3,10
article,articye,r,,article,,article,control,r,,5,l,y,articye,1,7
abracadabra,abracidabra,r,,abracadabra,,abracadabra,control,r,,5,a,i,abracidabra,1,11
uninform,uninform,ppr,un_in,form,,uninform,target,r,,1,o,i,uninfirm,0,8
unsisclose,unsisclose,ppr,un_dis,close,,undisclose,target,p,1.0,0,d,s,unsisclose,2,10
artillery,artillery,r,,artillery,,artillery,control,r,,7,r,m,artillemy,0,9
repertoime,repertoire,r,,repertoire,,repertoire,control,r,,8,r,m,repertoime,3,10
yellowness,yellowness,rs_long,,yellow,ness,yellowness,target,s,0.0,3,s,d,yellownesd,0,10
translatow,translator,rs_long,,translat,or,translator,target,s,0.0,1,r,w,translatow,3,10
egoistically,agoistically,rssss,,ego,ist_ic_al_ly,egoistically,target,r,,0,e,a,agoistically,1,12
chinchilra,chinchilla,r,,chinchilla,,chinchilla,control,r,,8,l,r,chinchilra,3,10
protect,crotect,r,,protect,,protect,control,r,,0,p,c,crotect,1,7
abnormally,abnormally,prss,ab,norm,al_ly,abnormally,target,s,0.0,0,a,e,abnormelly,0,10
absolute,absoyute,r,,absolute,,absolute,control,r,,4,l,y,absoyute,1,8
inactitation,inactitation,prsss,in,act,iv_at_ion,inactivation,target,s,0.0,1,v,t,inactitation,2,12
deactivetion,deactivetion,prsss,de,act,iv_at_ion,deactivation,target,s,1.0,0,a,e,deactivetion,2,12
diflocality,dislocality,prs_long,dis,local,ity,dislocality,target,p,0.0,2,s,f,diflocality,3,11
unrelatahle,unrelatahle,pprs,un_re,lat,able,unrelatable,target,s,0.0,1,b,h,unrelatahle,2,11
quarantine,quorantine,r,,quarantine,,quarantine,control,r,,2,a,o,quorantine,1,10
pronounca,pronounce,r,,pronounce,,pronounce,control,r,,8,e,a,pronounca,3,9
egoistical,egoistical,rsss,,ego,ist_ic_al,egoistical,target,s,2.0,0,a,o,egoisticol,0,10
holocaust,holocaist,r,,holocaust,,holocaust,control,r,,6,u,i,holocaist,1,9
attack,attack,r,,attack,,attack,control,r,,1,t,s,astack,0,6
emohionally,emohionally,rsss,,emot,ion_al_ly,emotionally,target,r,,3,t,h,emohionally,2,11
teachable,heachable,rs,,teach,able,teachable,target,r,,0,t,h,heachable,1,9
removal,removam,prs,re,mov,al,removal,target,s,0.0,1,l,m,removam,1,7
clantestine,clandestine,r,,clandestine,,clandestine,control,r,,4,d,t,clantestine,3,11
encylcopedia,encylcopidia,r,,encylcopedia,,encylcopedia,control,r,,8,e,i,encylcopidia,1,12
visapprove,visapprove,pr_long,dis,approve,,disapprove,target,p,0.0,0,d,v,visapprove,2,10
wishfully,wishfully,rss,,wish,ful_ly,wishfully,target,r,,1,i,u,wushfully,0,9
complete,corplete,r,,complete,,complete,control,r,,2,m,r,corplete,1,8
capastrophe,capastrophe,r,,catastrophe,,catastrophe,control,r,,2,t,p,capastrophe,2,11
heppopotamus,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,1,i,e,heppopotamus,3,12
guillotane,guillotane,r,,guillotine,,guillotine,control,r,,7,i,a,guillotane,2,10
disordemly,disorderly,prs_long,dis,order,ly,disorderly,target,r,,4,r,m,disordemly,3,10
