first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
hierogmyph,hierogmyph,r,,hieroglyph,,hieroglyph,control,r,,6,l,m,hierogmyph,2,10
woranizer,womanizer,rss,,woman,iz_er,womanizer,target,r,,2,m,r,woranizer,3,9
chimdanzee,chimdanzee,r,,chimpanzee,,chimpanzee,control,r,,4,p,d,chimdanzee,2,10
activational,activational,rssss,,act,iv_at_ion_al,activational,target,s,2.0,1,o,a,activatianal,0,12
irremovable,irremivable,pprs,ir_re,mov,able,irremovable,target,r,,1,o,i,irremivable,1,11
underground,undergrouwd,pr_long,under,ground,,underground,target,r,,4,n,w,undergrouwd,1,11
ctampaign,champaign,r,,champaign,,champaign,control,r,,1,h,t,ctampaign,3,9
debug,dabug,pr,de,bug,,debug,target,p,0.0,1,e,a,dabug,1,5
endylcopedia,endylcopedia,r,,encylcopedia,,encylcopedia,control,r,,2,c,d,endylcopedia,2,12
grankincense,frankincense,r,,frankincense,,frankincense,control,r,,0,f,g,grankincense,3,12
natcher,natcher,rs,,watch,er,watcher,target,r,,0,w,n,natcher,2,7
emfranchise,enfranchise,pr_long,en,franchise,,enfranchise,target,p,0.0,1,n,m,emfranchise,3,11
combime,combime,r,,combine,,combine,control,r,,5,n,m,combime,2,7
hippopotamuh,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,11,s,h,hippopotamuh,3,12
phenomenin,phenomenin,r,,phenomenon,,phenomenon,control,r,,8,o,i,phenomenin,2,10
scepticitm,scepticism,rs_long,,sceptic,ism,scepticism,target,s,0.0,1,s,t,scepticitm,3,10
inactivition,inactivation,prsss,in,act,iv_at_ion,inactivation,target,s,1.0,0,a,i,inactivition,3,12
opinion,opinion,r,,opinion,,opinion,control,r,,6,n,m,opiniom,0,7
agree,agree,r,,agree,,agree,control,r,,0,a,i,igree,0,5
tantaloupe,cantaloupe,r,,cantaloupe,,cantaloupe,control,r,,0,c,t,tantaloupe,3,10
numelically,numelically,rsss,,numer,ic_al_ly,numerically,target,r,,4,r,l,numelically,2,11
clandestine,clandestine,r,,clandestine,,clandestine,control,r,,10,e,a,clandestina,0,11
redeflate,redeflete,ppr,re_de,flate,,redeflate,target,r,,2,a,e,redeflete,1,9
reservoir,reservoar,r,,reservoir,,reservoir,control,r,,7,i,a,reservoar,1,9
marstmallow,marstmallow,r,,marshmallow,,marshmallow,control,r,,4,h,t,marstmallow,2,11
pedestrean,pedestrean,r,,pedestrian,,pedestrian,control,r,,7,i,e,pedestrean,2,10
immorally,immirally,prs,im,moral,ly,immorally,target,r,,1,o,i,immirally,1,9
reattivate,reattivate,prss,re,act,iv_ate,reactivate,target,r,,1,c,t,reattivate,2,10
catastwophe,catastrophe,r,,catastrophe,,catastrophe,control,r,,6,r,w,catastwophe,3,11
wecycle,recycle,pr,re,cycle,,recycle,target,p,0.0,0,r,w,wecycle,3,7
reversabla,reversable,prs_long,re,vers,able,reversable,target,s,0.0,3,e,a,reversabla,3,10
optionally,opsionally,rsss,,opt,ion_al_ly,optionally,target,r,,2,t,s,opsionally,1,10
anarchically,amarchically,prsss,an,arch,ic_al_ly,anarchically,target,p,0.0,1,n,m,amarchically,1,12
tentdly,tentdly,rss,,ten,th_ly,tenthly,target,s,0.0,1,h,d,tentdly,2,7
remistake,remistake,ppr,re_mis,take,,remistake,target,p,0.0,0,r,m,memistake,0,9
chimchilla,chinchilla,r,,chinchilla,,chinchilla,control,r,,3,n,m,chimchilla,3,10
removal,removel,prs,re,mov,al,removal,target,s,0.0,0,a,e,removel,1,7
communi,commune,r,,commune,,commune,control,r,,6,e,i,communi,3,7
verpatile,versatile,r,,versatile,,versatile,control,r,,3,s,p,verpatile,3,9
ector,ector,rs,,act,or,actor,target,r,,0,a,e,ector,2,5
discuss,discust,r,,discuss,,discuss,control,r,,6,s,t,discust,1,7
abnormally,ebnormally,prss,ab,norm,al_ly,abnormally,target,p,0.0,0,a,e,ebnormally,1,10
abracadabre,abracadabra,r,,abracadabra,,abracadabra,control,r,,10,a,e,abracadabre,3,11
phone,phone,r,,phone,,phone,control,r,,4,e,a,phona,0,5
catalogue,catalogue,r,,catalogue,,catalogue,control,r,,5,o,e,catalegue,0,9
unrelatable,unreletable,pprs,un_re,lat,able,unrelatable,target,r,,1,a,e,unreletable,1,11
alluremenb,alluremenb,rs_long,,allure,ment,allurement,target,s,0.0,3,t,b,alluremenb,2,10
rhodedendron,rhodedendron,r,,rhododendron,,rhododendron,control,r,,4,o,e,rhodedendron,2,12
caterpillar,caterpillar,r,,caterpillar,,caterpillar,control,r,,0,c,d,daterpillar,0,11
egoistocally,egoistocally,rssss,,ego,ist_ic_al_ly,egoistically,target,s,1.0,0,i,o,egoistocally,2,12
sapittarius,sapittarius,r,,sagittarius,,sagittarius,control,r,,2,g,p,sapittarius,2,11
disapprover,disapprovel,prs_long,dis,approv,er,disapprover,target,s,0.0,1,r,l,disapprovel,1,11
