first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
tambourine,tambourini,r,,tambourine,,tambourine,control,r,,9,e,i,tambourini,1,10
nonracial,nonraceal,prs,non,raci,al,nonracial,target,r,,3,i,e,nonraceal,1,9
unfriendly,unfriendly,prs_long,un,friend,ly,unfriendly,target,s,0.0,0,l,w,unfriendwy,0,10
clandestine,clantestine,r,,clandestine,,clandestine,control,r,,4,d,t,clantestine,1,11
hippopetamus,hippopotamus,r,,hippopotamus,,hippopotamus,control,r,,6,o,e,hippopetamus,3,12
disappoint,disappoint,pr_long,dis,appoint,,disappoint,target,p,0.0,0,d,s,sisappoint,0,10
silhouette,silhouette,r,,silhouette,,silhouette,control,r,,0,s,t,tilhouette,0,10
encylcopedia,encylcopetia,r,,encylcopedia,,encylcopedia,control,r,,9,d,t,encylcopetia,1,12
catastroppe,catastroppe,r,,catastrophe,,catastrophe,control,r,,9,h,p,catastroppe,2,11
programme,programme,r,,programme,,programme,control,r,,4,r,n,prognamme,0,9
casalog,casalog,r,,catalog,,catalog,control,r,,2,t,s,casalog,2,7
neighbouy,neighbouy,r,,neighbour,,neighbour,control,r,,8,r,y,neighbouy,2,9
sagittarous,sagittarius,r,,sagittarius,,sagittarius,control,r,,8,i,o,sagittarous,3,11
deactivateon,deactivateon,prsss,de,act,iv_at_ion,deactivation,target,s,2.0,0,i,e,deactivateon,2,12
pitifully,pitifully,rss,,piti,ful_ly,pitifully,target,r,,2,t,h,pihifully,0,9
fwankincense,fwankincense,r,,frankincense,,frankincense,control,r,,1,r,w,fwankincense,2,12
enevently,unevently,prs,un,event,ly,unevently,target,p,0.0,0,u,e,enevently,3,9
hlack,hlack,r,,black,,black,control,r,,0,b,h,hlack,2,5
versatili,versatile,r,,versatile,,versatile,control,r,,8,e,i,versatili,3,9
activational,ectivational,rssss,,act,iv_at_ion_al,activational,target,r,,0,a,e,ectivational,1,12
emodionally,emodionally,rsss,,emot,ion_al_ly,emotionally,target,r,,3,t,d,emodionally,2,11
marshmallow,marshmallow,r,,marshmallow,,marshmallow,control,r,,1,a,e,mershmallow,0,11
fourthwy,fourthly,rss,,four,th_ly,fourthly,target,s,1.0,0,l,w,fourthwy,3,8
allaw,allow,r,,allow,,allow,control,r,,3,o,a,allaw,3,5
depotulate,depopulate,prs_long,de,popul,ate,depopulate,target,r,,2,p,t,depotulate,3,10
abracadabra,abracadabma,r,,abracadabra,,abracadabra,control,r,,9,r,m,abracadabma,1,11
chimpanzee,chimpanzee,r,,chimpanzee,,chimpanzee,control,r,,2,i,e,chempanzee,0,10
sensational,sensatioyal,rsss,,sens,at_ion_al,sensational,target,s,1.0,2,n,y,sensatioyal,1,11
irrelikable,irremikable,pprs,ir_re,lik,able,irrelikable,target,r,,0,l,m,irremikable,1,11
rhododendron,rhododeldron,r,,rhododendron,,rhododendron,control,r,,7,n,l,rhododeldron,1,12
chareleon,chareleon,r,,chameleon,,chameleon,control,r,,3,m,r,chareleon,2,9
gayir,gayer,rs,,gay,er,gayer,target,s,0.0,0,e,i,gayir,3,5
medicine,medicine,r,,medicine,,medicine,control,r,,6,n,r,medicire,0,8
reinfoyce,reinfoyce,ppr,re_in,force,,reinforce,target,r,,2,r,y,reinfoyce,2,9
overstep,overstep,pr,over,step,,overstep,target,p,0.0,0,o,i,iverstep,0,8
somorsault,somersault,r,,somersault,,somersault,control,r,,3,e,o,somorsault,3,10
enclose,enclose,pr,en,close,,enclose,target,p,0.0,1,n,r,erclose,0,7
unnaturally,unnaturally,prss,un,natur,al_ly,unnaturally,target,s,1.0,0,l,n,unnaturalny,0,11
famouflage,camouflage,r,,camouflage,,camouflage,control,r,,0,c,f,famouflage,3,10
asnormally,abnormally,prss,ab,norm,al_ly,abnormally,target,p,0.0,1,b,s,asnormally,3,10
irremovable,irremovable,pprs,ir_re,mov,able,irremovable,target,p,1.0,1,e,i,irrimovable,0,11
yarathon,marathon,r,,marathon,,marathon,control,r,,0,m,y,yarathon,3,8
utiquette,etiquette,r,,etiquette,,etiquette,control,r,,0,e,u,utiquette,3,9
palew,paler,rs,,pal,er,paler,target,s,0.0,1,r,w,palew,3,5
inectivation,inectivation,prsss,in,act,iv_at_ion,inactivation,target,r,,0,a,e,inectivation,2,12
artistically,artishically,rssss,,art,ist_ic_al_ly,artistically,target,s,0.0,2,t,h,artishically,1,12
ceterpillar,ceterpillar,r,,caterpillar,,caterpillar,control,r,,1,a,e,ceterpillar,2,11
reimstate,reimstate,ppr,re_in,state,,reinstate,target,p,1.0,1,n,m,reimstate,2,9
scepticism,scepticism,rs_long,,sceptic,ism,scepticism,target,r,,5,i,e,sceptecism,0,10
holmowness,holmowness,rs_long,,hollow,ness,hollowness,target,r,,3,l,m,holmowness,2,10
discontinue,discontimue,pr_long,dis,continue,,discontinue,target,r,,5,n,m,discontimue,1,11
hieroglyph,hieroglrph,r,,hieroglyph,,hieroglyph,control,r,,7,y,r,hieroglrph,1,10
