first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
nuebsiwnoita,nuebsiwnoite,pprs,pp,s,siw,nu_eb,noita,nuebsiwnoita,control,s,0.0,4,a,e,nuebsiwnoite,1
rebodical,rebodical,prss,p,ss,bod,re,ic_al,rebodical,target,r,,2,d,c,rebocical,0
edluoryl,edluoryl,prs,p,s,luor,ed,yl,edluoryl,control,r,,3,r,w,edluowyl,0
purt,puyt,r,,,purt,,,purt,control,r,,2,r,y,puyt,1
colgcilayl,colgtilayl,rsss,,sss,colg,,ci_la_yl,colgcilayl,control,s,0.0,0,c,t,colgtilayl,1
reinteanful,reinteanful,pprs,pp,s,tean,re_in,ful,reinteanful,target,r,,1,e,o,reintoanful,0
rederien,rederien,ppr,pp,,rien,re_de,,rederien,target,p,0.0,1,e,u,ruderien,0
prederamless,pwederamless,pprs,pp,s,ram,pre_de,less,prederamless,target,p,0.0,1,r,w,pwederamless,1
orpmof,orpmof,pr,p,,mof,orp,,orpmof,control,p,0.0,2,p,s,orsmof,0
orpcolgeta,orpcolgeta,prs,p,s,colg,orp,eta,orpcolgeta,control,r,,1,o,e,orpcelgeta,0
inheedly,iyheedly,prs,p,s,heed,in,ly,inheedly,target,p,0.0,1,n,y,iyheedly,1
nunineirlayl,nunineirlayl,pprss,pp,ss,neir,nu_ni,la_yl,nunineirlayl,control,p,1.0,0,n,y,nuyineirlayl,0
recarpiously,retarpiously,prss,p,ss,carp,re,ious_ly,recarpiously,target,r,,0,c,t,retarpiously,1
nibusmaereta,nibusmaereta,pprs,pp,s,maer,ni_bus,eta,nibusmaereta,control,p,1.0,2,s,h,nibuhmaereta,0
indistrupisticly,indistrupisticly,pprsss,pp,sss,trup,in_dis,ist_ic_ly,indistrupisticly,target,p,0.0,1,n,y,iydistrupisticly,0
errevokoopnoitala,errevokoopnoitala,pprss,pp,ss,koop,er_revo,noita_la,errevokoopnoitala,control,r,,0,k,f,errevofoopnoitala,0
ninuaztnem,ninuaztnom,prs,p,s,nuaz,ni,tnem,ninuaztnem,control,s,0.0,2,e,o,ninuaztnom,1
mikoop,mikaop,pr,p,,koop,mi,,mikoop,control,r,,1,o,a,mikaop,1
deehnoita,deehnoita,rs,,s,deeh,,noita,deehnoita,control,r,,0,d,t,teehnoita,0
insubtean,insubtean,ppr,pp,,tean,in_sub,,insubtean,target,r,,2,a,o,insubteon,0
reammental,realmental,rss,,ss,ream,,ment_al,reammental,target,r,,3,m,l,realmental,1
tnopnoitala,tnopnoitala,rss,,ss,tnop,,noita_la,tnopnoitala,control,s,0.0,2,i,e,tnopnoetala,0
pont,hont,r,,,pont,,,pont,target,r,,0,p,h,hont,1
purttsiciyl,purttsiciyl,rsss,,sss,purt,,tsi_ci_yl,purttsiciyl,control,s,2.0,0,y,w,purttsiciwl,0
orpdoblufylssen,orpdoblufllssen,prsss,p,sss,dob,orp,luf_yl_ssen,orpdoblufylssen,control,s,1.0,0,y,l,orpdoblufllssen,1
erprac,erproc,pr,p,,prac,er,,erprac,control,r,,2,a,o,erproc,1
gejsuoiyl,gejsuoiyl,rss,,ss,gej,,suoi_yl,gejsuoiyl,control,r,,0,g,h,hejsuoiyl,0
maerlufylssen,maerlufylssen,rsss,,sss,maer,,luf_yl_ssen,maerlufylssen,control,r,,1,a,e,meerlufylssen,0
insubprasate,insubprosate,pprs,pp,s,pras,in_sub,ate,insubprasate,target,r,,2,a,o,insubprosate,1
inclatly,incletly,prs,p,s,clat,in,ly,inclatly,target,r,,2,a,e,incletly,1
recun,recen,pr,p,,cun,re,,recun,target,r,,1,u,e,recen,1
predekeally,predekeally,pprs,pp,s,keal,pre_de,ly,predekeally,target,r,,1,e,a,predekaally,0
progirtally,progirtally,prss,p,ss,girt,pro,al_ly,progirtally,target,s,0.0,0,a,u,progirtully,0
remisrienational,remisrianational,pprss,pp,ss,rien,re_mis,ation_al,remisrienational,target,r,,2,e,a,remisrianational,1
ercolgcilayl,ercolgcelayl,prsss,p,sss,colg,er,ci_la_yl,ercolgcilayl,control,s,0.0,1,i,e,ercolgcelayl,1
kealically,kealically,rsss,,sss,keal,,ic_al_ly,kealically,target,s,2.0,1,y,m,kealicallm,0
deehcilayl,deehcilayl,rsss,,sss,deeh,,ci_la_yl,deehcilayl,control,s,1.0,0,l,m,deehcimayl,0
rebodmentally,rebodmentally,prsss,p,sss,bod,re,ment_al_ly,rebodmentally,target,s,0.0,3,t,p,rebodmenpally,0
insubwis,insubwis,ppr,pp,,wis,in_sub,,insubwis,target,r,,1,i,u,insubwus,0
indiscarpalistic,indiscarpalistic,pprsss,pp,sss,carp,in_dis,al_ist_ic,indiscarpalistic,target,p,1.0,1,i,e,indescarpalistic,0
reketally,reketarly,prss,p,ss,ket,re,al_ly,reketally,target,s,0.0,1,l,r,reketarly,1
busluorlatsici,busluorlatsici,prsss,p,sss,luor,bus,la_tsi_ci,busluorlatsici,control,r,,2,o,a,busluarlatsici,0
predejegate,predejegate,pprs,pp,s,jeg,pre_de,ate,predejegate,target,p,1.0,1,e,i,predijegate,0
romcilayl,romcelayl,rsss,,sss,rom,,ci_la_yl,romcilayl,control,s,0.0,1,i,e,romcelayl,1
defomly,defomly,prs,p,s,fom,de,ly,defomly,target,r,,0,f,p,depomly,0
remisglocmental,lemisglocmental,pprss,pp,ss,gloc,re_mis,ment_al,remisglocmental,target,p,0.0,0,r,l,lemisglocmental,1
reoverclatmentally,reoverclatmentally,pprsss,pp,sss,clat,re_over,ment_al_ly,reoverclatmentally,target,r,,2,a,e,reovercletmentally,0
niluorcilayl,niluorhilayl,prsss,p,sss,luor,ni,ci_la_yl,niluorcilayl,control,s,0.0,0,c,h,niluorhilayl,1
rediskrew,retiskrew,ppr,pp,,krew,re_dis,,rediskrew,target,p,1.0,0,d,t,retiskrew,1
xeriektnemla,xeriektnemla,prss,p,ss,riek,xe,tnem_la,xeriektnemla,control,r,,0,r,w,xewiektnemla,0
romylssen,romylssen,rss,,ss,rom,,yl_ssen,romylssen,control,s,1.0,2,e,a,romylssan,0
exglocmentally,exgnocmentally,prsss,p,sss,gloc,ex,ment_al_ly,exglocmentally,target,r,,1,l,n,exgnocmentally,1
errevoteklufssen,errevoteklufssen,pprss,pp,ss,tek,er_revo,luf_ssen,errevoteklufssen,control,r,,1,e,a,errevotaklufssen,0
kealation,kealation,rs,,s,keal,,ation,kealation,target,s,0.0,3,o,e,kealatien,0
uncarplyness,uncarplyness,prss,p,ss,carp,un,ly_ness,uncarplyness,target,p,0.0,1,n,r,urcarplyness,0
redisglocmental,redisglocmental,pprss,pp,ss,gloc,re_dis,ment_al,redisglocmental,target,p,1.0,2,s,p,redipglocmental,0
ersimmaertnemla,ersimmaertnemla,pprss,pp,ss,maer,er_sim,tnem_la,ersimmaertnemla,control,s,1.0,1,a,o,ersimmaertnemlo,0
erniroytsi,erniroytsi,pprs,pp,s,roy,er_ni,tsi,erniroytsi,control,s,0.0,1,s,k,erniroytki,0
roynoitala,roynuitala,rss,,ss,roy,,noita_la,roynoitala,control,s,0.0,1,o,u,roynuitala,1
pontmental,pondmental,rss,,ss,pont,,ment_al,pontmental,target,r,,3,t,d,pondmental,1
roytnemla,roytnemla,rss,,ss,roy,,tnem_la,roytnemla,control,r,,1,o,e,reytnemla,0
procet,procet,pr,p,,cet,pro,,procet,target,r,,2,t,p,procep,0
nibusnuceru,nibusnucelu,pprs,pp,s,nuc,ni_bus,eru,nibusnuceru,control,s,0.0,1,r,l,nibusnucelu,1
glocmentally,glocmentally,rsss,,sss,gloc,,ment_al_ly,glocmentally,target,r,,1,l,r,grocmentally,0
rediscun,rediscun,ppr,pp,,cun,re_dis,,rediscun,target,r,,0,c,s,redissun,0
orpnaetnoita,orpnaetnoita,prs,p,s,naet,orp,noita,orpnaetnoita,control,r,,3,t,k,orpnaeknoita,0
erkoopsuoiyl,erkoopsuoiyl,prss,p,ss,koop,er,suoi_yl,erkoopsuoiyl,control,r,,3,p,b,erkoobsuoiyl,0
reoverpookmentally,reoversookmentally,pprsss,pp,sss,pook,re_over,ment_al_ly,reoverpookmentally,target,r,,0,p,s,reoversookmentally,1
eredriektnemlayl,eredriektnemlayl,pprsss,pp,sss,riek,er_ed,tnem_la_yl,eredriektnemlayl,control,p,1.0,0,e,u,erudriektnemlayl,0
ersimtecci,ersimtevci,pprs,pp,s,tec,er_sim,ci,ersimtecci,control,r,,2,c,v,ersimtevci,1
repook,repook,pr,p,,pook,re,,repook,target,p,0.0,1,e,a,rapook,0
siddeehlayl,siddeeblayl,prss,p,ss,deeh,sid,la_yl,siddeehlayl,control,r,,3,h,b,siddeeblayl,1
predeyoral,predeyomal,pprs,pp,s,yor,pre_de,al,predeyoral,target,r,,2,r,m,predeyomal,1
uninpontness,uninpuntness,pprs,pp,s,pont,un_in,ness,uninpontness,target,r,,1,o,u,uninpuntness,1
meeration,meeration,rs,,s,meer,,ation,meeration,target,s,0.0,0,a,e,meeretion,0
rewis,remis,pr,p,,wis,re,,rewis,target,r,,0,w,m,remis,1
clatly,clatll,rs,,s,clat,,ly,clatly,target,s,0.0,1,y,l,clatll,1
teceta,tecota,rs,,s,tec,,eta,teceta,control,s,0.0,0,e,o,tecota,1
proprasance,praprasance,prs,p,s,pras,pro,ance,proprasance,target,p,0.0,2,o,a,praprasance,1
redisreammental,redismeammental,pprss,pp,ss,ream,re_dis,ment_al,redisreammental,target,r,,0,r,m,redismeammental,1
eredsarptnemla,eredsarptnemla,pprss,pp,ss,sarp,er_ed,tnem_la,eredsarptnemla,control,s,0.0,1,n,r,eredsarptremla,0
dismorally,tismorally,prss,p,ss,mor,dis,al_ly,dismorally,target,p,0.0,0,d,t,tismorally,1
predemeer,predemeer,ppr,pp,,meer,pre_de,,predemeer,target,p,0.0,1,r,y,pyedemeer,0
erpedrometa,erpedrometa,pprs,pp,s,rom,erp_ed,eta,erpedrometa,control,s,0.0,2,a,i,erpedrometi,0
exkeirmental,exkeirmontal,prss,p,ss,keir,ex,ment_al,exkeirmental,target,s,0.0,1,e,o,exkeirmontal,1
drunmental,drunmertal,rss,,ss,drun,,ment_al,drunmental,target,s,0.0,2,n,r,drunmertal,1
erdeehlayl,erdoehlayl,prss,p,ss,deeh,er,la_yl,erdeehlayl,control,r,,1,e,o,erdoehlayl,1
orpluorlayl,erpluorlayl,prss,p,ss,luor,orp,la_yl,orpluorlayl,control,p,0.0,0,o,e,erpluorlayl,1
overmoristicly,overmoristicly,prsss,p,sss,mor,over,ist_ic_ly,overmoristicly,target,p,0.0,1,v,p,opermoristicly,0
nunilaek,runilaek,ppr,pp,,laek,nu_ni,,nunilaek,control,p,0.0,0,n,r,runilaek,1
teklayl,seklayl,rss,,ss,tek,,la_yl,teklayl,control,r,,0,t,s,seklayl,1
tnopssen,tnepssen,rs,,s,tnop,,ssen,tnopssen,control,r,,2,o,e,tnepssen,1
proream,proream,pr,p,,ream,pro,,proream,target,r,,1,e,o,proroam,0
orproyyl,orproyyl,prs,p,s,roy,orp,yl,orproyyl,control,p,0.0,1,r,w,owproyyl,0
erpedtrigylssen,elpedtrigylssen,pprss,pp,ss,trig,erp_ed,yl_ssen,erpedtrigylssen,control,p,0.0,1,r,l,elpedtrigylssen,1
heedal,heedal,rs,,s,heed,,al,heedal,target,s,0.0,1,l,n,heedan,0
gejylssen,gejylssen,rss,,ss,gej,,yl_ssen,gejylssen,control,r,,1,e,a,gajylssen,0
errevonaettnemlayl,errevonaettnemloyl,pprsss,pp,sss,naet,er_revo,tnem_la_yl,errevonaettnemlayl,control,s,1.0,1,a,o,errevonaettnemloyl,1
heedalistic,heedaristic,rsss,,sss,heed,,al_ist_ic,heedalistic,target,s,0.0,1,l,r,heedaristic,1
deehtnemla,deehtnemla,rss,,ss,deeh,,tnem_la,deehtnemla,control,r,,3,h,s,deestnemla,0
erwerk,erwerk,pr,p,,werk,er,,erwerk,control,r,,1,e,o,erwork,0
nisidsiwtsiciyl,nisidsiwtsiciyl,pprsss,pp,sss,siw,ni_sid,tsi_ci_yl,nisidsiwtsiciyl,control,p,1.0,2,d,c,nisicsiwtsiciyl,0
