first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
teknoita,teknoita,rs,,s,tek,,noita,teknoita,control,r,,0,t,d,deknoita,0
edcolgla,edcolsla,prs,p,s,colg,ed,la,edcolgla,control,r,,3,g,s,edcolsla,1
trupical,trucical,rss,,ss,trup,,ic_al,trupical,target,r,,3,p,c,trucical,1
uninglocisticly,oninglocisticly,pprsss,pp,sss,gloc,un_in,ist_ic_ly,uninglocisticly,target,p,0.0,0,u,o,oninglocisticly,1
krewically,hrewically,rsss,,sss,krew,,ic_al_ly,krewically,target,r,,0,k,h,hrewically,1
errevoreemla,errevoroemla,pprs,pp,s,reem,er_revo,la,errevoreemla,control,r,,1,e,o,errevoroemla,1
teanable,teanabre,rs,,s,tean,,able,teanable,target,s,0.0,2,l,r,teanabre,1
nibusnurdlufyl,nobusnurdlufyl,pprss,pp,ss,nurd,ni_bus,luf_yl,nibusnurdlufyl,control,p,0.0,1,i,o,nobusnurdlufyl,1
ernilaek,ernilaeg,ppr,pp,,laek,er_ni,,ernilaek,control,r,,3,k,g,ernilaeg,1
reovermoration,reovermoration,pprs,pp,s,mor,re_over,ation,reovermoration,target,p,1.0,0,o,a,reavermoration,0
remiskeirance,remiskeirance,pprs,pp,s,keir,re_mis,ance,remiskeirance,target,p,0.0,0,r,y,yemiskeirance,0
simtnopnoitala,simtmopnoitala,prss,p,ss,tnop,sim,noita_la,simtnopnoitala,control,r,,1,n,m,simtmopnoitala,1
cunically,cunically,rsss,,sss,cun,,ic_al_ly,cunically,target,r,,1,u,i,cinically,0
retnitrignoita,retnitrignoita,prs,p,s,trig,retni,noita,retnitrignoita,control,s,0.0,2,i,e,retnitrignoeta,0
defomation,defimation,prs,p,s,fom,de,ation,defomation,target,r,,1,o,i,defimation,1
mormentally,mormentilly,rsss,,sss,mor,,ment_al_ly,mormentally,target,s,1.0,0,a,i,mormentilly,1
incet,incet,pr,p,,cet,in,,incet,target,r,,0,c,v,invet,0
reinkeal,reinkeal,ppr,pp,,keal,re_in,,reinkeal,target,p,0.0,0,r,y,yeinkeal,0
cetmentally,cetmentally,rsss,,sss,cet,,ment_al_ly,cetmentally,target,s,0.0,2,n,l,cetmeltally,0
ertuowerknoita,ertuowerknoita,pprs,pp,s,werk,er_tuo,noita,ertuowerknoita,control,p,0.0,0,e,a,artuowerknoita,0
uncarpalistic,uncarpalistic,prsss,p,sss,carp,un,al_ist_ic,uncarpalistic,target,p,0.0,0,u,o,oncarpalistic,0
unkeal,unkeal,pr,p,,keal,un,,unkeal,target,r,,0,k,s,unseal,0
ernitrigelba,ernetrigelba,pprs,pp,s,trig,er_ni,elba,ernitrigelba,control,p,1.0,1,i,e,ernetrigelba,1
carpmentally,carpmentalwy,rsss,,sss,carp,,ment_al_ly,carpmentally,target,s,2.0,0,l,w,carpmentalwy,1
uninbelsically,uninbelsically,pprsss,pp,sss,bels,un_in,ic_al_ly,uninbelsically,target,p,0.0,0,u,e,eninbelsically,0
ertrignoitala,irtrignoitala,prss,p,ss,trig,er,noita_la,ertrignoitala,control,p,0.0,0,e,i,irtrignoitala,1
nupurtlatsici,nupurtlotsici,prsss,p,sss,purt,nu,la_tsi_ci,nupurtlatsici,control,s,0.0,1,a,o,nupurtlotsici,1
keiralistic,keiralistic,rsss,,sss,keir,,al_ist_ic,keiralistic,target,r,,0,k,t,teiralistic,0
slebtnemlayl,slebtnemlayl,rsss,,sss,sleb,,tnem_la_yl,slebtnemlayl,control,r,,3,b,h,slehtnemlayl,0
nuebromtnemlayl,nuebromtnemlayl,pprsss,pp,sss,rom,nu_eb,tnem_la_yl,nuebromtnemlayl,control,r,,0,r,m,nuebmomtnemlayl,0
remeermentally,remeermentalyy,prsss,p,sss,meer,re,ment_al_ly,remeermentally,target,s,2.0,0,l,y,remeermentalyy,1
kealal,kealal,rs,,s,keal,,al,kealal,target,s,0.0,0,a,e,kealel,0
nuccila,nuccila,rss,,ss,nuc,,ci_la,nuccila,control,s,0.0,0,c,t,nuctila,0
indismeerfully,indismeertully,pprss,pp,ss,meer,in_dis,ful_ly,indismeerfully,target,s,0.0,0,f,t,indismeertully,1
werktnemla,werstnemla,rss,,ss,werk,,tnem_la,werktnemla,control,r,,3,k,s,werstnemla,1
recarpmental,recarpmentar,prss,p,ss,carp,re,ment_al,recarpmental,target,s,1.0,1,l,r,recarpmentar,1
orpnuc,orpnuc,pr,p,,nuc,orp,,orpnuc,control,p,0.0,0,o,a,arpnuc,0
retrupfully,retrupfumly,prss,p,ss,trup,re,ful_ly,retrupfully,target,s,0.0,2,l,m,retrupfumly,1
eredwerknoitala,eredwerknoitala,pprss,pp,ss,werk,er_ed,noita_la,eredwerknoitala,control,p,0.0,0,e,i,iredwerknoitala,0
taunisticly,taenisticly,rsss,,sss,taun,,ist_ic_ly,taunisticly,target,r,,2,u,e,taenisticly,1
redismeerational,redismeerational,pprss,pp,ss,meer,re_dis,ation_al,redismeerational,target,r,,3,r,y,redismeeyational,0
ertuokooplayl,ertuokooplayl,pprss,pp,ss,koop,er_tuo,la_yl,ertuokooplayl,control,p,1.0,2,o,a,ertuakooplayl,0
reinrienfully,reinrienfully,pprss,pp,ss,rien,re_in,ful_ly,reinrienfully,target,s,0.0,1,u,e,reinrienfelly,0
errevotec,errevotec,ppr,pp,,tec,er_revo,,errevotec,control,r,,2,c,p,errevotep,0
nitrigcilayl,nitrigcilayl,prsss,p,sss,trig,ni,ci_la_yl,nitrigcilayl,control,r,,2,i,e,nitregcilayl,0
ergej,ertej,pr,p,,gej,er,,ergej,control,r,,0,g,t,ertej,1
