first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
inunaetnoita,inunaetnoita,prs,p,s,naet,inu,noita,inunaetnoita,control,p,0.0,0,i,e,enunaetnoita,0
errevopraclayl,errevopraplayl,pprss,pp,ss,prac,er_revo,la_yl,errevopraclayl,control,r,,3,c,p,errevopraplayl,1
romecna,romicna,rs,,s,rom,,ecna,romecna,control,s,0.0,0,e,i,romicna,1
ketfully,ketdully,rss,,ss,ket,,ful_ly,ketfully,target,s,0.0,0,f,d,ketdully,1
prederamalistic,prederamalistic,pprsss,pp,sss,ram,pre_de,al_ist_ic,prederamalistic,target,s,1.0,0,i,a,prederamalastic,0
uniclatiously,uniclatiously,prss,p,ss,clat,uni,ious_ly,uniclatiously,target,r,,1,l,r,unicratiously,0
ertuosiwlatsici,ertuosiwlatsici,pprsss,pp,sss,siw,er_tuo,la_tsi_ci,ertuosiwlatsici,control,r,,1,i,e,ertuosewlatsici,0
nitrig,nitmig,pr,p,,trig,ni,,nitrig,control,r,,1,r,m,nitmig,1
mistrupiously,mistrupiouslw,prss,p,ss,trup,mis,ious_ly,mistrupiously,target,s,1.0,1,y,w,mistrupiouslw,1
belsally,telsally,rss,,ss,bels,,al_ly,belsally,target,r,,0,b,t,telsally,1
nuninuazlufylssen,nuninuazlufylssen,pprsss,pp,sss,nuaz,nu_ni,luf_yl_ssen,nuninuazlufylssen,control,s,2.0,3,n,j,nuninuazlufylssej,0
predebelsate,predebelsase,pprs,pp,s,bels,pre_de,ate,predebelsate,target,s,0.0,1,t,s,predebelsase,1
ernipractnemla,ernipractnemla,pprss,pp,ss,prac,er_ni,tnem_la,ernipractnemla,control,p,1.0,0,n,w,erwipractnemla,0
tecnoita,tecnoita,rs,,s,tec,,noita,tecnoita,control,s,0.0,4,a,o,tecnoito,0
reintrupation,reantrupation,pprs,pp,s,trup,re_in,ation,reintrupation,target,p,1.0,0,i,a,reantrupation,1
repras,rehras,pr,p,,pras,re,,repras,target,r,,0,p,h,rehras,1
gloc,gloc,r,,,gloc,,,gloc,target,r,,0,g,t,tloc,0
sarpcilayl,sarptilayl,rsss,,sss,sarp,,ci_la_yl,sarpcilayl,control,s,0.0,0,c,t,sarptilayl,1
ednuazsuoiyl,ednuazsuoiyl,prss,p,ss,nuaz,ed,suoi_yl,ednuazsuoiyl,control,s,1.0,0,y,m,ednuazsuoiml,0
redepookally,redesookally,pprss,pp,ss,pook,re_de,al_ly,redepookally,target,r,,0,p,s,redesookally,1
purtnoitala,partnoitala,rss,,ss,purt,,noita_la,purtnoitala,control,r,,1,u,a,partnoitala,1
gejlufyl,hejlufyl,rss,,ss,gej,,luf_yl,gejlufyl,control,r,,0,g,h,hejlufyl,1
nibusroy,nibusrey,ppr,pp,,roy,ni_bus,,nibusroy,control,r,,1,o,e,nibusrey,1
ersarplufylssen,ersarplufylssen,prsss,p,sss,sarp,er,luf_yl_ssen,ersarplufylssen,control,p,0.0,0,e,o,orsarplufylssen,0
taunly,taunll,rs,,s,taun,,ly,taunly,target,s,0.0,1,y,l,taunll,1
redebodiously,medebodiously,pprss,pp,ss,bod,re_de,ious_ly,redebodiously,target,p,0.0,0,r,m,medebodiously,1
ketational,ketational,rss,,ss,ket,,ation_al,ketational,target,s,0.0,2,i,a,ketataonal,0
nuwerktnemlayl,nuwerctnemlayl,prsss,p,sss,werk,nu,tnem_la_yl,nuwerktnemlayl,control,r,,3,k,c,nuwerctnemlayl,1
imwisically,imwisically,prsss,p,sss,wis,im,ic_al_ly,imwisically,target,s,0.0,1,c,d,imwisidally,0
reintaunation,reintaunation,pprs,pp,s,taun,re_in,ation,reintaunation,target,s,0.0,0,a,u,reintaunution,0
nigejla,nigujla,prs,p,s,gej,ni,la,nigejla,control,r,,1,e,u,nigujla,1
werk,rerk,r,,,werk,,,werk,control,r,,0,w,r,rerk,1
inukoopsuoiyl,inukoopsaoiyl,prss,p,ss,koop,inu,suoi_yl,inukoopsuoiyl,control,s,0.0,1,u,a,inukoopsaoiyl,1
redisgirtally,redisgirtally,pprss,pp,ss,girt,re_dis,al_ly,redisgirtally,target,r,,0,g,s,redissirtally,0
nuniteklatsici,nuniteklatsici,pprsss,pp,sss,tek,nu_ni,la_tsi_ci,nuniteklatsici,control,r,,1,e,i,nunitiklatsici,0
recarpment,recargment,prs,p,s,carp,re,ment,recarpment,target,r,,3,p,g,recargment,1
redeheediously,redeheediously,pprss,pp,ss,heed,re_de,ious_ly,redeheediously,target,p,0.0,0,r,l,ledeheediously,0
erpedtek,erpegtek,ppr,pp,,tek,erp_ed,,erpedtek,control,p,1.0,1,d,g,erpegtek,1
nuaznoitala,nuacnoitala,rss,,ss,nuaz,,noita_la,nuaznoitala,control,r,,3,z,c,nuacnoitala,1
eredpurttnemla,eredpurttnemla,pprss,pp,ss,purt,er_ed,tnem_la,eredpurttnemla,control,p,1.0,1,d,s,erespurttnemla,0
nuc,nut,r,,,nuc,,,nuc,control,r,,2,c,t,nut,1
riek,niek,r,,,riek,,,riek,control,r,,0,r,n,niek,1
edtrignoita,edtrignoita,prs,p,s,trig,ed,noita,edtrignoita,control,s,0.0,4,a,e,edtrignoite,0
reketfullyness,reketfullyness,prsss,p,sss,ket,re,ful_ly_ness,reketfullyness,target,r,,1,e,i,rekitfullyness,0
nisidroy,nisidroy,ppr,pp,,roy,ni_sid,,nisidroy,control,r,,2,y,w,nisidrow,0
reinyor,reinyor,ppr,pp,,yor,re_in,,reinyor,target,p,1.0,0,i,e,reenyor,0
gejlufyl,gejlufwl,rss,,ss,gej,,luf_yl,gejlufyl,control,s,1.0,0,y,w,gejlufwl,1
purttsiciyl,porttsiciyl,rsss,,sss,purt,,tsi_ci_yl,purttsiciyl,control,r,,1,u,o,porttsiciyl,1
ersidsiweta,ersidsiweta,pprs,pp,s,siw,er_sid,eta,ersidsiweta,control,r,,0,s,h,ersidhiweta,0
interprasly,interdrasly,prs,p,s,pras,inter,ly,interprasly,target,r,,0,p,d,interdrasly,1
clatful,clatful,rs,,s,clat,,ful,clatful,target,r,,3,t,g,clagful,0
predepontation,predepontatoon,pprs,pp,s,pont,pre_de,ation,predepontation,target,s,0.0,2,i,o,predepontatoon,1
girtation,girdation,rs,,s,girt,,ation,girtation,target,r,,3,t,d,girdation,1
erriek,errieh,pr,p,,riek,er,,erriek,control,r,,3,k,h,errieh,1
gejlatsici,gejlatsici,rsss,,sss,gej,,la_tsi_ci,gejlatsici,control,r,,1,e,o,gojlatsici,0
praclatsici,pratlatsici,rsss,,sss,prac,,la_tsi_ci,praclatsici,control,r,,3,c,t,pratlatsici,1
disjegisticly,disjegisticly,prsss,p,sss,jeg,dis,ist_ic_ly,disjegisticly,target,p,0.0,0,d,s,sisjegisticly,0
tnoplatsici,tnoplatsici,rsss,,sss,tnop,,la_tsi_ci,tnoplatsici,control,s,2.0,1,i,e,tnoplatsice,0
wisational,wisitional,rss,,ss,wis,,ation_al,wisational,target,s,0.0,0,a,i,wisitional,1
redisheedisticly,redisheedisticly,pprsss,pp,sss,heed,re_dis,ist_ic_ly,redisheedisticly,target,r,,2,e,i,redisheidisticly,0
errevodeeh,errevodeeh,ppr,pp,,deeh,er_revo,,errevodeeh,control,r,,1,e,a,errevodaeh,0
errevoroycila,errevoroycila,pprss,pp,ss,roy,er_revo,ci_la,errevoroycila,control,s,0.0,0,c,h,errevoroyhila,0
carpically,carpically,rsss,,sss,carp,,ic_al_ly,carpically,target,s,0.0,1,c,f,carpifally,0
teceta,teceta,rs,,s,tec,,eta,teceta,control,s,0.0,2,a,e,tecete,0
werklatsici,werklatsici,rsss,,sss,werk,,la_tsi_ci,werklatsici,control,r,,1,e,a,warklatsici,0
immorally,imrorally,prss,p,ss,mor,im,al_ly,immorally,target,r,,0,m,r,imrorally,1
slebnoitala,slebnoitala,rss,,ss,sleb,,noita_la,slebnoitala,control,s,0.0,2,i,a,slebnoatala,0
uninroulable,uninriulable,pprs,pp,s,roul,un_in,able,uninroulable,target,r,,1,o,i,uninriulable,1
slebcila,slebciwa,rss,,ss,sleb,,ci_la,slebcila,control,s,1.0,0,l,w,slebciwa,1
procetically,procetically,prsss,p,sss,cet,pro,ic_al_ly,procetically,target,r,,0,c,h,prohetically,0
erpedpurtlatsici,erpedpuntlatsici,pprsss,pp,sss,purt,erp_ed,la_tsi_ci,erpedpurtlatsici,control,r,,2,r,n,erpedpuntlatsici,1
inclatment,inclatment,prs,p,s,clat,in,ment,inclatment,target,s,0.0,1,e,a,inclatmant,0
deglociously,deglociously,prss,p,ss,gloc,de,ious_ly,deglociously,target,p,0.0,1,e,u,duglociously,0
ertalccilayl,ertalccilayl,prsss,p,sss,talc,er,ci_la_yl,ertalccilayl,control,r,,0,t,c,ercalccilayl,0
errevopraceta,errevopraceca,pprs,pp,s,prac,er_revo,eta,errevopraceta,control,s,0.0,1,t,c,errevopraceca,1
girtfully,girpfully,rss,,ss,girt,,ful_ly,girtfully,target,r,,3,t,p,girpfully,1
werklufylssen,werklufylssen,rsss,,sss,werk,,luf_yl_ssen,werklufylssen,control,r,,2,r,m,wemklufylssen,0
meer,meer,r,,,meer,,,meer,target,r,,2,e,a,mear,0
wisical,wisocal,rss,,ss,wis,,ic_al,wisical,target,s,0.0,0,i,o,wisocal,1
retniluorlufyl,metniluorlufyl,prss,p,ss,luor,retni,luf_yl,retniluorlufyl,control,p,0.0,0,r,m,metniluorlufyl,1
exclatistic,exclatidtic,prss,p,ss,clat,ex,ist_ic,exclatistic,target,s,0.0,1,s,d,exclatidtic,1
eredroytnem,eredroytnem,pprs,pp,s,roy,er_ed,tnem,eredroytnem,control,r,,2,y,m,eredromtnem,0
