first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
nuctnemlayl,nuctnemlayl,rsss,,sss,nuc,,tnem_la_yl,nuctnemlayl,control,s,2.0,0,y,w,nuctnemlawl,0
reinjegly,reinjigly,pprs,pp,s,jeg,re_in,ly,reinjegly,target,r,,1,e,i,reinjigly,1
numof,numef,pr,p,,mof,nu,,numof,control,r,,1,o,e,numef,1
reoutmeer,reoutmeer,ppr,pp,,meer,re_out,,reoutmeer,target,p,1.0,2,t,g,reougmeer,0
romlatsici,romlatsica,rsss,,sss,rom,,la_tsi_ci,romlatsici,control,s,2.0,1,i,a,romlatsica,1
reoutglocally,reoutglocallr,pprss,pp,ss,gloc,re_out,al_ly,reoutglocally,target,s,1.0,1,y,r,reoutglocallr,1
ernilaektnemlayl,ernilaektnemlayl,pprsss,pp,sss,laek,er_ni,tnem_la_yl,ernilaektnemlayl,control,s,2.0,1,l,w,ernilaektnemlayw,0
erpedprac,erpedprac,ppr,pp,,prac,erp_ed,,erpedprac,control,p,0.0,2,p,t,ertedprac,0
heedfullyness,heedfullyness,rsss,,sss,heed,,ful_ly_ness,heedfullyness,target,s,1.0,1,y,w,heedfullwness,0
ersimtalclatsici,ersimtalclatsisi,pprsss,pp,sss,talc,er_sim,la_tsi_ci,ersimtalclatsici,control,s,2.0,0,c,s,ersimtalclatsisi,1
niwerktsiciyl,niwerktsiciyl,prsss,p,sss,werk,ni,tsi_ci_yl,niwerktsiciyl,control,s,0.0,0,t,s,niwerkssiciyl,0
rekrewure,rekrewure,prs,p,s,krew,re,ure,rekrewure,target,p,0.0,1,e,i,rikrewure,0
ernimaertsiciyl,ernimaertsiciyl,pprsss,pp,sss,maer,er_ni,tsi_ci_yl,ernimaertsiciyl,control,r,,3,r,l,ernimaeltsiciyl,0
nibusnuazla,nibusruazla,pprs,pp,s,nuaz,ni_bus,la,nibusnuazla,control,r,,0,n,r,nibusruazla,1
nisidmarylssen,nisidmarylshen,pprss,pp,ss,mar,ni_sid,yl_ssen,nisidmarylssen,control,s,1.0,1,s,h,nisidmarylshen,1
nitececna,nitececna,prs,p,s,tec,ni,ecna,nitececna,control,r,,1,e,a,nitacecna,0
rebodalistic,rebodalistic,prsss,p,sss,bod,re,al_ist_ic,rebodalistic,target,s,1.0,0,i,o,rebodalostic,0
revoteklufyl,revoteklufym,prss,p,ss,tek,revo,luf_yl,revoteklufyl,control,s,1.0,1,l,m,revoteklufym,1
jegal,jegal,rs,,s,jeg,,al,jegal,target,s,0.0,0,a,o,jegol,0
overmeer,overmaer,pr,p,,meer,over,,overmeer,target,r,,1,e,a,overmaer,1
unbeprasfully,unbeprasfully,pprss,pp,ss,pras,un_be,ful_ly,unbeprasfully,target,s,1.0,1,y,m,unbeprasfullm,0
nicolg,nitolg,pr,p,,colg,ni,,nicolg,control,r,,0,c,t,nitolg,1
indismormentally,indismormentawly,pprsss,pp,sss,mor,in_dis,ment_al_ly,indismormentally,target,s,1.0,1,l,w,indismormentawly,1
propookfullyness,propookfullyness,prsss,p,sss,pook,pro,ful_ly_ness,propookfullyness,target,r,,0,p,t,protookfullyness,0
erslebcilayl,erslebcilayl,prsss,p,sss,sleb,er,ci_la_yl,erslebcilayl,control,s,2.0,0,y,w,erslebcilawl,0
rometa,rometa,rs,,s,rom,,eta,rometa,control,r,,1,o,e,remeta,0
miroy,mirey,pr,p,,roy,mi,,miroy,control,r,,1,o,e,mirey,1
jegally,jagally,rss,,ss,jeg,,al_ly,jegally,target,r,,1,e,a,jagally,1
bod,dod,r,,,bod,,,bod,target,r,,0,b,d,dod,1
rerienisticly,rerienisticly,prsss,p,sss,rien,re,ist_ic_ly,rerienisticly,target,r,,1,i,a,reraenisticly,0
ersidtnopnoita,ersidtnopnoita,pprs,pp,s,tnop,er_sid,noita,ersidtnopnoita,control,p,1.0,1,i,e,ersedtnopnoita,0
insubkealal,insubkealal,pprs,pp,s,keal,in_sub,al,insubkealal,target,r,,2,a,u,insubkeulal,0
teanal,teanal,rs,,s,tean,,al,teanal,target,r,,0,t,b,beanal,0
