first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
premiskeir,premiskeir,ppr,keir,pre_mis,,premiskeir,target,r,,3,r,w,premiskeiw,0
zoulistically,zoulistically,rssss,zoul,,ist_ic_al_ly,zoulistically,target,s,2.0,1,l,w,zoulisticawly,0
nugejelba,nugejerba,prs,gej,nu,elba,nugejelba,control,s,0.0,1,l,r,nugejerba,1
subsoomable,subsaomable,prs,soom,sub,able,subsoomable,target,r,,1,o,a,subsaomable,1
soomly,soomry,rs,soom,,ly,soomly,target,s,0.0,0,l,r,soomry,1
proteak,protiak,pr,teak,pro,,proteak,target,r,,1,e,i,protiak,1
talcnemtla,talcnentla,rss,talc,,nemt_la,talcnemtla,control,s,0.0,2,m,n,talcnentla,1
disgirtly,disgirtly,prs,girt,dis,ly,disgirtly,target,p,0.0,1,i,e,desgirtly,0
meeristically,meeristically,rssss,meer,,ist_ic_al_ly,meeristically,target,s,2.0,1,l,y,meeristicayly,0
purt,purt,r,purt,,,purt,control,r,,2,r,j,pujt,0
ingirtiveness,ingirtiveness,prss,girt,in,ive_ness,ingirtiveness,target,p,0.0,0,i,e,engirtiveness,0
reinkrewance,reindrewance,pprs,krew,re_in,ance,reinkrewance,target,r,,0,k,d,reindrewance,1
trigsitcilayl,frigsitcilayl,rssss,trig,,sit_ci_la_yl,trigsitcilayl,control,r,,0,t,f,frigsitcilayl,1
clatmentally,clatmentelly,rsss,clat,,ment_al_ly,clatmentally,target,s,1.0,0,a,e,clatmentelly,1
morness,morneps,rs,mor,,ness,morness,target,s,0.0,2,s,p,morneps,1
ersimkeat,arsimkeat,ppr,keat,er_sim,,ersimkeat,control,p,0.0,0,e,a,arsimkeat,1
taunationally,taunationamly,rssss,taun,,at_ion_al_ly,taunationally,target,s,2.0,1,l,m,taunationamly,1
colgsitcilayl,colgsitciloyl,rssss,colg,,sit_ci_la_yl,colgsitcilayl,control,s,2.0,1,a,o,colgsitciloyl,1
onnriekevi,onnriekevi,prs,riek,onn,evi,onnriekevi,control,p,0.0,0,o,u,unnriekevi,0
glociousness,glociousnesp,rss,gloc,,ious_ness,glociousness,target,s,1.0,3,s,p,glociousnesp,1
dedarfationalism,dedarsationalism,prssss,darf,de,at_ion_al_ism,dedarfationalism,target,r,,3,f,s,dedarsationalism,1
orpneiloni,orpneiloni,prs,neil,orp,oni,orpneiloni,control,r,,0,n,m,orpmeiloni,0
overwis,overwis,pr,wis,over,,overwis,target,r,,1,i,o,overwos,0
nitalcnoilayl,nitalcnoilayl,prsss,talc,ni,noi_la_yl,nitalcnoilayl,control,r,,1,a,e,nitelcnoilayl,0
orptalc,orptalc,pr,talc,orp,,orptalc,control,p,0.0,2,p,t,orttalc,0
retinmof,retinmof,pr,mof,retin,,retinmof,control,r,,2,f,h,retinmoh,0
detaunalization,detaunamization,prssss,taun,de,al_iz_at_ion,detaunalization,target,s,0.0,1,l,m,detaunamization,1
imreamionisticly,imroamionisticly,prssss,ream,im,ion_ist_ic_ly,imreamionisticly,target,r,,1,e,o,imroamionisticly,1
wisationalism,wisationalism,rssss,wis,,at_ion_al_ism,wisationalism,target,s,1.0,0,i,e,wisateonalism,0
sidnuc,sidnuc,pr,nuc,sid,,sidnuc,control,r,,1,u,e,sidnec,0
orpdobonila,orpdobonila,prss,dob,orp,oni_la,orpdobonila,control,r,,1,o,e,orpdebonila,0
clatiously,hlatiously,rss,clat,,ious_ly,clatiously,target,r,,0,c,h,hlatiously,1
interbels,interbelh,pr,bels,inter,,interbels,target,r,,3,s,h,interbelh,1
cetless,cedless,rs,cet,,less,cetless,target,r,,2,t,d,cedless,1
