first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
girtistically,girtisticalry,rssss,girt,,ist_ic_al_ly,girtistically,target,s,3.0,0,l,r,girtisticalry,1
xetek,xetek,pr,tek,xe,,xetek,control,p,0.0,1,e,i,xitek,0
inkeirionally,inkeirionally,prsss,keir,in,ion_al_ly,inkeirionally,target,p,0.0,0,i,e,enkeirionally,0
imlonicablity,imlonicablity,prsss,lon,im,ic_abl_ity,imlonicablity,target,r,,2,n,m,imlomicablity,0
reprasable,reprasabla,prs,pras,re,able,reprasable,target,s,0.0,3,e,a,reprasabla,1
overkoul,overkoul,pr,koul,over,,overkoul,target,r,,0,k,p,overpoul,0
pookistically,pookistically,rssss,pook,,ist_ic_al_ly,pookistically,target,r,,0,p,h,hookistically,0
subbod,subsod,pr,bod,sub,,subbod,target,r,,0,b,s,subsod,1
ertalceviyl,ertalceviyl,prss,talc,er,evi_yl,ertalceviyl,control,p,0.0,1,r,n,entalceviyl,0
mimooscilayl,mimooscilayl,prsss,moos,mi,ci_la_yl,mimooscilayl,control,r,,0,m,y,miyooscilayl,0
belsisticate,belsisticate,rsss,bels,,ist_ic_ate,belsisticate,target,r,,1,e,a,balsisticate,0
sidnilouk,sidnilouk,ppr,louk,sid_ni,,sidnilouk,control,p,1.0,0,n,r,sidrilouk,0
reimpook,reimpoek,ppr,pook,re_im,,reimpook,target,r,,2,o,e,reimpoek,1
moralisticly,moralisticll,rssss,mor,,al_ist_ic_ly,moralisticly,target,s,3.0,1,y,l,moralisticll,1
bussiw,bussew,pr,siw,bus,,bussiw,control,r,,1,i,e,bussew,1
negance,negance,rs,neg,,ance,negance,target,r,,1,e,i,nigance,0
riektainolasit,riettainolasit,rssss,riek,,ta_ino_la_sit,riektainolasit,control,r,,3,k,t,riettainolasit,1
trigsitcilayl,trigsitcilayn,rssss,trig,,sit_ci_la_yl,trigsitcilayl,control,s,3.0,1,l,n,trigsitcilayn,1
tonpeta,tonpeta,rs,tonp,,eta,tonpeta,control,r,,2,n,m,tompeta,0
nusimtonpbaly,nusimtonpbalm,pprss,tonp,nu_sim,bal_y,nusimtonpbaly,control,s,1.0,0,y,m,nusimtonpbalm,1
marsitcieta,rarsitcieta,rsss,mar,,sit_ci_eta,marsitcieta,control,r,,0,m,r,rarsitcieta,1
orprom,urprom,pr,rom,orp,,orprom,control,p,0.0,0,o,u,urprom,1
remisram,remisrim,ppr,ram,re_mis,,remisram,target,r,,1,a,i,remisrim,1
revotalc,revotalc,pr,talc,revo,,revotalc,control,p,0.0,2,v,p,repotalc,0
selbsitcilayl,selbsitcilayl,rssss,selb,,sit_ci_la_yl,selbsitcilayl,control,r,,1,e,o,solbsitcilayl,0
cunate,gunate,rs,cun,,ate,cunate,target,r,,0,c,g,gunate,1
inbodionally,inbodionally,prsss,bod,in,ion_al_ly,inbodionally,target,r,,1,o,i,inbidionally,0
colglasitciyl,colglasitciyl,rssss,colg,,la_sit_ci_yl,colglasitciyl,control,r,,2,l,y,coyglasitciyl,0
nurdnemtla,nurdnemtla,rss,nurd,,nemt_la,nurdnemtla,control,r,,2,r,w,nuwdnemtla,0
fradsitcilayl,frapsitcilayl,rssss,frad,,sit_ci_la_yl,fradsitcilayl,control,r,,3,d,p,frapsitcilayl,1
kooplasitci,kooslasitci,rsss,koop,,la_sit_ci,kooplasitci,control,r,,3,p,s,kooslasitci,1
disinpontiousness,disinpontioesness,pprss,pont,dis_in,ious_ness,disinpontiousness,target,s,0.0,2,u,e,disinpontioesness,1
ermikeatnemt,ermikeatnemt,pprs,keat,er_mi,nemt,ermikeatnemt,control,s,0.0,1,e,a,ermikeatnamt,0
marouisyl,marouisyl,rss,mar,,ouis_yl,marouisyl,control,s,1.0,0,y,m,marouisml,0
ninolyl,ninolyl,prs,nol,ni,yl,ninolyl,control,p,0.0,0,n,r,rinolyl,0
putekre,putekme,prs,tek,pu,re,putekre,control,s,0.0,0,r,m,putekme,1
onnriekla,onnriekla,prs,riek,onn,la,onnriekla,control,p,0.0,0,o,e,ennriekla,0
morationalism,morationalism,rssss,mor,,at_ion_al_ism,morationalism,target,r,,1,o,a,marationalism,0
ersidmear,arsidmear,ppr,mear,er_sid,,ersidmear,control,p,0.0,0,e,a,arsidmear,1
sidnimofnat,sidnimofnat,pprs,mof,sid_ni,nat,sidnimofnat,control,p,1.0,1,i,e,sidnemofnat,0
sidnineilnat,sidnireilnat,pprs,neil,sid_ni,nat,sidnineilnat,control,r,,0,n,r,sidnireilnat,1
deegro,deegre,rs,deeg,,ro,deegro,control,s,0.0,1,o,e,deegre,1
moos,roos,r,moos,,,moos,control,r,,0,m,r,roos,1
indiskeirion,indisteirion,pprs,keir,in_dis,ion,indiskeirion,target,r,,0,k,t,indisteirion,1
reimlonable,reimlonable,pprs,lon,re_im,able,reimlonable,target,s,0.0,3,e,u,reimlonablu,0
ersimlouk,ersimlouk,ppr,louk,er_sim,,ersimlouk,control,p,1.0,1,i,e,ersemlouk,0
meermentally,meermentally,rsss,meer,,ment_al_ly,meermentally,target,s,2.0,1,y,m,meermentallm,0
teakmentally,teakmentally,rsss,teak,,ment_al_ly,teakmentally,target,s,2.0,0,l,y,teakmentalyy,0
nusarptanoilayl,nusarptanoilayl,prssss,sarp,nu,ta_noi_la_yl,nusarptanoilayl,control,s,2.0,1,a,i,nusarptanoiliyl,0
ermigen,ermifen,ppr,gen,er_mi,,ermigen,control,r,,0,g,f,ermifen,1
unmispookably,unmispookadly,pprss,pook,un_mis,abl_y,unmispookably,target,s,0.0,1,b,d,unmispookadly,1
ernifrad,ernifrad,ppr,frad,er_ni,,ernifrad,control,r,,0,f,t,ernitrad,0
miwerkonisitciyl,mirerkonisitciyl,prssss,werk,mi,oni_sit_ci_yl,miwerkonisitciyl,control,r,,0,w,r,mirerkonisitciyl,1
negational,nogational,rss,neg,,ation_al,negational,target,r,,1,e,o,nogational,1
ramic,ramuc,rs,ram,,ic,ramic,target,s,0.0,0,i,u,ramuc,1
pookisticly,pookisticly,rsss,pook,,ist_ic_ly,pookisticly,target,r,,2,o,a,poakisticly,0
redelonment,redelonmant,pprs,lon,re_de,ment,redelonment,target,s,0.0,1,e,a,redelonmant,1
incunion,incumion,prs,cun,in,ion,incunion,target,r,,2,n,m,incumion,1
reinreamable,reinreamable,pprs,ream,re_in,able,reinreamable,target,r,,2,a,e,reinreemable,0
soomate,soomate,rs,soom,,ate,soomate,target,r,,3,m,l,soolate,0
mearulfssen,mearulfssen,rss,mear,,ulf_ssen,mearulfssen,control,r,,3,r,m,meamulfssen,0
dobsitcieta,dobsitcieta,rsss,dob,,sit_ci_eta,dobsitcieta,control,r,,2,b,t,dotsitcieta,0
drunfully,hrunfully,rss,drun,,ful_ly,drunfully,target,r,,0,d,h,hrunfully,1
procet,procet,pr,cet,pro,,procet,target,r,,1,e,i,procit,0
mimooscilbayti,mimoiscilbayti,prsss,moos,mi,ci_lba_yti,mimooscilbayti,control,r,,2,o,i,mimoiscilbayti,1
disindarf,disendarf,ppr,darf,dis_in,,disindarf,target,p,1.0,0,i,e,disendarf,1
overmorive,overmorivi,prs,mor,over,ive,overmorive,target,s,0.0,2,e,i,overmorivi,1
premiskoul,premihkoul,ppr,koul,pre_mis,,premiskoul,target,p,1.0,2,s,h,premihkoul,1
orpreemeviyl,orpreemeviyl,prss,reem,orp,evi_yl,orpreemeviyl,control,p,0.0,1,r,w,owpreemeviyl,0
reglocishment,reglocispment,prss,gloc,re,ish_ment,reglocishment,target,s,0.0,2,h,p,reglocispment,1
nudobla,nupobla,prs,dob,nu,la,nudobla,control,r,,0,d,p,nupobla,1
disemcet,disemcet,ppr,cet,dis_em,,disemcet,target,p,0.0,0,d,p,pisemcet,0
nusimnucbaly,nusimnucbaly,pprss,nuc,nu_sim,bal_y,nusimnucbaly,control,r,,1,u,o,nusimnocbaly,0
nolcilayl,nolcilayl,rsss,nol,,ci_la_yl,nolcilayl,control,r,,1,o,e,nelcilayl,0
