first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
jedolin,jedolin,r_long,jadolin,,,jadolin,target,r,,1,a,e,jedolin,2,7
edfeetzitaoni,edfeegzitaoni,prsss,feeg,ed,zi_ta_oni,edfeegzitaoni,control,r,,3,g,t,edfeetzitaoni,3,13
sargnemtlasim,sargnemtlaxim,rsss,sarg,,nemt_la_sim,sargnemtlasim,control,s,2.0,0,s,x,sargnemtlaxim,1,13
trimanment,trimanment,rs_long,trilan,,ment,trilanment,target,r,,3,l,m,trimanment,2,10
unteeristically,unteeristically,prssss,teer,un,ist_ic_al_ly,unteeristically,target,p,0.0,1,n,l,ulteeristically,0,15
fektaonilasim,fektaonilasim,rssss,tek,,ta_oni_la_sim,tektaonilasim,control,r,,0,t,f,fektaonilasim,2,13
otumeakneyl,otumeakneyl,prss,meak,otu,ne_yl,otumeakneyl,control,s,1.0,0,y,w,otumeaknewl,0,11
tekla,tekla,rs,tek,,la,tekla,control,r,,0,t,s,sekla,0,5
reinfammelt,reinfamment,pprs,fam,re_in,ment,reinfamment,target,s,0.0,2,n,l,reinfammelt,3,11
siddrelintoni,seddrelintoni,prs_long,drelint,sid,oni,siddrelintoni,control,p,0.0,1,i,e,seddrelintoni,1,13
nimofyit,nimofyit,prs,mof,ni,yit,nimofyit,control,r,,1,o,a,nimafyit,0,8
inketiousness,unketiousness,pprss,ket,in,ious_ness,inketiousness,target,p,0.0,0,i,u,unketiousness,1,13
clatalize,clatelize,rss,clat,,al_ize,clatalize,target,s,0.0,0,a,e,clatelize,1,9
onitrilock,unitrilock,pr_long,trilock,uni,,unitrilock,target,p,0.0,0,u,o,onitrilock,3,10
disket,disket,pr,ket,dis,,disket,target,p,0.0,2,s,t,ditket,0,6
ersidtonf,ersidtonc,ppr,tonc,er_sid,,ersidtonc,control,r,,3,c,f,ersidtonf,3,9
salg,sarg,r,sarg,,,sarg,control,r,,2,r,l,salg,3,4
feeg,geeg,r,feeg,,,feeg,control,r,,0,f,g,geeg,1,4
uniclat,uniclat,pr,clat,uni,,uniclat,target,p,0.0,2,i,a,unaclat,0,7
grivonance,gmivonance,rs_long,grivon,,ance,grivonance,target,r,,1,r,m,gmivonance,1,10
inunirdov,inunirgov,pr_long,nirgov,inu,,inunirgov,control,r,,3,g,d,inunirdov,3,9
toncewba,toncewba,rs,tonc,,elba,toncelba,control,s,0.0,1,l,w,toncewba,2,8
inkoulacablity,inkoulacablity,prsss,koul,in,ic_abl_ity,inkoulicablity,target,s,0.0,0,i,a,inkoulacablity,2,14
rioverwis,reoverwis,ppr,wis,re_over,,reoverwis,target,p,0.0,1,e,i,rioverwis,3,9
onneryautviyit,onnernautviyit,pprss,naut,onn_er,vi_yit,onnernautviyit,control,r,,0,n,y,onneryautviyit,3,14
unkelsistic,unkelsistic,prss,kels,un,ist_ic,unkelsistic,target,r,,3,s,d,unkeldistic,0,11
rohirac,rohirac,r_long,rozirac,,,rozirac,control,r,,2,z,h,rohirac,2,7
nisidgenoni,nesidgenoni,pprs,gen,ni_sid,oni,nisidgenoni,control,p,0.0,1,i,e,nesidgenoni,1,11
unkrewationally,unkrewationally,prssss,krew,un,at_ion_al_ly,unkrewationally,target,r,,2,e,i,unkriwationally,0,15
leakcilayl,meakcilayl,rsss,meak,,ci_la_yl,meakcilayl,control,r,,0,m,l,leakcilayl,3,10
sargulfsens,sargunfsens,rss,sarg,,ulf_sens,sargulfsens,control,s,0.0,1,l,n,sargunfsens,1,11
disflennerion,disflennerion,prs_long,flenner,dis,ion,disflennerion,target,r,,6,r,l,disflennelion,0,13
fobationalihm,fobationalihm,rssss,fob,,at_ion_al_ism,fobationalism,target,s,3.0,1,s,h,fobationalihm,2,13
intaunity,intaunity,prs,taun,in,ity,intaunity,target,s,0.0,1,t,p,intaunipy,0,9
unikroten,unekroten,pr_long,kroten,uni,,unikroten,target,p,0.0,2,i,e,unekroten,1,9
simnerfelworu,simnerfelnoru,prs_long,nerfeln,sim,oru,simnerfelnoru,control,r,,6,n,w,simnerfelworu,3,13
talcro,talcre,rs,talc,,ro,talcro,control,s,0.0,1,o,e,talcre,1,6
ledewis,redewis,ppr,wis,re_de,,redewis,target,p,0.0,0,r,l,ledewis,3,7
regrasivity,megrasivity,pprss,gras,re,iv_ity,regrasivity,target,p,0.0,0,r,m,megrasivity,1,11
nacnemtlayl,nocnemtlayl,rsss,noc,,nemt_la_yl,nocnemtlayl,control,r,,1,o,a,nacnemtlayl,3,11
nucolgonila,nucolgonila,prss,colg,nu,oni_la,nucolgonila,control,r,,0,c,t,nutolgonila,0,11
nearozenca,mearozenca,rs_long,nearoz,,enca,nearozenca,control,r,,0,n,m,mearozenca,1,10
tecnemtla,tecnemtla,rss,tec,,nemt_la,tecnemtla,control,s,0.0,1,e,o,tecnomtla,0,9
teclasitciyl,teclasitciyl,rssss,tek,,la_sit_ci_yl,teklasitciyl,control,r,,2,k,c,teclasitciyl,2,12
ingloceon,ingloceon,prs,gloc,in,ion,inglocion,target,s,0.0,0,i,e,ingloceon,2,9
indiscontion,indiscontion,pprs,cont,in_dis,ion,indiscontion,target,p,0.0,0,i,e,endiscontion,0,12
losicur,yosicur,r_long,losicur,,,losicur,control,r,,0,l,y,yosicur,1,7
