first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
inketionally,inketionalmy,prsss,ket,in,ion_al_ly,inketionally,target,s,2.0,0,l,m,inketionalmy,1
sidniromoni,sidniromeni,pprs,rom,sid_ni,oni,sidniromoni,control,s,0.0,0,o,e,sidniromeni,1
disinmoriously,disinmoriously,pprss,mor,dis_in,ious_ly,disinmoriously,target,r,,1,o,i,disinmiriously,0
morically,morically,rsss,mor,,ic_al_ly,morically,target,r,,1,o,a,marically,0
unjeg,unjeg,pr,jeg,un,,unjeg,target,r,,2,g,h,unjeh,0
premisbod,premisbad,ppr,bod,pre_mis,,premisbod,target,r,,1,o,a,premisbad,1
pook,pook,r,pook,,,pook,target,r,,2,o,u,pouk,0
pumear,pumear,pr,mear,pu,,pumear,control,p,0.0,0,p,t,tumear,0
mitalcnoisiciyl,litalcnoisiciyl,prssss,talc,mi,noi_si_ci_yl,mitalcnoisiciyl,control,p,0.0,0,m,l,litalcnoisiciyl,1
soomality,soomality,rss,soom,,al_ity,soomality,target,r,,2,o,i,soimality,0
depontalization,depontalizakion,prssss,pont,de,al_iz_at_ion,depontalization,target,s,2.0,1,t,k,depontalizakion,1
disinjegiously,disinjegiously,pprss,jeg,dis_in,ious_ly,disinjegiously,target,p,0.0,1,i,e,desinjegiously,0
nusimsarpbaly,nusimsarpbaly,pprss,sarp,nu_sim,bal_y,nusimsarpbaly,control,s,1.0,0,y,m,nusimsarpbalm,0
outclatishly,outclatishly,prss,clat,out,ish_ly,outclatishly,target,s,1.0,0,l,r,outclatishry,0
proheedion,proheedion,prs,heed,pro,ion,proheedion,target,r,,3,d,s,proheesion,0
clatmentalism,clatmentalism,rsss,clat,,ment_al_ism,clatmentalism,target,s,0.0,3,t,s,clatmensalism,0
unpookional,unpoogional,prss,pook,un,ion_al,unpookional,target,r,,3,k,g,unpoogional,1
disinsoomion,disinsoomion,pprs,soom,dis_in,ion,disinsoomion,target,p,0.0,0,d,t,tisinsoomion,0
tecnemt,tecnimt,rs,tec,,nemt,tecnemt,control,s,0.0,1,e,i,tecnimt,1
teksitcieta,teksitcieta,rsss,tek,,sit_ci_eta,teksitcieta,control,s,0.0,0,s,p,tekpitcieta,0
rienisticate,rienisticate,rsss,rien,,ist_ic_ate,rienisticate,target,r,,3,n,r,rieristicate,0
miriekyti,liriekyti,prs,riek,mi,yti,miriekyti,control,p,0.0,0,m,l,liriekyti,1
lour,lour,r,lour,,,lour,control,r,,3,r,m,loum,0
ernikoop,ernivoop,ppr,koop,er_ni,,ernikoop,control,r,,0,k,v,ernivoop,1
imketicablity,imketiceblity,prsss,ket,im,ic_abl_ity,imketicablity,target,s,1.0,0,a,e,imketiceblity,1
predisram,predisrim,ppr,ram,pre_dis,,predisram,target,r,,1,a,i,predisrim,1
wismentally,wismentally,rsss,wis,,ment_al_ly,wismentally,target,s,1.0,0,a,i,wismentilly,0
disglocfully,disglocfully,prss,gloc,dis,ful_ly,disglocfully,target,p,0.0,1,i,e,desglocfully,0
rieknoi,rieknoi,rs,riek,,noi,rieknoi,control,r,,3,k,c,riecnoi,0
sidnicolgoni,sidnicolgoni,pprs,colg,sid_ni,oni,sidnicolgoni,control,p,0.0,0,s,t,tidnicolgoni,0
disinwisiously,disinwusiously,pprss,wis,dis_in,ious_ly,disinwisiously,target,r,,1,i,u,disinwusiously,1
