first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
erverogen,erverogen,ppr,gen,er_vero,,erverogen,control,p,0.0,0,e,a,arverogen,0
degloc,dogloc,pr,gloc,de,,degloc,target,p,0.0,1,e,o,dogloc,1
fradsit,fratsit,rs,frad,,sit,fradsit,control,r,,3,d,t,fratsit,1
teakistically,teakistically,rssss,teak,,ist_ic_al_ly,teakistically,target,r,,2,a,e,teekistically,0
meartainolayl,moartainolayl,rssss,mear,,ta_ino_la_yl,meartainolayl,control,r,,1,e,o,moartainolayl,1
ernucnemt,irnucnemt,prs,nuc,er,nemt,ernucnemt,control,p,0.0,0,e,i,irnucnemt,1
trupationalism,trupatoonalism,rssss,trup,,at_ion_al_ism,trupationalism,target,s,1.0,0,i,o,trupatoonalism,1
lienistic,lienostic,rss,lien,,ist_ic,lienistic,target,s,0.0,0,i,o,lienostic,1
erninurdnemt,erninurdnemt,pprs,nurd,er_ni,nemt,erninurdnemt,control,r,,3,d,f,erninurfnemt,0
fradeta,fredeta,rs,frad,,eta,fradeta,control,r,,2,a,e,fredeta,1
erotuselb,erotaselb,ppr,selb,er_otu,,erotuselb,control,p,1.0,2,u,a,erotaselb,1
siddeegouisyl,siddeegouisyl,prss,deeg,sid,ouis_yl,siddeegouisyl,control,s,0.0,2,i,u,siddeegouusyl,0
siwlayti,siwwayti,rss,siw,,la_yti,siwlayti,control,s,0.0,0,l,w,siwwayti,1
prefom,prefom,pr,fom,pre,,prefom,target,r,,0,f,p,prepom,0
nonrebodivity,nonrebodivoty,pprss,bod,non_re,iv_ity,nonrebodivity,target,s,1.0,0,i,o,nonrebodivoty,1
imteakicablity,imteakicablity,prsss,teak,im,ic_abl_ity,imteakicablity,target,r,,1,e,a,imtaakicablity,0
ermimearelba,ermimearelba,pprs,mear,er_mi,elba,ermimearelba,control,s,0.0,2,b,t,ermimearelta,0
clatmentally,clatmentalry,rsss,clat,,ment_al_ly,clatmentally,target,s,2.0,0,l,r,clatmentalry,1
simtekulfssen,simtekurfssen,prss,tek,sim,ulf_ssen,simtekulfssen,control,s,0.0,1,l,r,simtekurfssen,1
purtouisyl,purtouisyl,rss,purt,,ouis_yl,purtouisyl,control,s,1.0,1,l,m,purtouisym,0
retinrom,retinrom,pr,rom,retin,,retinrom,control,r,,1,o,a,retinram,0
defomalization,dafomalization,prssss,fom,de,al_iz_at_ion,defomalization,target,p,0.0,1,e,a,dafomalization,1
redetrupment,redetrupment,pprs,trup,re_de,ment,redetrupment,target,r,,2,u,o,redetropment,0
reinlienable,reinlienable,pprs,lien,re_in,able,reinlienable,target,s,0.0,1,b,s,reinlienasle,0
edromvitaino,edromvitaino,prsss,rom,ed,vi_ta_ino,edromvitaino,control,r,,1,o,e,edremvitaino,0
darfor,darfer,rs,darf,,or,darfor,target,s,0.0,0,o,e,darfer,1
riekouisyl,riekeuisyl,rss,riek,,ouis_yl,riekouisyl,control,s,0.0,0,o,e,riekeuisyl,1
otuwerk,utuwerk,pr,werk,otu,,otuwerk,control,p,0.0,0,o,u,utuwerk,1
reingirtable,reingirtable,pprs,girt,re_in,able,reingirtable,target,p,1.0,0,i,a,reangirtable,0
teakless,teakleds,rs,teak,,less,teakless,target,s,0.0,2,s,d,teakleds,1
simtrig,simbrig,pr,trig,sim,,simtrig,control,r,,0,t,b,simbrig,1
girtationalist,girtationalist,rssss,girt,,at_ion_al_ist,girtationalist,target,s,2.0,1,l,w,girtationawist,0
disfom,dasfom,pr,fom,dis,,disfom,target,p,0.0,1,i,a,dasfom,1
moosnemtlayl,moosnemtrayl,rsss,moos,,nemt_la_yl,moosnemtlayl,control,s,1.0,0,l,r,moosnemtrayl,1
remisbod,remisbod,ppr,bod,re_mis,,remisbod,target,r,,1,o,a,remisbad,0
inclatness,inclatmess,prs,clat,in,ness,inclatness,target,s,0.0,0,n,m,inclatmess,1
gloc,gloh,r,gloc,,,gloc,target,r,,3,c,h,gloh,1
ninautbilatiy,ninoutbilatiy,prss,naut,ni,bila_tiy,ninautbilatiy,control,r,,1,a,o,ninoutbilatiy,1
eddeeglazitanoi,eddeeglazitanoi,prssss,deeg,ed,la_zi_ta_noi,eddeeglazitanoi,control,p,0.0,0,e,i,iddeeglazitanoi,0
prasic,prasic,rs,pras,,ic,prasic,target,r,,1,r,m,pmasic,0
nisarptanoi,nisarptanoo,prss,sarp,ni,ta_noi,nisarptanoi,control,s,1.0,2,i,o,nisarptanoo,1
ermiriekelba,ermiriekelba,pprs,riek,er_mi,elba,ermiriekelba,control,r,,2,e,o,ermiriokelba,0
