first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
sidnikeatouisyl,sidnikeetouisyl,pprss,keat,sid_ni,ouis_yl,sidnikeatouisyl,control,r,,2,a,e,sidnikeetouisyl,1,15
urikeam,urikeam,pr,keam,uni,,unikeam,target,p,0.0,1,n,r,urikeam,2,7
eutgrasenly,outgrasenly,prss,gras,out,en_ly,outgrasenly,target,p,0.0,0,o,e,eutgrasenly,3,11
guef,guef,r,geef,,,geef,target,r,,1,e,u,guef,2,4
premistaun,premustaun,ppr,taun,pre_mis,,premistaun,target,p,1.0,1,i,u,premustaun,1,10
neirlasitciyl,neillasitciyl,rssss,neil,,la_sit_ci_yl,neillasitciyl,control,r,,3,l,r,neirlasitciyl,3,13
sookla,sookla,rs,pook,,la,pookla,control,r,,0,p,s,sookla,2,6
sidnetork,sidnetork,pr_long,netork,sid,,sidnetork,control,r,,2,t,v,sidnevork,0,9
unnurtionally,unnurteonally,prsss,nurt,un,ion_al_ly,unnurtionally,target,s,0.0,0,i,e,unnurteonally,1,13
maflasitci,mahlasitci,rsss,maf,,la_sit_ci,maflasitci,control,r,,2,f,h,mahlasitci,1,10
wondellegs,wondellegs,rs_long,wondel,,less,wondelless,target,s,0.0,2,s,g,wondellegs,2,10
eredjoosnemt,eredmoosnemt,pprs,moos,er_ed,nemt,eredmoosnemt,control,r,,0,m,j,eredjoosnemt,3,12
geehmental,geehmental,rss,geef,,ment_al,geefmental,target,r,,3,f,h,geehmental,2,10
tirvin,tirvin,r_long,tirvin,,,tirvin,control,r,,1,i,a,tarvin,0,6
disflomapment,disflomapment,prs_long,flomak,dis,ment,disflomakment,target,r,,5,k,p,disflomapment,2,13
nurocsitcilayl,nurocsitcilayl,prssss,noc,nu,sit_ci_la_yl,nunocsitcilayl,control,r,,0,n,r,nurocsitcilayl,2,14
sifmeakeru,sidmeakeru,prs,meak,sid,eru,sidmeakeru,control,p,0.0,2,d,f,sifmeakeru,3,10
wisalisticly,wisawisticly,rssss,wis,,al_ist_ic_ly,wisalisticly,target,s,0.0,1,l,w,wisawisticly,1,12
henegalization,denegalization,prssss,neg,de,al_iz_at_ion,denegalization,target,p,0.0,0,d,h,henegalization,3,14
keirion,keirion,rs,keir,,ion,keirion,target,s,0.0,2,n,m,keiriom,0,7
ertecla,erteclo,prs,tec,er,la,ertecla,control,s,0.0,1,a,o,erteclo,1,7
unmidcetable,unmiscetable,pprs,cet,un_mis,able,unmiscetable,target,p,1.0,2,s,d,unmidcetable,3,12
edbofvitaoni,edbofvitaoni,prsss,bof,ed,vi_ta_oni,edbofvitaoni,control,s,1.0,0,t,p,edbofvipaoni,0,12
proskrupition,proskrupiteon,prs_long,skrupit,pro,ion,proskrupition,target,s,0.0,0,i,e,proskrupiteon,1,13
rieknemtli,rieknemtli,rss,riek,,nemt_la,rieknemtla,control,s,1.0,1,a,i,rieknemtli,2,10
zorean,zorean,r_long,zorean,,,zorean,target,r,,1,o,e,zerean,0,6
sidmenuc,sidmenuc,ppr,nuc,sid_me,,sidmenuc,control,r,,2,c,t,sidmenut,0,8
meralixtic,meralistic,rsss,mer,,al_ist_ic,meralistic,target,s,1.0,1,s,x,meralixtic,3,10
inoroltick,inoroltick,pr_long,roltick,inu,,inuroltick,control,p,0.0,2,u,o,inoroltick,2,10
nigentaoni,nigenhaoni,prss,gen,ni,ta_oni,nigentaoni,control,s,0.0,0,t,h,nigenhaoni,1,10
cont,cont,r,cont,,,cont,target,r,,3,t,s,cons,0,4
sidninurdouisyl,sidninurdouihyl,pprss,nurd,sid_ni,ouis_yl,sidninurdouisyl,control,s,0.0,3,s,h,sidninurdouihyl,1,15
nunurd,nenurd,pr,nurd,nu,,nunurd,control,p,0.0,1,u,e,nenurd,1,6
nearoznemt,nearoznomt,rs_long,nearoz,,nemt,nearoznemt,control,s,0.0,1,e,o,nearoznomt,1,10
redegintment,redegintment,pprs,girt,re_de,ment,redegirtment,target,r,,2,r,n,redegintment,2,12
orptuskriponi,orptuskriponi,prs_long,tuskrip,orp,oni,orptuskriponi,control,p,0.0,1,r,m,omptuskriponi,0,13
nithils,nithils,r_long,nithols,,,nithols,control,r,,4,o,i,nithils,2,7
fobalistic,fobalistic,rsss,fob,,al_ist_ic,fobalistic,target,r,,0,f,b,bobalistic,0,10
canistically,cunistically,rssss,cun,,ist_ic_al_ly,cunistically,target,r,,1,u,a,canistically,3,12
sidmetrig,cidmetrig,ppr,trig,sid_me,,sidmetrig,control,p,0.0,0,s,c,cidmetrig,1,9
unitrelan,unitrelan,pr_long,trilan,uni,,unitrilan,target,r,,2,i,e,unitrelan,2,9
edrieklazitaoni,edrieklazitaani,prssss,riek,ed,la_zi_ta_oni,edrieklazitaoni,control,s,3.0,0,o,a,edrieklazitaani,1,15
inusiw,inusiw,pr,siw,inu,,inusiw,control,p,0.0,2,u,i,inisiw,0,6
tekulfsens,tekulfsins,rss,tek,,ulf_sens,tekulfsens,control,s,1.0,1,e,i,tekulfsins,1,10
nautenca,nautenta,rs,naut,,enca,nautenca,control,s,0.0,2,c,t,nautenta,1,8
diskoulment,diskounment,prs,koul,dis,ment,diskoulment,target,r,,3,l,n,diskounment,1,11
tead,teak,r,teak,,,teak,target,r,,3,k,d,tead,3,4
unconionally,unconuonally,prsss,con,un,ion_al_ly,unconionally,target,s,0.0,0,i,u,unconuonally,1,12
refobivisy,refobivisy,pprss,fob,re,iv_ity,refobivity,target,s,1.0,1,t,s,refobivisy,2,10
zoreanless,zoreanless,rs_long,zorean,,less,zoreanless,target,r,,3,e,a,zoraanless,0,10
