first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
outgrivon,outgrivon,pr_long,grivon,out,,outgrivon,target,p,0.0,2,t,s,ousgrivon,0,9
predesgeef,predesgeef,ppr,geef,pre_dis,,predisgeef,target,p,1.0,1,i,e,predesgeef,2,10
nucomgsitcilayl,nucomgsitcilayl,prssss,colg,nu,sit_ci_la_yl,nucolgsitcilayl,control,r,,2,l,m,nucomgsitcilayl,2,15
nuremlasitci,nuremlasitci,prsss,rem,nu,la_sit_ci,nuremlasitci,control,p,0.0,1,u,a,naremlasitci,0,12
mopurntsels,moparntsels,rs_long,moparnt,,sels,moparntsels,control,r,,3,a,u,mopurntsels,3,11
cuntistically,contistically,rssss,cont,,ist_ic_al_ly,contistically,target,r,,1,o,u,cuntistically,3,13
ermimooselba,ermimoeselba,pprs,moos,er_mi,elba,ermimooselba,control,r,,2,o,e,ermimoeselba,1,12
inmeriousness,inmeriousless,pprss,mer,in,ious_ness,inmeriousness,target,s,1.0,0,n,l,inmeriousless,1,13
gencilayl,guncilayl,rsss,gen,,ci_la_yl,gencilayl,control,r,,1,e,u,guncilayl,1,9
genciya,genciya,rss,gen,,ci_la,gencila,control,s,1.0,0,l,y,genciya,2,7
seefful,seefful,rs,geef,,ful,geefful,target,r,,0,g,s,seefful,2,7
miskeirion,miskeirion,prs,keir,mis,ion,miskeirion,target,s,0.0,2,n,r,miskeirior,0,10
cun,cun,r,cun,,,cun,target,r,,0,c,d,dun,0,3
nefelg,nefelg,r_long,nefelg,,,nefelg,control,r,,0,n,m,mefelg,0,6
nosiw,nosiw,pr,siw,ni,,nisiw,control,p,0.0,1,i,o,nosiw,2,5
simnautulfyl,simnaetulfyl,prss,naut,sim,ulf_yl,simnautulfyl,control,r,,2,u,e,simnaetulfyl,1,12
sidnitholsnemt,sidnitholsnejt,prs_long,nithols,sid,nemt,sidnitholsnemt,control,s,0.0,2,m,j,sidnitholsnejt,1,14
rekeimal,rekeimal,prs,keir,re,al,rekeiral,target,r,,3,r,m,rekeimal,2,8
edwerkzitaoni,edwerkzitaoni,prsss,werk,ed,zi_ta_oni,edwerkzitaoni,control,r,,3,k,v,edwervzitaoni,0,13
ouvclat,ouvclat,pr,clat,out,,outclat,target,p,0.0,2,t,v,ouvclat,2,7
misfemfully,misfemfully,prss,fom,mis,ful_ly,misfomfully,target,r,,1,o,e,misfemfully,2,11
unnamptornefs,unnamptorness,prs_long,namptor,un,ness,unnamptorness,target,s,0.0,2,s,f,unnamptornefs,3,13
nitholsnemd,nitholsnemd,rs_long,nithols,,nemt,nitholsnemt,control,s,0.0,3,t,d,nitholsnemd,2,11
samg,sarg,r,sarg,,,sarg,control,r,,2,r,m,samg,3,4
dmelint,drelint,r_long,drelint,,,drelint,control,r,,1,r,m,dmelint,3,7
memnemtlasim,memnemtlasim,rsss,rem,,nemt_la_sim,remnemtlasim,control,r,,0,r,m,memnemtlasim,2,12
neiwro,neiwro,rs,neil,,ro,neilro,control,r,,3,l,w,neiwro,2,6
nisidnoconi,nisidnoconu,pprs,noc,ni_sid,oni,nisidnoconi,control,s,0.0,2,i,u,nisidnoconu,1,11
reindeak,reinteak,ppr,teak,re_in,,reinteak,target,r,,0,t,d,reindeak,3,8
micskrupit,misskrupit,pr_long,skrupit,mis,,misskrupit,target,p,0.0,2,s,c,micskrupit,3,10
unconilisticly,unconilisticly,prssss,con,un,al_ist_ic_ly,unconalisticly,target,s,0.0,0,a,i,unconilisticly,2,14
famationalism,bamationalism,rssss,fam,,at_ion_al_ism,famationalism,target,r,,0,f,b,bamationalism,1,13
lienalize,lienamize,rss,lien,,al_ize,lienalize,target,s,0.0,1,l,m,lienamize,1,9
sidnifradouissens,sidnafradouissens,pprss,frad,sid_ni,ouis_sens,sidnifradouissens,control,p,1.0,1,i,a,sidnafradouissens,1,17
gaef,geef,r,geef,,,geef,target,r,,1,e,a,gaef,3,4
hubsoom,subsoom,pr,soom,sub,,subsoom,target,p,0.0,0,s,h,hubsoom,3,7
werksels,werssels,rs,werk,,sels,werksels,control,r,,3,k,s,werssels,1,8
sidlendowoni,sidlendowoni,prs_long,lendow,sid,oni,sidlendowoni,control,p,0.0,0,s,x,xidlendowoni,0,12
flenit,flenit,r_long,flenit,,,flenit,target,r,,4,i,e,flenet,0,6
uniflenner,uniflenner,pr_long,flenner,uni,,uniflenner,target,p,0.0,1,n,y,uyiflenner,0,10
nutectaonilayw,nutectaonilayl,prssss,tec,nu,ta_oni_la_yl,nutectaonilayl,control,s,3.0,1,l,w,nutectaonilayw,3,14
sidnitrunouisyl,sidnitrunouisyl,pprss,trun,sid_ni,ouis_yl,sidnitrunouisyl,control,p,1.0,0,n,y,sidyitrunouisyl,0,15
indiswision,indiswision,pprs,wis,in_dis,ion,indiswision,target,r,,0,w,l,indislision,0,11
meaktaonilayl,meaktaonilaym,rssss,meak,,ta_oni_la_yl,meaktaonilayl,control,s,3.0,1,l,m,meaktaonilaym,1,13
fradnamtlasim,fradnemtlasim,rsss,frad,,nemt_la_sim,fradnemtlasim,control,s,0.0,1,e,a,fradnamtlasim,3,13
erverobof,erverobof,ppr,bof,er_vero,,erverobof,control,p,1.0,1,e,o,ervorobof,0,9
inconiousness,inconiousness,prss,con,un,ious_ness,unconiousness,target,p,0.0,0,u,i,inconiousness,2,13
trelendless,trelendless,rs_long,trilend,,less,trilendless,target,r,,2,i,e,trelendless,2,11
edsorgvitaoni,edsorgvitaoni,prsss,sarg,ed,vi_ta_oni,edsargvitaoni,control,r,,1,a,o,edsorgvitaoni,2,13
