first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
mer,mer,r,mer,,,mer,target,r,,1,e,i,mir,0,3
numofcilayl,numofcilall,prsss,mof,nu,ci_la_yl,numofcilayl,control,s,2.0,0,y,l,numofcilall,1,11
misgloc,misgloc,pr,gloc,mis,,misgloc,target,r,,1,l,m,misgmoc,0,7
eredsarg,eredsarg,ppr,sarg,er_ed,,eredsarg,control,r,,0,s,p,eredparg,0,8
sewisalization,dewisalization,prssss,wis,de,al_iz_at_ion,dewisalization,target,p,0.0,0,d,s,sewisalization,3,14
ebwisally,abwisally,prss,wis,ab,al_ly,abwisally,target,p,0.0,0,a,e,ebwisally,3,9
diddrunful,disdrunful,prs,drun,dis,ful,disdrunful,target,p,0.0,2,s,d,diddrunful,3,10
teeralisticly,teeralisticly,rssss,teer,,al_ist_ic_ly,teeralisticly,target,r,,2,e,o,teoralisticly,0,13
glefenless,gmefenless,rs_long,glefen,,less,glefenless,target,r,,1,l,m,gmefenless,1,10
revolejent,revolejent,pr_long,lejent,revo,,revolejent,control,p,0.0,1,e,o,rovolejent,0,10
fommenhalism,fommentalism,rsss,fom,,ment_al_ism,fommentalism,target,s,0.0,3,t,h,fommenhalism,3,12
disinnurtanp,disinnurtanp,pprs,nurt,dis_in,ant,disinnurtant,target,s,0.0,2,t,p,disinnurtanp,2,12
losicur,lisicur,r_long,losicur,,,losicur,control,r,,1,o,i,lisicur,1,7
rikoulivity,rekoulivity,pprss,koul,re,iv_ity,rekoulivity,target,p,0.0,1,e,i,rikoulivity,3,11
feegyl,feegrl,rs,feeg,,yl,feegyl,control,s,0.0,0,y,r,feegrl,1,6
midflomakment,misflomakment,prs_long,flomak,mis,ment,misflomakment,target,p,0.0,2,s,d,midflomakment,3,13
mofulfsens,mofulfsens,rss,mof,,ulf_sens,mofulfsens,control,r,,1,o,e,mefulfsens,0,10
disgrasrent,disgrasrent,prs,gras,dis,ment,disgrasment,target,s,0.0,0,m,r,disgrasrent,2,11
soomicawly,soomically,rsss,soom,,ic_al_ly,soomically,target,s,1.0,1,l,w,soomicawly,3,10
mitslithon,mitslithon,pr_long,slithon,mis,,misslithon,target,p,0.0,2,s,t,mitslithon,2,10
samkeat,samkeat,pr,keat,sim,,simkeat,control,p,0.0,1,i,a,samkeat,2,7
sidnimoosoni,sidnimaosoni,pprs,moos,sid_ni,oni,sidnimoosoni,control,r,,1,o,a,sidnimaosoni,1,12
maremcilbayit,maremcilbayit,prsss,rem,mi,ci_lba_yit,miremcilbayit,control,p,0.0,1,i,a,maremcilbayit,2,13
noculfyl,nofulfyl,rss,noc,,ulf_yl,noculfyl,control,r,,2,c,f,nofulfyl,1,8
neilsitcileyl,neilsitcilayl,rssss,neil,,sit_ci_la_yl,neilsitcilayl,control,s,2.0,1,a,e,neilsitcileyl,3,13
moparntelba,moparntelba,rs_long,moparnt,,elba,moparntelba,control,s,0.0,2,b,t,moparntelta,0,11
sodtruneviyl,sodtruneviyl,prss,trun,sid,evi_yl,sidtruneviyl,control,p,0.0,1,i,o,sodtruneviyl,2,12
lenduw,lendow,r_long,lendow,,,lendow,control,r,,4,o,u,lenduw,3,6
nurd,nurh,r,nurd,,,nurd,control,r,,3,d,h,nurh,1,4
sidnitrumouisyl,sidnitrumouisyl,pprss,trun,sid_ni,ouis_yl,sidnitrunouisyl,control,r,,3,n,m,sidnitrumouisyl,2,15
reoutglec,reoutgloc,ppr,gloc,re_out,,reoutgloc,target,r,,2,o,e,reoutglec,3,9
unfamalisticwy,unfamalisticly,prssss,fam,un,al_ist_ic_ly,unfamalisticly,target,s,3.0,0,l,w,unfamalisticwy,3,14
famlw,famly,rs,fam,,ly,famly,target,s,0.0,1,y,w,famlw,3,5
diszicemelment,diszicerelment,prs_long,zicerel,dis,ment,diszicerelment,target,r,,4,r,m,diszicemelment,3,14
simlosicurnemt,simlosicurnemt,prs_long,losicur,sim,nemt,simlosicurnemt,control,r,,3,i,e,simlosecurnemt,0,14
werklasitciyl,wertlasitciyl,rssss,werk,,la_sit_ci_yl,werklasitciyl,control,r,,3,k,t,wertlasitciyl,1,13
cetalistis,cetalistis,rsss,cet,,al_ist_ic,cetalistic,target,s,2.0,1,c,s,cetalistis,2,10
prunness,drunness,rs,drun,,ness,drunness,target,r,,0,d,p,prunness,3,8
ermimeatelba,ermimeatelba,pprs,meak,er_mi,elba,ermimeakelba,control,r,,3,k,t,ermimeatelba,2,12
inclatiouslm,inclatiously,pprss,clat,in,ious_ly,inclatiously,target,s,1.0,1,y,m,inclatiouslm,3,12
cuniously,coniously,rss,cun,,ious_ly,cuniously,target,r,,1,u,o,coniously,1,9
erpkeat,erpkeat,pr,keat,erp,,erpkeat,control,p,0.0,0,e,i,irpkeat,0,7
trun,trun,r,trun,,,trun,control,r,,1,r,m,tmun,0,4
nirgov,nirgov,r_long,nirgov,,,nirgov,control,r,,5,v,q,nirgoq,0,6
reoutmem,reoutmer,ppr,mer,re_out,,reoutmer,target,r,,2,r,m,reoutmem,3,8
innegicablity,innegicablity,prsss,neg,in,ic_abl_ity,innegicablity,target,r,,1,e,i,innigicablity,0,13
ninauteviyl,nanauteviyl,prss,naut,ni,evi_yl,ninauteviyl,control,p,0.0,1,i,a,nanauteviyl,1,11
overflenner,overflenner,pr_long,flenner,over,,overflenner,target,r,,2,e,a,overflanner,0,11
sidlouhnemt,sidlouhnemt,prs,louk,sid,nemt,sidlouknemt,control,r,,3,k,h,sidlouhnemt,2,11
trilenhable,trilenhable,rs_long,trilend,,able,trilendable,target,r,,6,d,h,trilenhable,2,11
numoftasitciyl,numoftasitciyl,prssss,mof,nu,ta_sit_ci_yl,numoftasitciyl,control,s,0.0,0,t,s,numofsasitciyl,0,14
nuwerktasitciyl,nuwerktasitciyl,prssss,werk,nu,ta_sit_ci_yl,nuwerktasitciyl,control,r,,0,w,r,nurerktasitciyl,0,15
simdrelintnemp,simdrelintnemt,prs_long,drelint,sim,nemt,simdrelintnemt,control,s,0.0,3,t,p,simdrelintnemp,3,14
trunouisyl,trunouisrl,rss,trun,,ouis_yl,trunouisyl,control,s,1.0,0,y,r,trunouisrl,1,10
riekyl,riekyl,rs,riek,,yl,riekyl,control,s,0.0,1,l,r,riekyr,0,6
preclat,preclat,pr,clat,pre,,preclat,target,r,,0,c,h,prehlat,0,7
mitmuncilbayit,mitruncilbayit,prsss,trun,mi,ci_lba_yit,mitruncilbayit,control,r,,1,r,m,mitmuncilbayit,3,14
louklasitco,louklasitci,rsss,louk,,la_sit_ci,louklasitci,control,s,2.0,1,i,o,louklasitco,3,11
sidreetla,tidreetla,prs,reet,sid,la,sidreetla,control,p,0.0,0,s,t,tidreetla,1,9
louklasitciyl,lauklasitciyl,rssss,louk,,la_sit_ci_yl,louklasitciyl,control,r,,1,o,a,lauklasitciyl,1,13
batrunlayl,batrunlayl,prss,trun,ba,la_yl,batrunlayl,control,r,,0,t,f,bafrunlayl,0,10
sidnipookouisyl,sidnipookouisyl,pprss,pook,sid_ni,ouis_yl,sidnipookouisyl,control,r,,3,k,s,sidnipoosouisyl,0,15
krotan,kroten,r_long,kroten,,,kroten,target,r,,4,e,a,krotan,3,6
erotunuc,erotunoc,ppr,nuc,er_otu,,erotunuc,control,r,,1,u,o,erotunoc,1,8
oturoltick,oturoltick,pr_long,roltick,otu,,oturoltick,control,p,0.0,2,u,e,oteroltick,0,10
tam,fam,r,fam,,,fam,target,r,,0,f,t,tam,3,3
lejentsels,lejentcels,rs_long,lejent,,sels,lejentsels,control,s,0.0,0,s,c,lejentcels,1,10
meinfamable,meinfamable,pprs,fam,re_in,able,reinfamable,target,p,0.0,0,r,m,meinfamable,2,11
colgnemtlasim,tolgnemtlasim,rsss,colg,,nemt_la_sim,colgnemtlasim,control,r,,0,c,t,tolgnemtlasim,1,13
redetirt,redegirt,ppr,girt,re_de,,redegirt,target,r,,0,g,t,redetirt,3,8
uyketalisticly,uyketalisticly,prssss,ket,un,al_ist_ic_ly,unketalisticly,target,p,0.0,1,n,y,uyketalisticly,2,14
misgrivonmant,misgrivonment,prs_long,grivon,mis,ment,misgrivonment,target,s,0.0,1,e,a,misgrivonmant,3,13
outwondel,oitwondel,pr_long,wondel,out,,outwondel,target,p,0.0,1,u,i,oitwondel,1,9
sidnitecnad,sidnitecnat,pprs,tec,sid_ni,nat,sidnitecnat,control,s,0.0,2,t,d,sidnitecnad,3,11
geefalisticly,geefalasticly,rssss,geef,,al_ist_ic_ly,geefalisticly,target,s,1.0,0,i,a,geefalasticly,1,13
tenc,tonc,r,tonc,,,tonc,control,r,,1,o,e,tenc,3,4
flenner,fmenner,r_long,flenner,,,flenner,target,r,,1,l,m,fmenner,1,7
onnermeakviyit,onnermeikviyit,pprss,meak,onn_er,vi_yit,onnermeakviyit,control,r,,2,a,i,onnermeikviyit,1,14
unlienically,unlienically,prsss,lien,un,ic_al_ly,unlienically,target,p,0.0,0,u,o,onlienically,0,12
insoomively,iysoomively,prss,soom,in,ive_ly,insoomively,target,p,0.0,1,n,y,iysoomively,1,11
erreet,erreet,pr,reet,er,,erreet,control,r,,2,e,o,erreot,0,6
gartfulness,gartfulness,rss,girt,,ful_ness,girtfulness,target,r,,1,i,a,gartfulness,2,11
snithonance,slithonance,rs_long,slithon,,ance,slithonance,target,r,,1,l,n,snithonance,3,11
negln,negly,rs,neg,,ly,negly,target,s,0.0,1,y,n,negln,3,5
hiscunal,hiscunal,prs,cun,dis,al,discunal,target,p,0.0,0,d,h,hiscunal,2,8
sargcilayl,sargcilayl,rsss,sarg,,ci_la_yl,sargcilayl,control,r,,1,a,o,sorgcilayl,0,10
disinlienion,disinlienion,pprs,lien,dis_in,ion,disinlienion,target,r,,0,l,m,disinmienion,0,12
sipnirgovnemt,sipnirgovnemt,prs_long,nirgov,sid,nemt,sidnirgovnemt,control,p,0.0,2,d,p,sipnirgovnemt,2,13
nirgovanca,nirgovanca,rs_long,nirgov,,enca,nirgovenca,control,s,0.0,0,e,a,nirgovanca,2,10
diskrewively,diskrewivemy,prss,krew,dis,ive_ly,diskrewively,target,s,1.0,0,l,m,diskrewivemy,1,12
simnetork,simnetowk,pr_long,netork,sim,,simnetork,control,r,,4,r,w,simnetowk,1,9
sidreesulf,sidreetulf,prs,reet,sid,ulf,sidreetulf,control,r,,3,t,s,sidreesulf,3,10
regirt,legirt,pr,girt,re,,regirt,target,p,0.0,0,r,l,legirt,1,6
negistically,negistically,rssss,neg,,ist_ic_al_ly,negistically,target,s,2.0,0,a,i,negisticilly,0,12
foy,foy,r,fom,,,fom,target,r,,2,m,y,foy,2,3
erohutek,erohutek,ppr,tek,er_otu,,erotutek,control,p,1.0,1,t,h,erohutek,2,8
edfaeglazitaoni,edfeeglazitaoni,prssss,feeg,ed,la_zi_ta_oni,edfeeglazitaoni,control,r,,1,e,a,edfaeglazitaoni,3,15
incleticablity,inclaticablity,prsss,clat,in,ic_abl_ity,inclaticablity,target,r,,2,a,e,incleticablity,3,14
triviw,triviw,r_long,trivin,,,trivin,target,r,,5,n,w,triviw,2,6
inlieniously,inliiniously,pprss,lien,in,ious_ly,inlieniously,target,r,,2,e,i,inliiniously,1,12
drunfully,drunfully,rss,drun,,ful_ly,drunfully,target,r,,1,r,y,dyunfully,0,9
mofsens,mocsens,rs,mof,,sens,mofsens,control,r,,2,f,c,mocsens,1,7
