first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
roltickouis,roltickeuis,rs_long,roltick,,ouis,roltickouis,control,s,0.0,0,o,e,roltickeuis,1,11
erpteccilaym,erpteccilayl,prsss,tec,erp,ci_la_yl,erpteccilayl,control,s,2.0,1,l,m,erpteccilaym,3,12
remiskeul,remiskeul,ppr,koul,re_mis,,remiskoul,target,r,,1,o,e,remiskeul,2,9
werktaonilasim,werktaonilasim,rssss,werk,,ta_oni_la_sim,werktaonilasim,control,s,3.0,1,i,a,werktaonilasam,0,14
edmoflazitaoni,edmoflazitaoni,prssss,mof,ed,la_zi_ta_oni,edmoflazitaoni,control,s,0.0,0,l,r,edmofrazitaoni,0,14
rekativity,rekativity,pprss,ket,re,iv_ity,reketivity,target,r,,1,e,a,rekativity,2,10
nulendowison,nulerdowison,prs_long,lendow,nu,ison,nulendowison,control,r,,2,n,r,nulerdowison,1,12
erniwerknemt,erniwerknemt,pprs,werk,er_ni,nemt,erniwerknemt,control,r,,3,k,t,erniwertnemt,0,12
krewmentally,krewmentally,rsss,krew,,ment_al_ly,krewmentally,target,s,1.0,0,a,e,krewmentelly,0,12
sidnugeviyl,sidnuceviyl,prss,nuc,sid,evi_yl,sidnuceviyl,control,r,,2,c,g,sidnugeviyl,3,11
himreet,himreet,pr,reet,sim,,simreet,control,p,0.0,0,s,h,himreet,2,7
mofarnt,moparnt,r_long,moparnt,,,moparnt,control,r,,2,p,f,mofarnt,3,7
cort,cont,r,cont,,,cont,target,r,,2,n,r,cort,3,4
riekulfyl,riekulfyl,rss,riek,,ulf_yl,riekulfyl,control,r,,2,e,a,riakulfyl,0,9
orpmafori,orpmafoni,prs,maf,orp,oni,orpmafoni,control,s,0.0,1,n,r,orpmafori,3,9
tamal,famal,rs,fam,,al,famal,target,r,,0,f,t,tamal,3,5
otulejent,itulejent,pr_long,lejent,otu,,otulejent,control,p,0.0,0,o,i,itulejent,1,9
zicerel,ziderel,r_long,zicerel,,,zicerel,target,r,,2,c,d,ziderel,1,7
reinlierment,reinlienment,pprs,lien,re_in,ment,reinlienment,target,r,,3,n,r,reinlierment,3,12
simtruntaoni,simtruntaoni,prss,trun,sim,ta_oni,simtruntaoni,control,r,,2,u,i,simtrintaoni,0,12
orpnerk,orpwerk,pr,werk,orp,,orpwerk,control,r,,0,w,n,orpnerk,3,7
infebiousness,infebiousness,pprss,fob,in,ious_ness,infobiousness,target,r,,1,o,e,infebiousness,2,13
remla,remla,rs,rem,,la,remla,control,r,,0,r,l,lemla,0,5
fliensnemt,flientnemt,rs_long,flient,,nemt,flientnemt,control,r,,5,t,s,fliensnemt,3,10
prejentor,prejenbor,pr_long,jentor,pre,,prejentor,target,r,,3,t,b,prejenbor,1,9
nurdlasitciyl,nurdlasitciym,rssss,nurd,,la_sit_ci_yl,nurdlasitciyl,control,s,3.0,1,l,m,nurdlasitciym,1,13
sargnemtwayl,sargnemtwayl,rsss,sarg,,nemt_la_yl,sargnemtlayl,control,s,1.0,0,l,w,sargnemtwayl,2,12
teer,teer,r,teer,,,teer,target,r,,3,r,m,teem,0,4
nilaukvitaoni,niloukvitaoni,prsss,louk,ni,vi_ta_oni,niloukvitaoni,control,r,,1,o,a,nilaukvitaoni,3,13
sifcleriezulf,sifcleriezulf,prs_long,cleriez,sid,ulf,sidcleriezulf,control,p,0.0,2,d,f,sifcleriezulf,2,13
meoklazei,meaklazei,rss,meak,,la_zei,meaklazei,control,r,,2,a,o,meoklazei,3,9
prokoulion,drokoulion,prs,koul,pro,ion,prokoulion,target,p,0.0,0,p,d,drokoulion,1,10
edmeaktaonielsim,edmeaktaonialsim,prssss,meak,ed,ta_oni_al_sim,edmeaktaonialsim,control,s,2.0,0,a,e,edmeaktaonielsim,3,16
ersidtek,ersistek,ppr,tek,er_sid,,ersidtek,control,p,1.0,2,d,s,ersistek,1,8
mistrun,misdrun,pr,drun,mis,,misdrun,target,r,,0,d,t,mistrun,3,7
koulmenhally,koulmentally,rsss,koul,,ment_al_ly,koulmentally,target,s,0.0,3,t,h,koulmenhally,3,12
ernimaf,erniraf,ppr,maf,er_ni,,ernimaf,control,r,,0,m,r,erniraf,1,7
mofsitcilayl,mofsitcilayl,rssss,mof,,sit_ci_la_yl,mofsitcilayl,control,s,0.0,1,i,a,mofsatcilayl,0,12
slithonious,slithonious,rs_long,slithon,,ious,slithonious,target,r,,3,t,v,slivhonious,0,11
nutoncla,wutoncla,prs,tonc,nu,la,nutoncla,control,p,0.0,0,n,w,wutoncla,1,8
otulosidur,otulosidur,pr_long,losicur,otu,,otulosicur,control,r,,4,c,d,otulosidur,2,10
dojian,dojien,r_long,dojian,,,dojian,control,r,,4,a,e,dojien,1,6
prekeamicanly,prekeamicanly,prsss,keam,pre,ic_al_ly,prekeamically,target,s,1.0,1,l,n,prekeamicanly,2,13
bacolgliyl,bacolglayl,prss,colg,ba,la_yl,bacolglayl,control,s,0.0,1,a,i,bacolgliyl,3,10
fob,fob,r,fob,,,fob,target,r,,0,f,t,tob,0,3
iwkouliously,inkouliously,pprss,koul,in,ious_ly,inkouliously,target,p,0.0,1,n,w,iwkouliously,3,12
fradenca,fradenca,rs,frad,,enca,fradenca,control,r,,1,r,y,fyadenca,0,8
nisidmoosoni,nisidmoosoni,pprs,moos,ni_sid,oni,nisidmoosoni,control,p,1.0,0,s,t,nitidmoosoni,0,12
teklazei,teklazei,rss,tek,,la_zei,teklazei,control,s,0.0,0,l,r,tekrazei,0,8
unflennerabme,unflennerable,prs_long,flenner,un,able,unflennerable,target,s,0.0,2,l,m,unflennerabme,3,13
dekeirationalism,tekeirationalism,prssss,keir,de,at_ion_al_ism,dekeirationalism,target,p,0.0,0,d,t,tekeirationalism,1,16
erprozilac,erprozirac,pr_long,rozirac,erp,,erprozirac,control,r,,4,r,l,erprozilac,3,10
reinketment,reinketment,pprs,ket,re_in,ment,reinketment,target,r,,0,k,f,reinfetment,0,11
munucison,munucison,prs,nuc,nu,ison,nunucison,control,p,0.0,0,n,m,munucison,2,9
disflemakful,disflomakful,prs_long,flomak,dis,ful,disflomakful,target,r,,2,o,e,disflemakful,3,12
fleyit,fleyit,r_long,flenit,,,flenit,target,r,,3,n,y,fleyit,2,6
talcnemtliyl,talcnemtliyl,rsss,talc,,nemt_la_yl,talcnemtlayl,control,s,1.0,1,a,i,talcnemtliyl,2,12
trogirt,trogirt,pr,girt,pro,,progirt,target,p,0.0,0,p,t,trogirt,2,7
onnerpookviwit,onnerpookviyit,pprss,pook,onn_er,vi_yit,onnerpookviyit,control,s,1.0,0,y,w,onnerpookviwit,3,14
koulisticalln,koulistically,rssss,koul,,ist_ic_al_ly,koulistically,target,s,3.0,1,y,n,koulisticalln,3,13
mook,mook,r,moos,,,moos,control,r,,3,s,k,mook,2,4
hoomment,soomment,rs,soom,,ment,soomment,target,r,,0,s,h,hoomment,3,8
uncetically,uncetically,prsss,cet,un,ic_al_ly,uncetically,target,r,,1,e,i,uncitically,0,11
reinkels,reinkelh,ppr,kels,re_in,,reinkels,target,r,,3,s,h,reinkelh,1,8
famalizo,famalize,rss,fam,,al_ize,famalize,target,s,1.0,2,e,o,famalizo,3,8
nusiwtasitciyl,nusiwtasitciyl,prssss,siw,nu,ta_sit_ci_yl,nusiwtasitciyl,control,s,2.0,1,i,o,nusiwtasitcoyl,0,14
jentormess,jentorless,rs_long,jentor,,less,jentorless,target,s,0.0,0,l,m,jentormess,3,10
abhobally,abfobally,prss,fob,ab,al_ly,abfobally,target,r,,0,f,h,abhobally,3,9
eyninautnemt,eyninautnemt,pprs,naut,er_ni,nemt,erninautnemt,control,p,0.0,1,r,y,eyninautnemt,2,12
mop,mof,r,mof,,,mof,control,r,,2,f,p,mop,3,3
windel,windel,r_long,wondel,,,wondel,target,r,,1,o,i,windel,2,6
redisket,redisket,ppr,ket,re_dis,,redisket,target,p,0.0,1,e,o,rodisket,0,8
unglocal,unglocal,prs,gloc,un,al,unglocal,target,s,0.0,0,a,i,unglocil,0,8
kisgirtively,disgirtively,prss,girt,dis,ive_ly,disgirtively,target,p,0.0,0,d,k,kisgirtively,3,12
cennemt,gennemt,rs,gen,,nemt,gennemt,control,r,,0,g,c,cennemt,3,7
nunirgohelba,nunirgovelba,prs_long,nirgov,nu,elba,nunirgovelba,control,r,,5,v,h,nunirgohelba,3,12
teakmentalism,taakmentalism,rsss,teak,,ment_al_ism,teakmentalism,target,r,,1,e,a,taakmentalism,1,13
netorksels,netorksers,rs_long,netork,,sels,netorksels,control,s,0.0,2,l,r,netorksers,1,10
nucolgcilayl,yucolgcilayl,prsss,colg,nu,ci_la_yl,nucolgcilayl,control,p,0.0,0,n,y,yucolgcilayl,1,12
outculorit,outculoris,pr_long,culoris,out,,outculoris,target,r,,6,s,t,outculorit,3,10
gartationalism,girtationalism,rssss,girt,,at_ion_al_ism,girtationalism,target,r,,1,i,a,gartationalism,3,14
disteir,disteir,pr,teer,dis,,disteer,target,r,,2,e,i,disteir,2,7
sidninurdiuisyl,sidninurdouisyl,pprss,nurd,sid_ni,ouis_yl,sidninurdouisyl,control,s,0.0,0,o,i,sidninurdiuisyl,3,15
unnumtalisticly,unnumtalisticly,prssss,nurt,un,al_ist_ic_ly,unnurtalisticly,target,r,,2,r,m,unnumtalisticly,2,15
fobfilly,fobfilly,rss,fob,,ful_ly,fobfully,target,s,0.0,1,u,i,fobfilly,2,8
neawoz,nearoz,r_long,nearoz,,,nearoz,control,r,,3,r,w,neawoz,3,6
unjentewious,unjentelious,prs_long,jentel,un,ious,unjentelious,target,r,,5,l,w,unjentewious,3,12
nurdnentlasim,nurdnemtlasim,rsss,nurd,,nemt_la_sim,nurdnemtlasim,control,s,0.0,2,m,n,nurdnentlasim,3,13
sidsarg,sidsarg,pr,sarg,sid,,sidsarg,control,p,0.0,2,d,h,sihsarg,0,7
krewalize,krewalize,rss,krew,,al_ize,krewalize,target,s,1.0,0,i,a,krewalaze,0,9
unkrewiius,unkrewiius,prs,krew,un,ious,unkrewious,target,s,0.0,1,o,i,unkrewiius,2,10
koulance,kouwance,rs,koul,,ance,koulance,target,r,,3,l,w,kouwance,1,8
intisgrasion,intisgrasion,pprs,gras,in_dis,ion,indisgrasion,target,p,1.0,0,d,t,intisgrasion,2,12
ersimselk,ersimselk,ppr,selk,er_sim,,ersimselk,control,p,1.0,1,i,e,ersemselk,0,9
outgribon,outgribon,pr_long,grivon,out,,outgrivon,target,r,,3,v,b,outgribon,2,9
trilandment,trilendment,rs_long,trilend,,ment,trilendment,target,r,,4,e,a,trilandment,3,11
miskeamation,mibkeamation,prss,keam,mis,at_ion,miskeamation,target,p,0.0,2,s,b,mibkeamation,1,12
dedarfalization,dedarfalization,prssss,darf,de,al_iz_at_ion,dedarfalization,target,r,,3,f,t,dedartalization,0,15
yaut,naut,r,naut,,,naut,control,r,,0,n,y,yaut,3,4
ingeefivation,ingiefivation,prsss,geef,in,iv_at_ion,ingeefivation,target,r,,1,e,i,ingiefivation,1,13
teukalisticly,teakalisticly,rssss,teak,,al_ist_ic_ly,teakalisticly,target,r,,2,a,u,teukalisticly,3,13
sidnicolgouissens,sidnicolgouissens,pprss,colg,sid_ni,ouis_sens,sidnicolgouissens,control,r,,0,c,t,sidnitolgouissens,0,17
