first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
ungirtionally,ungirtionally,prsss,girt,un,ion_al_ly,ungirtionally,target,p,0.0,1,n,m,umgirtionally,0,13
miskeamfulness,miskeamfulness,prss,keam,mis,ful_ness,miskeamfulness,target,s,1.0,3,s,d,miskeamfulnesd,0,14
defamationalism,defamataonalism,prssss,fam,de,at_ion_al_ism,defamationalism,target,s,1.0,0,i,a,defamataonalism,1,15
unkeam,unkeam,pr,keam,un,,unkeam,target,p,0.0,0,u,i,inkeam,0,6
sidmesiw,sidmesiw,ppr,siw,sid_me,,sidmesiw,control,r,,1,i,o,sidmesow,0,8
maftaomilasit,maftaonilasit,rssss,maf,,ta_oni_la_sit,maftaonilasit,control,s,1.0,1,n,m,maftaomilasit,3,13
contant,centant,rs,cont,,ant,contant,target,r,,1,o,e,centant,1,7
sidyitoncouissens,sidyitoncouissens,pprss,tonc,sid_ni,ouis_sens,sidnitoncouissens,control,p,1.0,0,n,y,sidyitoncouissens,2,17
injadolinness,injadolinness,prs_long,jadolin,in,ness,injadolinness,target,s,0.0,1,e,o,injadolinnoss,0,13
meinnurtable,reinnurtable,pprs,nurt,re_in,able,reinnurtable,target,p,0.0,0,r,m,meinnurtable,3,12
lien,liun,r,lien,,,lien,target,r,,2,e,u,liun,1,4
slithon,slitson,r_long,slithon,,,slithon,target,r,,4,h,s,slitson,1,7
inwisness,inwisnehs,prs,wis,in,ness,inwisness,target,s,0.0,2,s,h,inwisnehs,1,9
nucelfsens,nucelfsens,rss,nuc,,ulf_sens,nuculfsens,control,s,0.0,0,u,e,nucelfsens,2,10
nurdnemtloyl,nurdnemtlayl,rsss,nurd,,nemt_la_yl,nurdnemtlayl,control,s,1.0,1,a,o,nurdnemtloyl,3,12
roziracoais,roziracouis,rs_long,rozirac,,ouis,roziracouis,control,s,0.0,1,u,a,roziracoais,3,11
prejadolin,prejafolin,pr_long,jadolin,pre,,prejadolin,target,r,,2,d,f,prejafolin,1,10
urmerfully,urmerfully,prss,mer,un,ful_ly,unmerfully,target,p,0.0,1,n,r,urmerfully,2,10
nenautison,nenautison,prs,naut,nu,ison,nunautison,control,p,0.0,1,u,e,nenautison,2,10
senk,selk,r,selk,,,selk,control,r,,2,l,n,senk,3,4
musflenitment,musflenitment,prs_long,flenit,mis,ment,misflenitment,target,p,0.0,1,i,u,musflenitment,2,13
erveroceeg,erverofeeg,ppr,feeg,er_vero,,erverofeeg,control,r,,0,f,c,erveroceeg,3,10
memilsens,remilsens,rss,rem,,il_sens,remilsens,control,r,,0,r,m,memilsens,3,9
pekels,pekels,pr,kels,de,,dekels,target,p,0.0,0,d,p,pekels,2,6
ungyasistically,ungrasistically,prssss,gras,un,ist_ic_al_ly,ungrasistically,target,r,,1,r,y,ungyasistically,3,15
edkeatvitaoni,edkeatvitaoni,prsss,keat,ed,vi_ta_oni,edkeatvitaoni,control,s,1.0,0,t,k,edkeatvikaoni,0,13
culores,culoris,r_long,culoris,,,culoris,target,r,,5,i,e,culores,3,7
erpnefelg,ertnefelg,pr_long,nefelg,erp,,erpnefelg,control,p,0.0,2,p,t,ertnefelg,1,9
lienationalist,lienationalish,rssss,lien,,at_ion_al_ist,lienationalist,target,s,3.0,2,t,h,lienationalish,1,14
ketically,betically,rsss,ket,,ic_al_ly,ketically,target,r,,0,k,b,betically,1,9
botoni,bofoni,rs,bof,,oni,bofoni,control,r,,2,f,t,botoni,3,6
ermenurdelba,erminurdelba,pprs,nurd,er_mi,elba,erminurdelba,control,p,1.0,1,i,e,ermenurdelba,3,12
flomakable,flomakable,rs_long,flomak,,able,flomakable,target,r,,3,m,n,flonakable,0,10
onnerkeatviyit,onnerkeatveyit,pprss,keat,onn_er,vi_yit,onnerkeatviyit,control,s,0.0,1,i,e,onnerkeatveyit,1,14
insirtiousness,insirtiousness,pprss,girt,in,ious_ness,ingirtiousness,target,r,,0,g,s,insirtiousness,2,14
ersimnurdnemt,ersimnurfnemt,pprs,nurd,er_sim,nemt,ersimnurdnemt,control,r,,3,d,f,ersimnurfnemt,1,13
deglocivation,deglocivatoon,prsss,gloc,de,iv_at_ion,deglocivation,target,s,2.0,0,i,o,deglocivatoon,1,13
jadolinious,jadolinious,rs_long,jadolin,,ious,jadolinious,target,s,0.0,2,u,e,jadolinioes,0,11
nikeat,nukeat,pr,keat,nu,,nukeat,control,p,0.0,1,u,i,nikeat,3,6
simnerfelnnemt,simnerfelnnemt,prs_long,nerfeln,sim,nemt,simnerfelnnemt,control,s,0.0,1,e,i,simnerfelnnimt,0,14
mipekyti,mipekyti,prs,tek,mi,yti,mitekyti,control,r,,0,t,p,mipekyti,2,8
moobcilayl,moobcilayl,rsss,moos,,ci_la_yl,mooscilayl,control,r,,3,s,b,moobcilayl,2,10
talcenca,tolcenca,rs,talc,,enca,talcenca,control,r,,1,a,o,tolcenca,1,8
teklasitciyl,teklasittiyl,rssss,tek,,la_sit_ci_yl,teklasitciyl,control,s,2.0,0,c,t,teklasittiyl,1,12
dojian,dojian,r_long,dojian,,,dojian,control,r,,4,a,i,dojiin,0,6
nufeegulfyl,nufeegulfyl,prss,feeg,nu,ulf_yl,nufeegulfyl,control,s,0.0,0,u,e,nufeegelfyl,0,11
maf,maf,r,maf,,,maf,control,r,,2,f,t,mat,0,3
netrunsitcilayl,netrunsitcilayl,prssss,trun,nu,sit_ci_la_yl,nutrunsitcilayl,control,p,0.0,1,u,e,netrunsitcilayl,2,15
rentitonjer,rentitonjer,pr_long,tonjer,renti,,rentitonjer,control,p,0.0,2,n,r,rertitonjer,0,11
taunliness,taunliness,rss,taun,,li_ness,taunliness,target,r,,0,t,s,saunliness,0,10
disemkeir,disemkeir,ppr,keir,dis_em,,disemkeir,target,p,1.0,0,e,a,disamkeir,0,9
bustranil,bustranil,pr_long,tranil,bus,,bustranil,control,r,,4,i,o,bustranol,0,9
reoverteak,reovertoak,ppr,teak,re_over,,reoverteak,target,r,,1,e,o,reovertoak,1,10
flenitness,flanitness,rs_long,flenit,,ness,flenitness,target,r,,2,e,a,flanitness,1,10
unconmental,enconmental,prss,con,un,ment_al,unconmental,target,p,0.0,0,u,e,enconmental,1,11
edweak,edweak,pr,meak,ed,,edmeak,control,r,,0,m,w,edweak,2,6
