first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
disfleniture,disfleniture,prs_long,flenit,dis,ure,disfleniture,target,r,,2,e,u,disfluniture,0,12
sidmetalc,sidmetalc,ppr,talc,sid_me,,sidmetalc,control,r,,0,t,f,sidmefalc,0,9
krohen,krohen,r_long,kroten,,,kroten,target,r,,3,t,h,krohen,2,6
mofnemt,mefnemt,rs,mof,,nemt,mofnemt,control,r,,1,o,e,mefnemt,1,7
mistriman,mistrilan,pr_long,trilan,mis,,mistrilan,target,r,,3,l,m,mistriman,3,9
missoemment,missoemment,prs,soom,mis,ment,missoomment,target,r,,2,o,e,missoemment,2,11
trunlasum,trunlasim,rss,trun,,la_sim,trunlasim,control,s,1.0,1,i,u,trunlasum,3,9
neboftaonilayl,neboftaonilayl,prssss,bof,nu,ta_oni_la_yl,nuboftaonilayl,control,p,0.0,1,u,e,neboftaonilayl,2,14
ermitrumelba,ermitrunelba,pprs,trun,er_mi,elba,ermitrunelba,control,r,,3,n,m,ermitrumelba,3,12
sidniremoniray,sidniremeniray,pprss,rem,sid_ni,oni_ray,sidniremoniray,control,s,0.0,0,o,e,sidniremeniray,1,14
otuloukouisyl,otuloukouosyl,prss,louk,otu,ouis_yl,otuloukouisyl,control,s,0.0,2,i,o,otuloukouosyl,1,13
netorksems,netorksens,rs_long,netork,,sens,netorksens,control,s,0.0,2,n,m,netorksems,3,10
orpnurd,orpnurd,pr,nurd,orp,,orpnurd,control,p,0.0,1,r,w,owpnurd,0,7
cont,cont,r,cont,,,cont,target,r,,0,c,h,hont,0,4
inlienivation,enlienivation,prsss,lien,in,iv_at_ion,inlienivation,target,p,0.0,0,i,e,enlienivation,1,13
teknemtlayl,beknemtlayl,rsss,tek,,nemt_la_yl,teknemtlayl,control,r,,0,t,b,beknemtlayl,1,11
pooktaonilayl,pooktaonilayl,rssss,pook,,ta_oni_la_yl,pooktaonilayl,control,r,,2,o,a,poaktaonilayl,0,13
otulujent,otulejent,pr_long,lejent,otu,,otulejent,control,r,,1,e,u,otulujent,3,9
pyowis,pyowis,pr,wis,pro,,prowis,target,p,0.0,1,r,y,pyowis,2,6
erppookcilayl,erppaokcilayl,prsss,pook,erp,ci_la_yl,erppookcilayl,control,r,,1,o,a,erppaokcilayl,1,13
outgrisiously,outgrasiously,prss,gras,out,ious_ly,outgrasiously,target,r,,2,a,i,outgrisiously,3,13
simtrignemt,simtrignemt,prs,trig,sim,nemt,simtrignemt,control,s,0.0,2,m,y,simtrigneyt,0,11
loenalize,lienalize,rss,lien,,al_ize,lienalize,target,r,,1,i,o,loenalize,3,9
krewmentally,kremmentally,rsss,krew,,ment_al_ly,krewmentally,target,r,,3,w,m,kremmentally,1,12
mofoni,mofoni,rs,mof,,oni,mofoni,control,s,0.0,1,n,y,mofoyi,0,6
hisinnurtion,hisinnurtion,pprs,nurt,dis_in,ion,disinnurtion,target,p,0.0,0,d,h,hisinnurtion,2,12
trilack,trilack,r_long,trilock,,,trilock,target,r,,4,o,a,trilack,2,7
don,don,r,con,,,con,target,r,,0,c,d,don,2,3
netalctaonilayl,netalctaonilayl,prssss,talc,nu,ta_oni_la_yl,nutalctaonilayl,control,p,0.0,1,u,e,netalctaonilayl,2,15
sidkaflomeru,sidkaflomeyu,prs_long,kaflom,sid,eru,sidkaflomeru,control,s,0.0,1,r,y,sidkaflomeyu,1,12
