first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
rozirac,rozirat,r_long,rozirac,,,rozirac,control,r,,6,c,t,rozirat,1,7
contalistic,contalistic,rsss,cont,,al_ist_ic,contalistic,target,s,1.0,0,i,a,contalastic,0,11
prolienevely,prolienively,prss,lien,pro,ive_ly,prolienively,target,s,0.0,0,i,e,prolienevely,3,12
erpnos,erpnoc,pr,noc,erp,,erpnoc,control,r,,2,c,s,erpnos,3,6
natrigsitcilayl,natrigsitcilayl,prssss,trig,nu,sit_ci_la_yl,nutrigsitcilayl,control,p,0.0,1,u,a,natrigsitcilayl,2,15
teakless,toakless,rs,teak,,less,teakless,target,r,,1,e,o,toakless,1,8
ingrasiousness,ingrasiousness,pprss,gras,in,ious_ness,ingrasiousness,target,p,0.0,1,n,m,imgrasiousness,0,14
jadolinnesk,jadolinness,rs_long,jadolin,,ness,jadolinness,target,s,0.0,3,s,k,jadolinnesk,3,11
erednucnemt,erednucnamt,pprs,nuc,er_ed,nemt,erednucnemt,control,s,0.0,1,e,a,erednucnamt,1,11
girkfulness,girtfulness,rss,girt,,ful_ness,girtfulness,target,r,,3,t,k,girkfulness,3,11
projentel,projentil,pr_long,jentel,pro,,projentel,target,r,,4,e,i,projentil,1,9
luc,nuc,r,nuc,,,nuc,control,r,,0,n,l,luc,3,3
ennegity,innegity,prs,neg,in,ity,innegity,target,p,0.0,0,i,e,ennegity,3,8
reouthon,reouthon,ppr,con,re_out,,reoutcon,target,r,,0,c,h,reouthon,2,8
intaunivetion,intaunivation,prsss,taun,in,iv_at_ion,intaunivation,target,s,1.0,0,a,e,intaunivetion,3,13
errendownemt,errendownemt,prs_long,lendow,er,nemt,erlendownemt,control,r,,0,l,r,errendownemt,2,12
nucsitcilayl,nucsitcelayl,rssss,nuc,,sit_ci_la_yl,nucsitcilayl,control,s,1.0,1,i,e,nucsitcelayl,1,12
unclutliness,unclutliness,prss,clat,un,li_ness,unclatliness,target,r,,2,a,u,unclutliness,2,12
nuremtaonalayl,nuremtaonilayl,prssss,rem,nu,ta_oni_la_yl,nuremtaonilayl,control,s,1.0,2,i,a,nuremtaonalayl,3,14
nirgov,nirgov,r_long,nirgov,,,nirgov,control,r,,5,v,p,nirgop,0,6
sidnimofouissens,sihnimofouissens,pprss,mof,sid_ni,ouis_sens,sidnimofouissens,control,p,0.0,2,d,h,sihnimofouissens,1,16
veclasitci,teclasitci,rsss,tec,,la_sit_ci,teclasitci,control,r,,0,t,v,veclasitci,3,10
lendowsels,lendowsels,rs_long,lendow,,sels,lendowsels,control,r,,3,d,s,lensowsels,0,10
teakationalist,teakationalist,rssss,teak,,at_ion_al_ist,teakationalist,target,r,,0,t,f,feakationalist,0,14
moos,meos,r,moos,,,moos,control,r,,1,o,e,meos,1,4
edneilezi,etneilezi,prs,neil,ed,ezi,edneilezi,control,p,0.0,1,d,t,etneilezi,1,9
ednucvitaoni,ednucvitaoni,prsss,nuc,ed,vi_ta_oni,ednucvitaoni,control,p,0.0,0,e,a,adnucvitaoni,0,12
regrivomment,regrivonment,prs_long,grivon,re,ment,regrivonment,target,r,,5,n,m,regrivomment,3,12
nautoli,nautoni,rs,naut,,oni,nautoni,control,s,0.0,1,n,l,nautoli,3,7
intertaun,intartaun,pr,taun,inter,,intertaun,target,p,0.0,3,e,a,intartaun,1,9
autzorean,outzorean,pr_long,zorean,out,,outzorean,target,p,0.0,0,o,a,autzorean,3,9
erotutek,erofutek,ppr,tek,er_otu,,erotutek,control,p,1.0,1,t,f,erofutek,1,8
fomfulry,fomfulry,rss,fom,,ful_ly,fomfully,target,s,1.0,0,l,r,fomfulry,2,8
