first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
undrunationally,undrunationally,prssss,drun,un,at_ion_al_ly,undrunationally,target,s,0.0,1,t,c,undrunacionally,0,15
wis,wis,r,wis,,,wis,target,r,,1,i,e,wes,0,3
sidnicholsnemt,sidnitholsnemt,prs_long,nithols,sid,nemt,sidnitholsnemt,control,r,,2,t,c,sidnicholsnemt,3,14
prokelsation,prokelsation,prss,kels,pro,at_ion,prokelsation,target,s,1.0,1,o,a,prokelsatian,0,12
ernineelnemt,ernineilnemt,pprs,neil,er_ni,nemt,ernineilnemt,control,r,,2,i,e,ernineelnemt,3,12
kreten,kreten,r_long,kroten,,,kroten,target,r,,2,o,e,kreten,2,6
neilsitci,leilsitci,rss,neil,,sit_ci,neilsitci,control,r,,0,n,l,leilsitci,1,9
edhargre,edhargre,prs,sarg,ed,re,edsargre,control,r,,0,s,h,edhargre,2,8
busrozinac,busrozirac,pr_long,rozirac,bus,,busrozirac,control,r,,4,r,n,busrozinac,3,10
tuncsim,toncsim,rs,tonc,,sim,toncsim,control,r,,1,o,u,tuncsim,3,7
negmentally,negmertally,rsss,neg,,ment_al_ly,negmentally,target,s,0.0,2,n,r,negmertally,1,11
untaunionally,untauniowally,prsss,taun,un,ion_al_ly,untaunionally,target,s,0.0,2,n,w,untauniowally,1,13
pricont,precont,pr,cont,pre,,precont,target,p,0.0,2,e,i,pricont,3,7
inmerioucly,inmeriously,pprss,mer,in,ious_ly,inmeriously,target,s,0.0,3,s,c,inmerioucly,3,11
mosarntnemt,moparntnemt,rs_long,moparnt,,nemt,moparntnemt,control,r,,2,p,s,mosarntnemt,3,11
repsidmof,repsidwof,ppr,mof,rep_sid,,repsidmof,control,r,,0,m,w,repsidwof,1,9
glocationalism,glocationalism,rssss,gloc,,at_ion_al_ism,glocationalism,target,r,,3,c,p,glopationalism,0,14
bofnemtlayl,hofnemtlayl,rsss,bof,,nemt_la_yl,bofnemtlayl,control,r,,0,b,h,hofnemtlayl,1,11
fyomakment,flomakment,rs_long,flomak,,ment,flomakment,target,r,,1,l,y,fyomakment,3,10
nearoz,niaroz,r_long,nearoz,,,nearoz,control,r,,1,e,i,niaroz,1,6
