first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
indismeerion,indismeerian,pprs,meer,in_dis,ion,indismeerion,target,s,0.0,1,o,a,indismeerian,1
selbtainolasit,selbtainolasit,rssss,selb,,ta_ino_la_sit,selbtainolasit,control,r,,3,b,f,selftainolasit,0
indisgeedity,indisgeedity,pprs,geed,in_dis,ity,indisgeedity,target,s,0.0,2,y,n,indisgeeditn,0
dobnemt,dobyemt,rs,dob,,nemt,dobnemt,control,s,0.0,0,n,y,dobyemt,1
redereamment,redemeamment,pprs,ream,re_de,ment,redereamment,target,r,,0,r,m,redemeamment,1
siwtainolayl,giwtainolayl,rssss,siw,,ta_ino_la_yl,siwtainolayl,control,r,,0,s,g,giwtainolayl,1
sidniselboniyar,sidniselboniyar,pprss,selb,sid_ni,oni_yar,sidniselboniyar,control,r,,1,e,a,sidnisalboniyar,0
numearsitcilayl,numeorsitcilayl,prssss,mear,nu,sit_ci_la_yl,numearsitcilayl,control,r,,2,a,o,numeorsitcilayl,1
reovermeer,reovermeer,ppr,meer,re_over,,reovermeer,target,p,1.0,1,v,f,reofermeer,0
trigcilayl,tregcilayl,rsss,trig,,ci_la_yl,trigcilayl,control,r,,2,i,e,tregcilayl,1
geedability,geedability,rss,geed,,abil_ity,geedability,target,r,,0,g,t,teedability,0
imnegically,imnegically,prsss,neg,im,ic_al_ly,imnegically,target,s,2.0,1,y,n,imnegicalln,0
dispookment,dispookment,prs,pook,dis,ment,dispookment,target,p,0.0,2,s,h,dihpookment,0
repsidmof,repsidyof,ppr,mof,rep_sid,,repsidmof,control,r,,0,m,y,repsidyof,1
riektainolayl,riektainolayl,rssss,riek,,ta_ino_la_yl,riektainolayl,control,s,1.0,1,n,y,riektaiyolayl,0
nupurttanoilayl,nupurttanoilayl,prssss,purt,nu,ta_noi_la_yl,nupurttanoilayl,control,s,1.0,0,n,m,nupurttamoilayl,0
nurdsitcieta,nurdsitcieta,rsss,nurd,,sit_ci_eta,nurdsitcieta,control,s,1.0,0,c,t,nurdsittieta,0
negisticate,nogisticate,rsss,neg,,ist_ic_ate,negisticate,target,r,,1,e,o,nogisticate,1
ednurdlazitanoi,adnurdlazitanoi,prssss,nurd,ed,la_zi_ta_noi,ednurdlazitanoi,control,p,0.0,0,e,a,adnurdlazitanoi,1
