first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
inconiousmess,inconiousness,pprss,con,in,ious_ness,inconiousness,target,s,1.0,0,n,m,inconiousmess,3,13
nurdro,murdro,rs,nurd,,ro,nurdro,control,r,,0,n,m,murdro,1,6
clat,hlat,r,clat,,,clat,target,r,,0,c,h,hlat,1,4
keammentalism,keammentalism,rsss,keam,,ment_al_ism,keammentalism,target,s,2.0,2,m,r,keammentalisr,0,13
unwondolable,unwondelable,prs_long,wondel,un,able,unwondelable,target,r,,4,e,o,unwondolable,3,12
nuydtaonilasit,nurdtaonilasit,rssss,nurd,,ta_oni_la_sit,nurdtaonilasit,control,r,,2,r,y,nuydtaonilasit,3,14
pregirtically,pregirtically,prsss,girt,pre,ic_al_ly,pregirtically,target,r,,1,i,a,pregartically,0,13
yisidmofoni,nisidmofoni,pprs,mof,ni_sid,oni,nisidmofoni,control,p,0.0,0,n,y,yisidmofoni,3,11
ungrasiously,ungrasiously,prss,gras,un,ious_ly,ungrasiously,target,r,,3,s,h,ungrahiously,0,12
tomalize,tomalize,rss,fom,,al_ize,fomalize,target,r,,0,f,t,tomalize,2,8
dojianelba,dojianelbo,rs_long,dojian,,elba,dojianelba,control,s,0.0,3,a,o,dojianelbo,1,10
ruvonoc,revonoc,pr,noc,revo,,revonoc,control,p,0.0,1,e,u,ruvonoc,3,7
ninoceto,ninoceta,prs,noc,ni,eta,ninoceta,control,s,0.0,2,a,o,ninoceto,3,8
dekelsationolism,dekelsationolism,prssss,kels,de,at_ion_al_ism,dekelsationalism,target,s,2.0,0,a,o,dekelsationolism,2,16
flennar,flennar,r_long,flenner,,,flenner,target,r,,5,e,a,flennar,2,7
sidmenac,sidmenuc,ppr,nuc,sid_me,,sidmenuc,control,r,,1,u,a,sidmenac,3,8
otukaflon,otukaflom,pr_long,kaflom,otu,,otukaflom,control,r,,5,m,n,otukaflon,3,9
nikeatsitcilayl,nukeatsitcilayl,prssss,keat,nu,sit_ci_la_yl,nukeatsitcilayl,control,p,0.0,1,u,i,nikeatsitcilayl,3,15
tehulf,tehulf,rs,tec,,ulf,teculf,control,r,,2,c,h,tehulf,2,6
untauniously,untauniouslr,prss,taun,un,ious_ly,untauniously,target,s,1.0,1,y,r,untauniouslr,1,12
mossitcilayl,mofsitcilayl,rssss,mof,,sit_ci_la_yl,mofsitcilayl,control,r,,2,f,s,mossitcilayl,3,12
gey,gey,r,gen,,,gen,control,r,,2,n,y,gey,2,3
tennemtlasim,tennemtlasim,rsss,gen,,nemt_la_sim,gennemtlasim,control,r,,0,g,t,tennemtlasim,2,12
outjadolin,ousjadolin,pr_long,jadolin,out,,outjadolin,target,p,0.0,2,t,s,ousjadolin,1,10
disnarptorion,disnarptorion,prs_long,namptor,dis,ion,disnamptorion,target,r,,2,m,r,disnarptorion,2,13
soommental,soommental,rss,soom,,ment_al,soommental,target,r,,2,o,i,soimmental,0,10
inutek,irutek,pr,tek,inu,,inutek,control,p,0.0,1,n,r,irutek,1,6
unketically,onketically,prsss,ket,un,ic_al_ly,unketically,target,p,0.0,0,u,o,onketically,1,11
carizonious,carizonious,rs_long,carizor,,ious,carizorious,target,r,,6,r,n,carizonious,2,11
reoutteer,reoutteer,ppr,teer,re_out,,reoutteer,target,p,1.0,0,o,e,reeutteer,0,9
sidnipookouissens,sidnipookouissens,pprss,pook,sid_ni,ouis_sens,sidnipookouissens,control,r,,3,k,p,sidnipoopouissens,0,17
nirgov,nirgov,r_long,nirgov,,,nirgov,control,r,,3,g,h,nirhov,0,6
incontote,incontate,prs,cont,in,ate,incontate,target,s,0.0,0,a,o,incontote,3,9
indesgeefion,indesgeefion,pprs,geef,in_dis,ion,indisgeefion,target,p,1.0,1,i,e,indesgeefion,2,12
nitomcelba,nitomcelba,prs,tonc,ni,elba,nitoncelba,control,r,,2,n,m,nitomcelba,2,10
disslethon,disslithon,pr_long,slithon,dis,,disslithon,target,r,,2,i,e,disslethon,3,10
simnetorkoni,simnetorkoni,prs_long,netork,sim,oni,simnetorkoni,control,r,,4,r,y,simnetoykoni,0,12
cunir,cunor,rs,cun,,or,cunor,target,s,0.0,0,o,i,cunir,3,5
nulouklasitci,nulouklasitci,prsss,louk,nu,la_sit_ci,nulouklasitci,control,p,0.0,1,u,e,nelouklasitci,0,13
drelint,drelinb,r_long,drelint,,,drelint,control,r,,6,t,b,drelinb,1,7
edremtaonialsin,edremtaonialsim,prssss,rem,ed,ta_oni_al_sim,edremtaonialsim,control,s,3.0,2,m,n,edremtaonialsin,3,15
oufkrewenly,oufkrewenly,prss,krew,out,en_ly,outkrewenly,target,p,0.0,2,t,f,oufkrewenly,2,11
trigtaonilaml,trigtaonilaml,rssss,trig,,ta_oni_la_yl,trigtaonilayl,control,s,3.0,0,y,m,trigtaonilaml,2,13
cont,comt,r,cont,,,cont,target,r,,2,n,m,comt,1,4
inteakionary,inteakionary,pprss,teak,in,ion_ary,inteakionary,target,s,1.0,2,y,r,inteakionarr,0,12
ermitedelba,ermitekelba,pprs,tek,er_mi,elba,ermitekelba,control,r,,2,k,d,ermitedelba,3,11
unidarf,unigarf,pr,darf,uni,,unidarf,target,r,,0,d,g,unigarf,1,7
feegrazei,feeglazei,rss,feeg,,la_zei,feeglazei,control,s,0.0,0,l,r,feegrazei,3,9
nocnemtlasim,nocnemtlasim,rsss,noc,,nemt_la_sim,nocnemtlasim,control,r,,2,c,k,noknemtlasim,0,12
