first,second,condition,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
nideegeta,yideegeta,prs,deeg,ni,eta,nideegeta,control,p,0.0,0,n,y,yideegeta,1
ermideegelba,ermidoegelba,pprs,deeg,er_mi,elba,ermideegelba,control,r,,1,e,o,ermidoegelba,1
moosnemtlasim,moosnemtnasim,rsss,moos,,nemt_la_sim,moosnemtlasim,control,s,1.0,0,l,n,moosnemtnasim,1
mearlasitciyl,mearlasitciyl,rssss,mear,,la_sit_ci_yl,mearlasitciyl,control,s,1.0,0,s,t,mearlatitciyl,0
onnmearcilayl,onnmearcilayl,prsss,mear,onn,ci_la_yl,onnmearcilayl,control,s,0.0,1,i,o,onnmearcolayl,0
deteakalization,deteakamization,prssss,teak,de,al_iz_at_ion,deteakalization,target,s,0.0,1,l,m,deteakamization,1
marnaitola,marnaitola,rss,mar,,naito_la,marnaitola,control,s,1.0,0,l,r,marnaitora,0
premiskrew,cremiskrew,ppr,krew,pre_mis,,premiskrew,target,p,0.0,0,p,c,cremiskrew,1
nuwerksitcilayl,nuwerksitcilayl,prssss,werk,nu,sit_ci_la_yl,nuwerksitcilayl,control,p,0.0,1,u,a,nawerksitcilayl,0
redecet,resecet,ppr,cet,re_de,,redecet,target,p,1.0,0,d,s,resecet,1
disinlienionary,ditinlienionary,pprss,lien,dis_in,ion_ary,disinlienionary,target,p,0.0,2,s,t,ditinlienionary,1
onnermofviyti,onnirmofviyti,pprss,mof,onn_er,vi_yti,onnermofviyti,control,p,1.0,0,e,i,onnirmofviyti,1
reimglocment,reimglocment,pprs,gloc,re_im,ment,reimglocment,target,p,0.0,0,r,l,leimglocment,0
bussiw,busdiw,pr,siw,bus,,bussiw,control,r,,0,s,d,busdiw,1
belsationally,belsationolly,rssss,bels,,at_ion_al_ly,belsationally,target,s,2.0,0,a,o,belsationolly,1
geed,gees,r,geed,,,geed,target,r,,3,d,s,gees,1
girtical,girtical,rss,girt,,ic_al,girtical,target,s,1.0,0,a,o,girticol,0
glocalistic,glopalistic,rsss,gloc,,al_ist_ic,glocalistic,target,r,,3,c,p,glopalistic,1
unmeerful,uwmeerful,prs,meer,un,ful,unmeerful,target,p,0.0,1,n,w,uwmeerful,1
nontrupal,nontrupal,prs,trup,non,al,nontrupal,target,r,,1,r,m,nontmupal,0
romsitcieta,romsitcieta,rsss,rom,,sit_ci_eta,romsitcieta,control,r,,2,m,y,roysitcieta,0
nusimloukbaly,rusimloukbaly,pprss,louk,nu_sim,bal_y,nusimloukbaly,control,p,0.0,0,n,r,rusimloukbaly,1
repontiveness,repondiveness,prss,pont,re,ive_ness,repontiveness,target,r,,3,t,d,repondiveness,1
reimpontable,reimpontable,pprs,pont,re_im,able,reimpontable,target,p,0.0,0,r,w,weimpontable,0
wisical,wisical,rss,wis,,ic_al,wisical,target,r,,1,i,e,wesical,0
edpurtvitaino,edportvitaino,prsss,purt,ed,vi_ta_ino,edpurtvitaino,control,r,,1,u,o,edportvitaino,1
unbodally,uybodally,prss,bod,un,al_ly,unbodally,target,p,0.0,1,n,y,uybodally,1
