first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
piszicerelful,piszicerelful,prs_long,zicerel,dis,ful,diszicerelful,target,p,0.0,0,d,p,piszicerelful,2,13
tonp,tonp,r,tonc,,,tonc,control,r,,3,c,p,tonp,2,4
trogrivon,trogrivon,pr_long,grivon,pro,,progrivon,target,p,0.0,0,p,t,trogrivon,2,9
roinket,roinket,ppr,ket,re_in,,reinket,target,p,0.0,1,e,o,roinket,2,7
inlieniously,inlieniously,pprss,lien,in,ious_ly,inlieniously,target,p,0.0,1,n,w,iwlieniously,0,12
neiltaonilayl,neiltaonilayl,rssss,neil,,ta_oni_la_yl,neiltaonilayl,control,s,3.0,1,l,w,neiltaonilayw,0,13
wesalism,wisalism,rss,wis,,al_ism,wisalism,target,r,,1,i,e,wesalism,3,8
mooselca,moosenca,rs,moos,,enca,moosenca,control,s,0.0,1,n,l,mooselca,3,8
sidnitacnat,sidnitecnat,pprs,tec,sid_ni,nat,sidnitecnat,control,r,,1,e,a,sidnitacnat,3,11
busrouk,busrouk,pr,louk,bus,,buslouk,control,r,,0,l,r,busrouk,2,7
abgeefally,abgeefally,prss,geef,ab,al_ly,abgeefally,target,r,,3,f,h,abgeehally,0,10
infomivation,unfomivation,prsss,fom,in,iv_at_ion,infomivation,target,p,0.0,0,i,u,unfomivation,1,12
glifen,glifen,r_long,glefen,,,glefen,target,r,,2,e,i,glifen,2,6
darfmentalism,darfmentalism,rsss,darf,,ment_al_ism,darfmentalism,target,s,2.0,2,m,r,darfmentalisr,0,13
unmerationally,onmerationally,prssss,mer,un,at_ion_al_ly,unmerationally,target,p,0.0,0,u,o,onmerationally,1,14
rolticknemt,rolticknemt,rs_long,roltick,,nemt,rolticknemt,control,s,0.0,2,m,w,rolticknewt,0,11
misclatment,migclatment,prs,clat,mis,ment,misclatment,target,p,0.0,2,s,g,migclatment,1,11
niselkevisens,niselkevisens,prss,selk,ni,evi_sens,niselkevisens,control,r,,0,s,v,nivelkevisens,0,13
unjadoliniaus,unjadoliniaus,prs_long,jadolin,un,ious,unjadolinious,target,s,0.0,1,o,a,unjadoliniaus,2,13
orsidsarg,orsidsarg,ppr,sarg,er_sid,,ersidsarg,control,p,0.0,0,e,o,orsidsarg,2,9
krotenment,krotenment,rs_long,kroten,,ment,krotenment,target,r,,4,e,i,krotinment,0,10
tonctaonilasil,tonctaonilasil,rssss,tonc,,ta_oni_la_sim,tonctaonilasim,control,s,3.0,2,m,l,tonctaonilasil,2,14
merically,merically,rsss,mer,,ic_al_ly,merically,target,s,1.0,1,l,m,mericamly,0,9
eredneiwnemt,eredneiwnemt,pprs,neil,er_ed,nemt,eredneilnemt,control,r,,3,l,w,eredneiwnemt,2,12
sodnitoncouisyl,sidnitoncouisyl,pprss,tonc,sid_ni,ouis_yl,sidnitoncouisyl,control,p,0.0,1,i,o,sodnitoncouisyl,3,15
uncunically,uncanically,prsss,cun,un,ic_al_ly,uncunically,target,r,,1,u,a,uncanically,1,11
grasince,grasince,rs,gras,,ance,grasance,target,s,0.0,0,a,i,grasince,2,8
krotin,kroten,r_long,kroten,,,kroten,target,r,,4,e,i,krotin,3,6
lilouk,nilouk,pr,louk,ni,,nilouk,control,p,0.0,0,n,l,lilouk,3,6
simbofyemt,simbofyemt,prs,bof,sim,nemt,simbofnemt,control,s,0.0,0,n,y,simbofyemt,2,10
edremlazitaoni,edremlapitaoni,prssss,rem,ed,la_zi_ta_oni,edremlazitaoni,control,s,1.0,0,z,p,edremlapitaoni,1,14
misglefen,misglefen,pr_long,glefen,mis,,misglefen,target,p,0.0,0,m,r,risglefen,0,9
feeg,foeg,r,feeg,,,feeg,control,r,,1,e,o,foeg,1,4
nurdlasat,nurdlasit,rss,nurd,,la_sit,nurdlasit,control,s,1.0,1,i,a,nurdlasat,3,9
subwis,subwis,pr,wis,sub,,subwis,target,r,,2,s,c,subwic,0,6
cleriez,cleriez,r_long,cleriez,,,cleriez,control,r,,2,e,o,cloriez,0,7
lienationalist,lienationalist,rssss,lien,,at_ion_al_ist,lienationalist,target,s,3.0,1,s,t,lienationalitt,0,14
colgci,colgci,rs,colg,,ci,colgci,control,s,0.0,0,c,s,colgsi,0,6
baselklayit,baselkwayit,prss,selk,ba,la_yit,baselklayit,control,s,0.0,0,l,w,baselkwayit,1,11
edsiwtaonialsim,edsiwtaonialsim,prssss,siw,ed,ta_oni_al_sim,edsiwtaonialsim,control,p,0.0,0,e,i,idsiwtaonialsim,0,15
redeclatment,redeclatment,pprs,clat,re_de,ment,redeclatment,target,p,1.0,0,d,s,reseclatment,0,12
sidmekeut,sidmekeut,ppr,keat,sid_me,,sidmekeat,control,r,,2,a,u,sidmekeut,2,9
miselkoli,miselkoni,prs,selk,mi,oni,miselkoni,control,s,0.0,1,n,l,miselkoli,3,9
talgcilayl,talccilayl,rsss,talc,,ci_la_yl,talccilayl,control,r,,3,c,g,talgcilayl,3,10
nunuccilarl,nunuccilayl,prsss,nuc,nu,ci_la_yl,nunuccilayl,control,s,2.0,0,y,r,nunuccilarl,3,11
refobicity,refobivity,pprss,fob,re,iv_ity,refobivity,target,s,0.0,1,v,c,refobicity,3,10
liem,liem,r,lien,,,lien,target,r,,3,n,m,liem,2,4
inudojian,inudojian,pr_long,dojian,inu,,inudojian,control,r,,5,n,m,inudojiam,0,9
sidrolteckulf,sidroltickulf,prs_long,roltick,sid,ulf,sidroltickulf,control,r,,4,i,e,sidrolteckulf,3,13
tniglayl,triglayl,rss,trig,,la_yl,triglayl,control,r,,1,r,n,tniglayl,3,8
nearozence,nearozence,rs_long,nearoz,,enca,nearozenca,control,s,0.0,3,a,e,nearozence,2,10
cun,fun,r,cun,,,cun,target,r,,0,c,f,fun,1,3
purieb,puriek,pr,riek,pu,,puriek,control,r,,3,k,b,purieb,3,6
flenitance,flenitanbe,rs_long,flenit,,ance,flenitance,target,s,0.0,2,c,b,flenitanbe,1,10
meroc,meroc,rs,mer,,ic,meric,target,s,0.0,0,i,o,meroc,2,5
defabalization,defobalization,prssss,fob,de,al_iz_at_ion,defobalization,target,r,,1,o,a,defabalization,3,14
nimafvetaoni,nimafvitaoni,prsss,maf,ni,vi_ta_oni,nimafvitaoni,control,s,0.0,1,i,e,nimafvetaoni,3,12
ungrovonable,ungrivonable,prs_long,grivon,un,able,ungrivonable,target,r,,2,i,o,ungrovonable,3,12
sisinfomant,sisinfomant,pprs,fom,dis_in,ant,disinfomant,target,p,0.0,0,d,s,sisinfomant,2,11
intauniveness,intauniveness,prss,taun,in,ive_ness,intauniveness,target,r,,0,t,f,infauniveness,0,13
drunationalism,frunationalism,rssss,drun,,at_ion_al_ism,drunationalism,target,r,,0,d,f,frunationalism,1,14
lelent,lejent,r_long,lejent,,,lejent,control,r,,2,j,l,lelent,3,6
intlocion,inglocion,prs,gloc,in,ion,inglocion,target,r,,0,g,t,intlocion,3,9
redistaun,redistaun,ppr,taun,re_dis,,redistaun,target,p,1.0,2,s,p,rediptaun,0,9
genlusim,genlasim,rss,gen,,la_sim,genlasim,control,s,0.0,1,a,u,genlusim,3,8
orfnerfeln,orpnerfeln,pr_long,nerfeln,orp,,orpnerfeln,control,p,0.0,2,p,f,orfnerfeln,3,10
sidnifeegiuissens,sidnifeegiuissens,pprss,feeg,sid_ni,ouis_sens,sidnifeegouissens,control,s,0.0,0,o,i,sidnifeegiuissens,2,17
loukcilayl,loukcilayl,rsss,louk,,ci_la_yl,loukcilayl,control,s,1.0,0,l,w,loukciwayl,0,10
trilock,trilock,r_long,trilock,,,trilock,target,r,,0,t,d,drilock,0,7
simcleriez,silcleriez,pr_long,cleriez,sim,,simcleriez,control,p,0.0,2,m,l,silcleriez,1,10
batalclayl,batalclayl,prss,talc,ba,la_yl,batalclayl,control,r,,3,c,t,bataltlayl,0,10
zoreanment,zoreanment,rs_long,zorean,,ment,zoreanment,target,s,0.0,3,t,s,zoreanmens,0,10
disemcom,disemfom,ppr,fom,dis_em,,disemfom,target,r,,0,f,c,disemcom,3,8
drunly,drunly,rs,drun,,ly,drunly,target,r,,1,r,y,dyunly,0,6
onnertalcviyit,onnertalcvayit,pprss,talc,onn_er,vi_yit,onnertalcviyit,control,s,0.0,1,i,a,onnertalcvayit,1,14
digrasationalism,degrasationalism,prssss,gras,de,at_ion_al_ism,degrasationalism,target,p,0.0,1,e,i,digrasationalism,3,16
hlocically,glocically,rsss,gloc,,ic_al_ly,glocically,target,r,,0,g,h,hlocically,3,10
disinnurtart,disinnurtant,pprs,nurt,dis_in,ant,disinnurtant,target,s,0.0,1,n,r,disinnurtart,3,12
nudojianison,nudejianison,prs_long,dojian,nu,ison,nudojianison,control,r,,1,o,e,nudejianison,1,12
untaunational,untaunational,prsss,taun,un,at_ion_al,untaunational,target,p,0.0,0,u,e,entaunational,0,13
inkrew,onkrew,pr,krew,in,,inkrew,target,p,0.0,0,i,o,onkrew,1,6
calgtaonilasit,calgtaonilasit,rssss,colg,,ta_oni_la_sit,colgtaonilasit,control,r,,1,o,a,calgtaonilasit,2,14
koulally,koulallm,rss,koul,,al_ly,koulally,target,s,1.0,1,y,m,koulallm,1,8
encunable,encunable,prs,cun,un,able,uncunable,target,p,0.0,0,u,e,encunable,2,9
tec,toc,r,tec,,,tec,control,r,,1,e,o,toc,1,3
kmew,kmew,r,krew,,,krew,target,r,,1,r,m,kmew,2,4
sonjernemt,sonjernemt,rs_long,tonjer,,nemt,tonjernemt,control,r,,0,t,s,sonjernemt,2,10
nunucelba,nenucelba,prs,nuc,nu,elba,nunucelba,control,p,0.0,1,u,e,nenucelba,1,9
nudojianelba,nudojianelba,prs_long,dojian,nu,elba,nudojianelba,control,p,0.0,1,u,o,nodojianelba,0,12
nukeattaonilayl,nukeahtaonilayl,prssss,keat,nu,ta_oni_la_yl,nukeattaonilayl,control,r,,3,t,h,nukeahtaonilayl,1,15
glocationally,glocationally,rssss,gloc,,at_ion_al_ly,glocationally,target,r,,2,o,u,glucationally,0,13
ennegiousness,ennegiousness,pprss,neg,in,ious_ness,innegiousness,target,p,0.0,0,i,e,ennegiousness,2,13
glasalist,grasalist,rss,gras,,al_ist,grasalist,target,r,,1,r,l,glasalist,3,9
ernitalc,ernitamc,ppr,talc,er_ni,,ernitalc,control,r,,2,l,m,ernitamc,1,8
nefelg,nefelg,r_long,nefelg,,,nefelg,control,r,,2,f,s,neselg,0,6
keatnemtlasim,keatnumtlasim,rsss,keat,,nemt_la_sim,keatnemtlasim,control,s,0.0,1,e,u,keatnumtlasim,1,13
nuwerktaonilo,nuwerktaonila,prsss,werk,nu,ta_oni_la,nuwerktaonila,control,s,2.0,1,a,o,nuwerktaonilo,3,13
uniculoris,umiculoris,pr_long,culoris,uni,,uniculoris,target,p,0.0,1,n,m,umiculoris,1,10
sidnimofnat,sidnimofnat,pprs,mof,sid_ni,nat,sidnimofnat,control,r,,0,m,y,sidniyofnat,0,11
nocyl,nicyl,rs,noc,,yl,nocyl,control,r,,1,o,i,nicyl,1,5
abgirtility,abgirtality,prss,girt,ab,al_ity,abgirtality,target,s,0.0,0,a,i,abgirtility,3,11
apkeam,apkeam,pr,keam,up,,upkeam,target,p,0.0,0,u,a,apkeam,2,6
