first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
purtiously,purtiously,rss,purt,,ious_ly,purtiously,target,r,,3,t,g,purgiously,0,10
remiskeirment,remisseirment,pprs,keir,re_mis,ment,remiskeirment,target,r,,0,k,s,remisseirment,1,13
jadolinious,ladolinious,rs_long,jadolin,,ious,jadolinious,target,r,,0,j,l,ladolinious,1,11
distrilockful,distrilockful,prs_long,trilock,dis,ful,distrilockful,target,s,0.0,0,f,t,distrilocktul,0,13
nuloukouissens,nuliukouissens,prss,louk,nu,ouis_sens,nuloukouissens,control,r,,1,o,i,nuliukouissens,1,14
inpookionally,inpookionally,prsss,pook,in,ion_al_ly,inpookionally,target,s,0.0,1,o,i,inpookiinally,0,13
prekoulically,prekoulically,prsss,koul,pre,ic_al_ly,prekoulically,target,r,,3,l,r,prekourically,0,13
glocalistic,gmocalistic,rsss,gloc,,al_ist_ic,glocalistic,target,r,,1,l,m,gmocalistic,1,11
skrupit,skrupot,r_long,skrupit,,,skrupit,target,r,,5,i,o,skrupot,1,7
inglocively,inglocivelr,prss,gloc,in,ive_ly,inglocively,target,s,1.0,1,y,r,inglocivelr,1,11
otutirvin,otutirvin,pr_long,tirvin,otu,,otutirvin,control,p,0.0,0,o,i,itutirvin,0,9
remlazei,remlazee,rss,rem,,la_zei,remlazei,control,s,1.0,2,i,e,remlazee,1,8
remisfom,memisfom,ppr,fom,re_mis,,remisfom,target,p,0.0,0,r,m,memisfom,1,8
unkoulical,unkoulicar,prss,koul,un,ic_al,unkoulical,target,s,1.0,1,l,r,unkoulicar,1,10
cetate,cetati,rs,cet,,ate,cetate,target,s,0.0,2,e,i,cetati,1,6
disteak,disteak,pr,teak,dis,,disteak,target,r,,3,k,h,disteah,0,7
marlasitci,marlasitci,rsss,mar,,la_sit_ci,marlasitci,control,r,,0,m,l,larlasitci,0,10
niselbonilayl,niselbonilayl,prsss,selb,ni,oni_la_yl,niselbonilayl,control,p,0.0,0,n,l,liselbonilayl,0,13
defom,defom,pr,fom,de,,defom,target,r,,0,f,d,dedom,0,5
geefmentally,geefmentally,rsss,geef,,ment_al_ly,geefmentally,target,r,,3,f,p,geepmentally,0,12
reimketable,reimketable,pprs,ket,re_im,able,reimketable,target,s,0.0,3,e,o,reimketablo,0,11
sidnigenoni,sidnizenoni,pprs,gen,sid_ni,oni,sidnigenoni,control,r,,0,g,z,sidnizenoni,1,11
nimofeviyl,nimofeviyl,prss,mof,ni,evi_yl,nimofeviyl,control,r,,0,m,l,nilofeviyl,0,10
ermitalcelba,ermitelcelba,pprs,talc,er_mi,elba,ermitalcelba,control,r,,1,a,e,ermitelcelba,1,12
ersimsarp,ersimsarp,ppr,sarp,er_sim,,ersimsarp,control,r,,1,a,e,ersimserp,0,9
trivin,trigin,r_long,trivin,,,trivin,target,r,,3,v,g,trigin,1,6
nearoz,noaroz,r_long,nearoz,,,nearoz,control,r,,1,e,o,noaroz,1,6
trigsitcilayl,trigpitcilayl,rssss,trig,,sit_ci_la_yl,trigsitcilayl,control,s,0.0,0,s,p,trigpitcilayl,1,13
