first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
wis,mis,r,wis,,,wis,target,r,,0,w,m,mis,1,3
glocateonally,glocateonally,rssss,gloc,,at_ion_al_ly,glocationally,target,s,1.0,0,i,e,glocateonally,2,13
sisclerieznemt,sidclerieznemt,prs_long,cleriez,sid,nemt,sidclerieznemt,control,p,0.0,2,d,s,sisclerieznemt,3,14
reinkremable,reinkremable,pprs,krew,re_in,able,reinkrewable,target,r,,3,w,m,reinkremable,2,12
edteczitaoni,edteczitaoni,prsss,tec,ed,zi_ta_oni,edteczitaoni,control,p,0.0,1,d,h,ehteczitaoni,0,12
innuytiously,innurtiously,pprss,nurt,in,ious_ly,innurtiously,target,r,,2,r,y,innuytiously,3,12
misskrupit,misskrupot,pr_long,skrupit,mis,,misskrupit,target,r,,5,i,o,misskrupot,1,10
sidsamgnemt,sidsargnemt,prs,sarg,sid,nemt,sidsargnemt,control,r,,2,r,m,sidsamgnemt,3,11
sargyl,sargyl,rs,sarg,,yl,sargyl,control,r,,2,r,m,samgyl,0,6
uncetarly,uncetally,prss,cet,un,al_ly,uncetally,target,s,0.0,1,l,r,uncetarly,3,9
nuccila,nuccila,rss,nuc,,ci_la,nuccila,control,s,1.0,0,l,y,nucciya,0,7
tuskripsels,tuskripsels,rs_long,tuskrip,,sels,tuskripsels,control,s,0.0,3,s,c,tuskripselc,0,11
nirgov,nirgov,r_long,nirgov,,,nirgov,control,r,,2,r,m,nimgov,0,6
ongeefistically,ongeefistically,prssss,geef,un,ist_ic_al_ly,ungeefistically,target,p,0.0,0,u,o,ongeefistically,2,15
ersidbof,emsidbof,ppr,bof,er_sid,,ersidbof,control,p,0.0,1,r,m,emsidbof,1,8
krowalistic,krowalistic,rsss,krew,,al_ist_ic,krewalistic,target,r,,2,e,o,krowalistic,2,11
detaun,detaul,pr,taun,de,,detaun,target,r,,3,n,l,detaul,1,6
reoverket,reoverket,ppr,ket,re_over,,reoverket,target,r,,2,t,h,reoverkeh,0,9
neiltan,neilton,rs,neil,,tan,neiltan,control,s,0.0,1,a,o,neilton,1,7
jentelless,jentelless,rs_long,jentel,,less,jentelless,target,s,0.0,2,s,t,jentellets,0,10
blomak,flomak,r_long,flomak,,,flomak,target,r,,0,f,b,blomak,3,6
rekeir,rekair,pr,keir,re,,rekeir,target,r,,1,e,a,rekair,1,6
feegnertlayl,feegnemtlayl,rsss,feeg,,nemt_la_yl,feegnemtlayl,control,s,0.0,2,m,r,feegnertlayl,3,12
reconiheness,reconiveness,prss,con,re,ive_ness,reconiveness,target,s,0.0,1,v,h,reconiheness,3,12
decontization,decontization,prsss,cont,de,iz_at_ion,decontization,target,r,,3,t,c,deconcization,0,13
diswondelmenp,diswondelmenp,prs_long,wondel,dis,ment,diswondelment,target,s,0.0,3,t,p,diswondelmenp,2,13
naneiltasitciyl,nuneiltasitciyl,prssss,neil,nu,ta_sit_ci_yl,nuneiltasitciyl,control,p,0.0,1,u,a,naneiltasitciyl,3,15
talctaonilasit,talctaonilasit,rssss,talc,,ta_oni_la_sit,talctaonilasit,control,s,2.0,1,a,u,talctaonilusit,0,14
erehlouknemt,erehlouknemt,pprs,louk,er_ed,nemt,eredlouknemt,control,p,1.0,1,d,h,erehlouknemt,2,12
teer,teer,r,teer,,,teer,target,r,,2,e,i,teir,0,4
teirability,keirability,rss,keir,,abil_ity,keirability,target,r,,0,k,t,teirability,3,11
orpkaflom,orpkaflom,pr_long,kaflom,orp,,orpkaflom,control,p,0.0,1,r,m,ompkaflom,0,9
diskoulmens,diskoulment,prs,koul,dis,ment,diskoulment,target,s,0.0,3,t,s,diskoulmens,3,11
relienivity,lelienivity,pprss,lien,re,iv_ity,relienivity,target,p,0.0,0,r,l,lelienivity,1,11
innartivation,innartivation,prsss,nurt,in,iv_at_ion,innurtivation,target,r,,1,u,a,innartivation,2,13
reinwisanci,reinwisance,pprs,wis,re_in,ance,reinwisance,target,s,0.0,3,e,i,reinwisanci,3,11
clatally,clatally,rss,clat,,al_ly,clatally,target,s,1.0,1,y,w,clatallw,0,8
ketmentalry,ketmentalry,rsss,ket,,ment_al_ly,ketmentally,target,s,2.0,0,l,r,ketmentalry,2,11
ketalisticly,kitalisticly,rssss,ket,,al_ist_ic_ly,ketalisticly,target,r,,1,e,i,kitalisticly,1,12
tonc,tonc,r,tonc,,,tonc,control,r,,2,n,m,tomc,0,4
simnetark,simnetork,pr_long,netork,sim,,simnetork,control,r,,3,o,a,simnetark,3,9
ehriek,edriek,pr,riek,ed,,edriek,control,p,0.0,1,d,h,ehriek,3,6
trilockless,trilockless,rs_long,trilock,,less,trilockless,target,s,0.0,0,l,r,trilockress,0,11
ziterel,zicerel,r_long,zicerel,,,zicerel,target,r,,2,c,t,ziterel,3,7
rekersable,rekelsable,prs,kels,re,able,rekelsable,target,r,,2,l,r,rekersable,3,10
premisfom,tremisfom,ppr,fom,pre_mis,,premisfom,target,p,0.0,0,p,t,tremisfom,1,9
rekeirivenehs,rekeirivenehs,prss,keir,re,ive_ness,rekeiriveness,target,s,1.0,2,s,h,rekeirivenehs,2,13
simflientiru,simflientoru,prs_long,flient,sim,oru,simflientoru,control,s,0.0,0,o,i,simflientiru,3,12
remeyivity,remerivity,pprss,mer,re,iv_ity,remerivity,target,r,,2,r,y,remeyivity,3,10
delienationalism,delienationalism,prssss,lien,de,at_ion_al_ism,delienationalism,target,p,0.0,0,d,s,selienationalism,0,16
kersic,kersic,rs,kels,,ic,kelsic,target,r,,2,l,r,kersic,2,6
ermisargelba,ermisorgelba,pprs,sarg,er_mi,elba,ermisargelba,control,r,,1,a,o,ermisorgelba,1,12
mafnemtlayl,wafnemtlayl,rsss,maf,,nemt_la_yl,mafnemtlayl,control,r,,0,m,w,wafnemtlayl,1,11
unmerable,unmerable,prs,mer,un,able,unmerable,target,p,0.0,1,n,r,urmerable,0,9
nurtationalist,nurtationalist,rssss,nurt,,at_ion_al_ist,nurtationalist,target,s,3.0,0,i,a,nurtationalast,0,14
meflayl,meflayl,rss,mof,,la_yl,moflayl,control,r,,1,o,e,meflayl,2,7
redisgeef,redisgeef,ppr,geef,re_dis,,redisgeef,target,r,,0,g,s,redisseef,0,9
genci,genci,rs,gen,,ci,genci,control,r,,2,n,r,gerci,0,5
unteeralihticly,unteeralihticly,prssss,teer,un,al_ist_ic_ly,unteeralisticly,target,s,1.0,1,s,h,unteeralihticly,2,15
arremevisens,arremevisens,prss,rem,er,evi_sens,erremevisens,control,p,0.0,0,e,a,arremevisens,2,12
siddojian,siddejian,pr_long,dojian,sid,,siddojian,control,r,,1,o,e,siddejian,1,9
revoselk,revosemk,pr,selk,revo,,revoselk,control,r,,2,l,m,revosemk,1,8
lem,lem,r,rem,,,rem,control,r,,0,r,l,lem,2,3
miszicerolour,miszicerolour,prs_long,zicerel,mis,our,miszicerelour,target,r,,5,e,o,miszicerolour,2,13
mifradcilayl,mifrafcilayl,prsss,frad,mi,ci_la_yl,mifradcilayl,control,r,,3,d,f,mifrafcilayl,1,12
flenneyious,flennerious,rs_long,flenner,,ious,flennerious,target,r,,6,r,y,flenneyious,3,11
trivin,trivin,r_long,trivin,,,trivin,target,r,,5,n,l,trivil,0,6
tidninautouisyl,sidninautouisyl,pprss,naut,sid_ni,ouis_yl,sidninautouisyl,control,p,0.0,0,s,t,tidninautouisyl,3,15
diszicerel,diszicerel,pr_long,zicerel,dis,,diszicerel,target,p,0.0,1,i,a,daszicerel,0,10
nonucvitaoni,ninucvitaoni,prsss,nuc,ni,vi_ta_oni,ninucvitaoni,control,p,0.0,1,i,o,nonucvitaoni,3,12
mermentallr,mermentally,rsss,mer,,ment_al_ly,mermentally,target,s,2.0,1,y,r,mermentallr,3,11
untrivinness,untrivinress,prs_long,trivin,un,ness,untrivinness,target,s,0.0,0,n,r,untrivinress,1,12
ketry,ketry,rs,ket,,ly,ketly,target,s,0.0,0,l,r,ketry,2,5
roparntsels,moparntsels,rs_long,moparnt,,sels,moparntsels,control,r,,0,m,r,roparntsels,3,11
nonucsitcilayl,nunucsitcilayl,prssss,nuc,nu,sit_ci_la_yl,nunucsitcilayl,control,p,0.0,1,u,o,nonucsitcilayl,3,14
ernecelba,ernocelba,prs,noc,er,elba,ernocelba,control,r,,1,o,e,ernecelba,3,9
clemiez,cleriez,r_long,cleriez,,,cleriez,control,r,,3,r,m,clemiez,3,7
taunicil,taunical,rss,taun,,ic_al,taunical,target,s,1.0,0,a,i,taunicil,3,8
ertrig,ertrig,pr,trig,er,,ertrig,control,p,0.0,0,e,o,ortrig,0,6
feeglasitciyl,peeglasitciyl,rssss,feeg,,la_sit_ci_yl,feeglasitciyl,control,r,,0,f,p,peeglasitciyl,1,13
nuneillayl,muneillayl,prss,neil,nu,la_yl,nuneillayl,control,p,0.0,0,n,m,muneillayl,1,10
nuc,nuc,r,nuc,,,nuc,control,r,,2,c,d,nud,0,3
