first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
pookistic,pookistac,rss,pook,,ist_ic,pookistic,target,s,1.0,0,i,a,pookistac,1,9
depurtization,depurtization,prsss,purt,de,iz_at_ion,depurtization,target,r,,0,p,s,desurtization,0,13
sidnikeatouisyl,sidnikeatouisml,pprss,keat,sid_ni,ouis_yl,sidnikeatouisyl,control,s,1.0,0,y,m,sidnikeatouisml,1,15
inulosipur,inulosipur,pr_long,losipur,inu,,inulosipur,control,r,,4,p,b,inulosibur,0,10
degeefalization,degeefalization,prssss,geef,de,al_iz_at_ion,degeefalization,target,p,0.0,0,d,g,gegeefalization,0,15
nuc,nut,r,nuc,,,nuc,control,r,,2,c,t,nut,1,3
meeriousness,meeriousress,rss,meer,,ious_ness,meeriousness,target,s,1.0,0,n,r,meeriousress,1,12
nollazei,nollazei,rss,nol,,la_zei,nollazei,control,r,,0,n,m,mollazei,0,8
ket,ket,r,ket,,,ket,target,r,,1,e,u,kut,0,3
eredteknemt,erehteknemt,pprs,tek,er_ed,nemt,eredteknemt,control,p,1.0,1,d,h,erehteknemt,1,11
putrup,sutrup,pr,trup,pu,,putrup,control,p,0.0,0,p,s,sutrup,1,6
meeralistic,yeeralistic,rsss,meer,,al_ist_ic,meeralistic,target,r,,0,m,y,yeeralistic,1,11
ramion,ranion,rs,ram,,ion,ramion,target,r,,2,m,n,ranion,1,6
distaunion,distaunion,prs,taun,dis,ion,distaunion,target,p,0.0,0,d,t,tistaunion,0,10
ernuczie,emnuczie,prs,nuc,er,zie,ernuczie,control,p,0.0,1,r,m,emnuczie,1,8
loukyl,loukyl,rs,louk,,yl,loukyl,control,s,0.0,1,l,w,loukyw,0,6
tonpnemtlasim,tonpnemtlasim,rsss,tonp,,nemt_la_sim,tonpnemtlasim,control,r,,0,t,k,konpnemtlasim,0,13
fradtaonilasit,frattaonilasit,rssss,frad,,ta_oni_la_sit,fradtaonilasit,control,r,,3,d,t,frattaonilasit,1,14
retintrup,retintrup,pr,trup,retin,,retintrup,control,r,,1,r,m,retintmup,0,9
pookalize,tookalize,rss,pook,,al_ize,pookalize,target,r,,0,p,t,tookalize,1,9
nurdouissens,nurdouissens,rss,nurd,,ouis_sens,nurdouissens,control,r,,3,d,t,nurtouissens,0,12
ketically,keticilly,rsss,ket,,ic_al_ly,ketically,target,s,1.0,0,a,i,keticilly,1,9
sidremulfyl,sidrewulfyl,prss,rem,sid,ulf_yl,sidremulfyl,control,r,,2,m,w,sidrewulfyl,1,11
erotumof,erotumob,ppr,mof,er_otu,,erotumof,control,r,,2,f,b,erotumob,1,8
reem,meem,r,reem,,,reem,control,r,,0,r,m,meem,1,4
busziperel,busziperel,pr_long,ziperel,bus,,busziperel,control,r,,2,p,t,busziterel,0,10
numearsitcilayl,nurearsitcilayl,prssss,mear,nu,sit_ci_la_yl,numearsitcilayl,control,r,,0,m,r,nurearsitcilayl,1,15
subtrilan,sobtrilan,pr_long,trilan,sub,,subtrilan,target,p,0.0,1,u,o,sobtrilan,1,9
sidneiloni,sidneiloni,prs,neil,sid,oni,sidneiloni,control,p,0.0,1,i,u,sudneiloni,0,10
simtonjernemt,simtonjernems,prs_long,tonjer,sim,nemt,simtonjernemt,control,s,0.0,3,t,s,simtonjernems,1,13
nucolgtaonilayl,nucolgtaonilayl,prssss,colg,nu,ta_oni_la_yl,nucolgtaonilayl,control,r,,0,c,b,nubolgtaonilayl,0,15
unsoomistically,unsoomistically,prssss,soom,un,ist_ic_al_ly,unsoomistically,target,p,0.0,0,u,i,insoomistically,0,15
interdrun,interdren,pr,drun,inter,,interdrun,target,r,,2,u,e,interdren,1,9
mearsim,muarsim,rs,mear,,sim,mearsim,control,r,,1,e,u,muarsim,1,7
inprasable,inprasabne,prs,pras,in,able,inprasable,target,s,0.0,2,l,n,inprasabne,1,10
trilan,trilan,r_long,trilan,,,trilan,target,r,,4,a,o,trilon,0,6
inkeiriousness,inkeiriousness,pprss,keir,in,ious_ness,inkeiriousness,target,p,0.0,0,i,a,ankeiriousness,0,14
flienteta,fleenteta,rs_long,flient,,eta,flienteta,control,r,,2,i,e,fleenteta,1,9
sidnitonpouissens,sidnitonpouissens,pprss,tonp,sid_ni,ouis_sens,sidnitonpouissens,control,s,1.0,2,n,w,sidnitonpouissews,0,17
nimarelba,nimarelba,prs,mar,ni,elba,nimarelba,control,p,0.0,1,i,a,namarelba,0,9
premisgeef,premisguef,ppr,geef,pre_mis,,premisgeef,target,r,,1,e,u,premisguef,1,10
enteak,enteok,pr,teak,en,,enteak,target,r,,2,a,o,enteok,1,6
flenner,flenner,r_long,flenner,,,flenner,target,r,,6,r,w,flennew,0,7
redismer,redismar,ppr,mer,re_dis,,redismer,target,r,,1,e,a,redismar,1,8
sarptaonilasim,sarptaonilasim,rssss,sarp,,ta_oni_la_sim,sarptaonilasim,control,r,,2,r,w,sawptaonilasim,0,14
belsmentalism,belsmentalism,rsss,bels,,ment_al_ism,belsmentalism,target,s,0.0,1,e,i,belsmintalism,0,13
sidnikoopnat,sidnikoopnat,pprs,koop,sid_ni,nat,sidnikoopnat,control,s,0.0,1,a,o,sidnikoopnot,0,12
ermisarpnemt,ermisarpnomt,pprs,sarp,er_mi,nemt,ermisarpnemt,control,s,0.0,1,e,o,ermisarpnomt,1,12
uniflenner,uniflenner,pr_long,flenner,uni,,uniflenner,target,r,,2,e,i,uniflinner,0,10
mer,mem,r,mer,,,mer,target,r,,2,r,m,mem,1,3
nirgoveta,nirgoveta,rs_long,nirgov,,eta,nirgoveta,control,r,,1,i,e,nergoveta,0,9
roltick,moltick,r_long,roltick,,,roltick,control,r,,0,r,m,moltick,1,7
koopcilayl,koopcilayl,rsss,koop,,ci_la_yl,koopcilayl,control,s,2.0,1,l,j,koopcilayj,0,10
repurtize,repurtize,prs,purt,re,ize,repurtize,target,r,,2,r,w,repuwtize,0,9
reimglocment,reimglocment,pprs,gloc,re_im,ment,reimglocment,target,p,0.0,0,r,m,meimglocment,0,12
inramiously,inramiously,pprss,ram,in,ious_ly,inramiously,target,r,,0,r,m,inmamiously,0,11
onnerkoopviyit,onnerkoopviyit,pprss,koop,onn_er,vi_yit,onnerkoopviyit,control,p,0.0,0,o,a,annerkoopviyit,0,14
reprasivity,reprasivity,pprss,pras,re,iv_ity,reprasivity,target,s,0.0,0,i,e,reprasevity,0,11
nureemcilayl,nureemcilayn,prsss,reem,nu,ci_la_yl,nureemcilayl,control,s,2.0,1,l,n,nureemcilayn,1,12
gensitci,sensitci,rss,gen,,sit_ci,gensitci,control,r,,0,g,s,sensitci,1,8
nenaut,nenaut,pr,naut,ne,,nenaut,control,p,0.0,0,n,m,menaut,0,6
flenitate,flenitate,rs_long,flenit,,ate,flenitate,target,r,,4,i,o,flenotate,0,9
prasationalism,prasationawism,rssss,pras,,at_ion_al_ism,prasationalism,target,s,2.0,1,l,w,prasationawism,1,14
fradoni,fradoni,rs,frad,,oni,fradoni,control,s,0.0,2,i,e,fradone,0,7
unkrewically,unkrewicilly,prsss,krew,un,ic_al_ly,unkrewically,target,s,1.0,0,a,i,unkrewicilly,1,12
drelint,drelint,r_long,drelint,,,drelint,control,r,,2,e,o,drolint,0,7
ersidnuc,ersednuc,ppr,nuc,er_sid,,ersidnuc,control,p,1.0,1,i,e,ersednuc,1,8
clatationalism,clatationalism,rssss,clat,,at_ion_al_ism,clatationalism,target,r,,0,c,d,dlatationalism,0,14
disindarfant,disirdarfant,pprs,darf,dis_in,ant,disindarfant,target,p,1.0,1,n,r,disirdarfant,1,12
