first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
punuc,punud,pr,nuc,pu,,punuc,control,r,,2,c,d,punud,1,5
sidnitalconiray,sidnitalconiray,pprss,talc,sid_ni,oni_ray,sidnitalconiray,control,s,0.0,2,i,a,sidnitalconaray,0,15
nusimtekelba,nusimtekelba,pprs,tek,nu_sim,elba,nusimtekelba,control,s,0.0,3,a,e,nusimtekelbe,0,12
outkrewiously,outkrewiously,prss,krew,out,ious_ly,outkrewiously,target,s,1.0,1,y,r,outkrewiouslr,0,13
busmar,bucmar,pr,mar,bus,,busmar,control,p,0.0,2,s,c,bucmar,1,6
disemdarf,diseldarf,ppr,darf,dis_em,,disemdarf,target,p,1.0,1,m,l,diseldarf,1,9
pookiously,pookioufly,rss,pook,,ious_ly,pookiously,target,s,0.0,3,s,f,pookioufly,1,10
disketableness,disketabyeness,prss,ket,dis,able_ness,disketableness,target,s,0.0,2,l,y,disketabyeness,1,14
fobical,fobicil,rss,fob,,ic_al,fobical,target,s,1.0,0,a,i,fobicil,1,7
upsoom,upsoam,pr,soom,up,,upsoom,target,r,,2,o,a,upsoam,1,6
nucro,nucri,rs,nuc,,ro,nucro,control,s,0.0,1,o,i,nucri,1,5
numartaonilayl,numartaonilayl,prssss,mar,nu,ta_oni_la_yl,numartaonilayl,control,p,0.0,1,u,o,nomartaonilayl,0,14
nereemnemt,nemeemnemt,prs,reem,ne,nemt,nereemnemt,control,r,,0,r,m,nemeemnemt,1,10
nutranilulf,nutranilulf,prs_long,tranil,nu,ulf,nutranilulf,control,p,0.0,1,u,o,notranilulf,0,11
overjentel,overjendel,pr_long,jentel,over,,overjentel,target,r,,3,t,d,overjendel,1,10
ernimofnemt,ernimofnemt,pprs,mof,er_ni,nemt,ernimofnemt,control,p,0.0,1,r,m,emnimofnemt,0,11
nugentasitciyl,nugentasitciyl,prssss,gen,nu,ta_sit_ci_yl,nugentasitciyl,control,r,,2,n,m,nugemtasitciyl,0,14
romnemtlayl,rornemtlayl,rsss,rom,,nemt_la_yl,romnemtlayl,control,r,,2,m,r,rornemtlayl,1,11
darfant,darfant,rs,darf,,ant,darfant,target,r,,3,f,p,darpant,0,7
ermiloukelba,ermiloukelba,pprs,louk,er_mi,elba,ermiloukelba,control,p,0.0,0,e,i,irmiloukelba,0,12
imjentorion,imjentorion,prs_long,jentor,im,ion,imjentorion,target,p,0.0,1,m,l,iljentorion,0,11
unsoomly,unsoomly,prs,soom,un,ly,unsoomly,target,p,0.0,1,n,l,ulsoomly,0,8
intauniousness,iwtauniousness,pprss,taun,in,ious_ness,intauniousness,target,p,0.0,1,n,w,iwtauniousness,1,14
siwnemtlayl,sewnemtlayl,rsss,siw,,nemt_la_yl,siwnemtlayl,control,r,,1,i,e,sewnemtlayl,1,11
morationally,morutionally,rssss,mor,,at_ion_al_ly,morationally,target,s,0.0,0,a,u,morutionally,1,12
otumoosouisyl,otumoosouisyl,prss,moos,otu,ouis_yl,otumoosouisyl,control,s,0.0,0,o,a,otumoosauisyl,0,13
kooplasitci,pooplasitci,rsss,koop,,la_sit_ci,kooplasitci,control,r,,0,k,p,pooplasitci,1,11
subpras,subpras,pr,pras,sub,,subpras,target,r,,3,s,h,subprah,0,7
ramationalism,ramationalesm,rssss,ram,,at_ion_al_ism,ramationalism,target,s,3.0,0,i,e,ramationalesm,1,13
nuteccilayl,nuteccilayl,prsss,tec,nu,ci_la_yl,nuteccilayl,control,s,1.0,0,l,m,nuteccimayl,0,11
edmofzitaoni,edmofzitaoni,prsss,mof,ed,zi_ta_oni,edmofzitaoni,control,r,,0,m,y,edyofzitaoni,0,12
otumofneyl,otumofneyl,prss,mof,otu,ne_yl,otumofneyl,control,s,0.0,1,e,i,otumofniyl,0,10
buslejent,buslejent,pr_long,lejent,bus,,buslejent,control,p,0.0,1,u,e,beslejent,0,9
losipurulf,losigurulf,rs_long,losipur,,ulf,losipurulf,control,r,,4,p,g,losigurulf,1,10
koulmentally,toulmentally,rsss,koul,,ment_al_ly,koulmentally,target,r,,0,k,t,toulmentally,1,12
