first,second,condition,prefix_template,suffix_template,root,prefixes,suffixes,word,type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error
nuniriekylssen,neniriekylssen,pprss,pp,ss,riek,nu_ni,yl_ssen,nuniriekylssen,control,p,0.0,1,u,e,neniriekylssen,1
taunational,taurational,rss,,ss,taun,,ation_al,taunational,target,r,,3,n,r,taurational,1
ernuazne,ernuaznu,prs,p,s,nuaz,er,ne,ernuazne,control,s,0.0,1,e,u,ernuaznu,1
inpookfully,inpookfully,prss,p,ss,pook,in,ful_ly,inpookfully,target,r,,1,o,e,inpeokfully,0
ertuomaer,ertuomaey,ppr,pp,,maer,er_tuo,,ertuomaer,control,r,,3,r,y,ertuomaey,1
niroylufyl,niroyrufyl,prss,p,ss,roy,ni,luf_yl,niroylufyl,control,s,0.0,0,l,r,niroyrufyl,1
neirnoitala,reirnoitala,rss,,ss,neir,,noita_la,neirnoitala,control,r,,0,n,r,reirnoitala,1
extrupable,extrupable,prs,p,s,trup,ex,able,extrupable,target,r,,3,p,t,extrutable,0
injegmentally,irjegmentally,prsss,p,sss,jeg,in,ment_al_ly,injegmentally,target,p,0.0,1,n,r,irjegmentally,1
reoutfomly,reoatfomly,pprs,pp,s,fom,re_out,ly,reoutfomly,target,p,1.0,1,u,a,reoatfomly,1
errevotectsiciyl,errevotectsiciyl,pprsss,pp,sss,tec,er_revo,tsi_ci_yl,errevotectsiciyl,control,p,0.0,1,r,m,emrevotectsiciyl,0
uninwis,uninwis,ppr,pp,,wis,un_in,,uninwis,target,r,,1,i,e,uninwes,0
reindrunation,reindrunation,pprs,pp,s,drun,re_in,ation,reindrunation,target,s,0.0,2,i,e,reindrunateon,0
projegmentally,promegmentally,prsss,p,sss,jeg,pro,ment_al_ly,projegmentally,target,r,,0,j,m,promegmentally,1
reovertrupical,reovertrupical,pprss,pp,ss,trup,re_over,ic_al,reovertrupical,target,r,,2,u,e,reovertrepical,0
talceru,halceru,rs,,s,talc,,eru,talceru,control,r,,0,t,h,halceru,1
retninurdecna,ratninurdecna,prs,p,s,nurd,retni,ecna,retninurdecna,control,p,0.0,1,e,a,ratninurdecna,1
ertuomarnoita,ertuomarnoita,pprs,pp,s,mar,er_tuo,noita,ertuomarnoita,control,r,,2,r,m,ertuomamnoita,0
wisable,misable,rs,,s,wis,,able,wisable,target,r,,0,w,m,misable,1
orplaektnemlayl,orplaektnemlayl,prsss,p,sss,laek,orp,tnem_la_yl,orplaektnemlayl,control,s,0.0,0,t,d,orplaekdnemlayl,0
errevogejlufylssen,errevogejlufmlssen,pprsss,pp,sss,gej,er_revo,luf_yl_ssen,errevogejlufylssen,control,s,1.0,0,y,m,errevogejlufmlssen,1
errevolaekcilayl,errevolaekcirayl,pprsss,pp,sss,laek,er_revo,ci_la_yl,errevolaekcilayl,control,s,1.0,0,l,r,errevolaekcirayl,1
sarpyl,sarpyl,rs,,s,sarp,,yl,sarpyl,control,s,0.0,0,y,n,sarpnl,0
redisheedation,redisheedatiin,pprs,pp,s,heed,re_dis,ation,redisheedation,target,s,0.0,3,o,i,redisheedatiin,1
gloclyness,gloclyness,rss,,ss,gloc,,ly_ness,gloclyness,target,s,1.0,3,s,d,gloclynesd,0
