first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
inteakity,inteakity,prs,teak,in,ity,inteakity,target,s,0.0,2,y,r,inteakitr,0,9
repsimrees,repsimreet,ppr,reet,rep_sim,,repsimreet,control,r,,3,t,s,repsimrees,3,10
edmeaklazitaoni,etmeaklazitaoni,prssss,meak,ed,la_zi_ta_oni,edmeaklazitaoni,control,p,0.0,1,d,t,etmeaklazitaoni,1,15
cunationalism,sunationalism,rssss,cun,,at_ion_al_ism,cunationalism,target,r,,0,c,s,sunationalism,1,13
clatiss,clatiss,rs,clat,,ist,clatist,target,s,0.0,2,t,s,clatiss,2,7
intercarizor,intercamizor,pr_long,carizor,inter,,intercarizor,target,r,,2,r,m,intercamizor,1,12
tutkripnemt,tutkripnemt,rs_long,tuskrip,,nemt,tuskripnemt,control,r,,2,s,t,tutkripnemt,2,11
encontiously,encontiously,pprss,cont,in,ious_ly,incontiously,target,p,0.0,0,i,e,encontiously,2,12
set,set,r,ket,,,ket,target,r,,0,k,s,set,2,3
diskrotanment,diskrotanment,prs_long,kroten,dis,ment,diskrotenment,target,r,,4,e,a,diskrotanment,2,13
slithon,slitpon,r_long,slithon,,,slithon,target,r,,4,h,p,slitpon,1,7
kubcon,subcon,pr,con,sub,,subcon,target,p,0.0,0,s,k,kubcon,3,6
disindrunant,disindronant,pprs,drun,dis_in,ant,disindrunant,target,r,,2,u,o,disindronant,1,12
inpetability,inpetability,prss,ket,in,abil_ity,inketability,target,r,,0,k,p,inpetability,2,12
wusmentalism,wusmentalism,rsss,wis,,ment_al_ism,wismentalism,target,r,,1,i,u,wusmentalism,2,12
incunivation,incunivation,prsss,cun,in,iv_at_ion,incunivation,target,s,0.0,0,i,e,incunevation,0,12
contmentan,contmentan,rss,cont,,ment_al,contmental,target,s,1.0,1,l,n,contmentan,2,10
sidniremouidyl,sidniremouisyl,pprss,rem,sid_ni,ouis_yl,sidniremouisyl,control,s,0.0,3,s,d,sidniremouidyl,3,14
roziwac,rozirac,r_long,rozirac,,,rozirac,control,r,,4,r,w,roziwac,3,7
sidmeakouisyl,sidmeakouisyl,prss,meak,sid,ouis_yl,sidmeakouisyl,control,s,0.0,0,o,i,sidmeakiuisyl,0,13
cleriezencu,cleriezencu,rs_long,cleriez,,enca,cleriezenca,control,s,0.0,3,a,u,cleriezencu,2,11
fobalistic,fobalistic,rsss,fob,,al_ist_ic,fobalistic,target,s,1.0,2,t,p,fobalispic,0,10
buscleriiz,buscleriiz,pr_long,cleriez,bus,,buscleriez,control,r,,5,e,i,buscleriiz,2,10
nutranilsens,nutranilsens,prs_long,tranil,nu,sens,nutranilsens,control,p,0.0,0,n,m,mutranilsens,0,12
degiltalization,degiltalization,prssss,girt,de,al_iz_at_ion,degirtalization,target,r,,2,r,l,degiltalization,2,15
miskelsion,mitkelsion,prs,kels,mis,ion,miskelsion,target,p,0.0,2,s,t,mitkelsion,1,10
nucset,nucset,rs,nuc,,sit,nucsit,control,s,0.0,1,i,e,nucset,2,6
nesimmofelba,nusimmofelba,pprs,mof,nu_sim,elba,nusimmofelba,control,p,0.0,1,u,e,nesimmofelba,3,12
repsidkeap,repsidkeat,ppr,keat,rep_sid,,repsidkeat,control,r,,3,t,p,repsidkeap,3,10
talctaonilayl,talctaonilayl,rssss,talc,,ta_oni_la_yl,talctaonilayl,control,s,3.0,1,l,n,talctaonilayn,0,13
doscon,discon,pr,con,dis,,discon,target,p,0.0,1,i,o,doscon,3,6
unsoomionally,unsoomiomally,prsss,soom,un,ion_al_ly,unsoomionally,target,s,0.0,2,n,m,unsoomiomally,1,13
setalism,cetalism,rss,cet,,al_ism,cetalism,target,r,,0,c,s,setalism,3,8
pook,poik,r,pook,,,pook,control,r,,2,o,i,poik,1,4
