first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
niworkonilayl,niworkonilayl,prsss,werk,ni,oni_la_yl,niwerkonilayl,control,r,,1,e,o,niworkonilayl,2,13
dislien,dislien,pr,lien,dis,,dislien,target,p,0.0,2,s,p,diplien,0,7
werklasitciyl,wemklasitciyl,rssss,werk,,la_sit_ci_yl,werklasitciyl,control,r,,2,r,m,wemklasitciyl,1,13
pmojentor,pmojentor,pr_long,jentor,pro,,projentor,target,p,0.0,1,r,m,pmojentor,2,9
unmisgeefabme,unmisgeefabme,pprs,geef,un_mis,able,unmisgeefable,target,s,0.0,2,l,m,unmisgeefabme,2,13
keomless,keomless,rs,keam,,less,keamless,target,r,,2,a,o,keomless,2,8
mof,mof,r,mof,,,mof,control,r,,2,f,c,moc,0,3
boclayit,boflayit,rss,bof,,la_yit,boflayit,control,r,,2,f,c,boclayit,3,8
annurtious,unnurtious,prs,nurt,un,ious,unnurtious,target,p,0.0,0,u,a,annurtious,3,10
nicowgbilayit,nicolgbilayit,prss,colg,ni,bila_yit,nicolgbilayit,control,r,,2,l,w,nicowgbilayit,3,13
trojentelion,projentelion,prs_long,jentel,pro,ion,projentelion,target,p,0.0,0,p,t,trojentelion,3,12
zicemel,zicerel,r_long,zicerel,,,zicerel,target,r,,4,r,m,zicemel,3,7
lejentsels,lejentsels,rs_long,lejent,,sels,lejentsels,control,r,,2,j,l,lelentsels,0,10
conmentalism,cormentalism,rsss,con,,ment_al_ism,conmentalism,target,r,,2,n,r,cormentalism,1,12
reoverteer,rooverteer,ppr,teer,re_over,,reoverteer,target,p,0.0,1,e,o,rooverteer,1,10
unkoopationally,unkootationally,prssss,koop,un,at_ion_al_ly,unkoopationally,target,r,,3,p,t,unkootationally,1,15
sidnimoosouisyl,sidnimoosouisyl,pprss,moos,sid_ni,ouis_yl,sidnimoosouisyl,control,s,1.0,0,y,m,sidnimoosouisml,0,15
bof,hof,r,bof,,,bof,control,r,,0,b,h,hof,1,3
jadolinable,jadolinible,rs_long,jadolin,,able,jadolinable,target,s,0.0,0,a,i,jadolinible,1,11
reinfomabli,reinfomable,pprs,fom,re_in,able,reinfomable,target,s,0.0,3,e,i,reinfomabli,3,11
erploukcilayl,erploukcolayl,prsss,louk,erp,ci_la_yl,erploukcilayl,control,s,0.0,1,i,o,erploukcolayl,1,13
colglasit,colclasit,rss,colg,,la_sit,colglasit,control,r,,3,g,c,colclasit,1,9
minurdoni,minurponi,prs,nurd,mi,oni,minurdoni,control,r,,3,d,p,minurponi,1,9
colgsels,colgsals,rs,colg,,sels,colgsels,control,s,0.0,1,e,a,colgsals,1,8
repsidtolc,repsidtalc,ppr,talc,rep_sid,,repsidtalc,control,r,,1,a,o,repsidtolc,3,10
busnetork,busnetowk,pr_long,netork,bus,,busnetork,control,r,,4,r,w,busnetowk,1,9
enpmeak,enpmeak,pr,meak,erp,,erpmeak,control,p,0.0,1,r,n,enpmeak,2,7
iycontantly,incontantly,prss,cont,in,ant_ly,incontantly,target,p,0.0,1,n,y,iycontantly,3,11
drulint,drelint,r_long,drelint,,,drelint,control,r,,2,e,u,drulint,3,7
sidnimeakoniray,sidnimoakoniray,pprss,meak,sid_ni,oni_ray,sidnimeakoniray,control,r,,1,e,o,sidnimoakoniray,1,15
misglefenment,misglefeyment,prs_long,glefen,mis,ment,misglefenment,target,r,,5,n,y,misglefeyment,1,13
unfobalisticly,unfobalisticly,prssss,fob,un,al_ist_ic_ly,unfobalisticly,target,p,0.0,0,u,a,anfobalisticly,0,14
rofnemtlayl,mofnemtlayl,rsss,mof,,nemt_la_yl,mofnemtlayl,control,r,,0,m,r,rofnemtlayl,3,11
siwtaonilasim,siwtaonilasim,rssss,siw,,ta_oni_la_sim,siwtaonilasim,control,r,,0,s,t,tiwtaonilasim,0,13
tuskrip,taskrip,r_long,tuskrip,,,tuskrip,control,r,,1,u,a,taskrip,1,7
onteeristically,onteeristically,prssss,teer,un,ist_ic_al_ly,unteeristically,target,p,0.0,0,u,o,onteeristically,2,15
orpnaut,erpnaut,pr,naut,erp,,erpnaut,control,p,0.0,0,e,o,orpnaut,3,7
ertirvinelba,ertirvinelba,prs_long,tirvin,er,elba,ertirvinelba,control,p,0.0,1,r,l,eltirvinelba,0,12
cunmentally,cunmenvally,rsss,cun,,ment_al_ly,cunmentally,target,s,0.0,3,t,v,cunmenvally,1,11
girtalifticly,girtalisticly,rssss,girt,,al_ist_ic_ly,girtalisticly,target,s,1.0,1,s,f,girtalifticly,3,13
