first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
oettrilend,outtrilend,pr_long,trilend,out,,outtrilend,target,p,0.0,1,u,e,oettrilend,3,10
mof,wof,r,mof,,,mof,control,r,,0,m,w,wof,1,3
tragsitcilayl,trigsitcilayl,rssss,trig,,sit_ci_la_yl,trigsitcilayl,control,r,,2,i,a,tragsitcilayl,3,13
cetically,ceticolly,rsss,cet,,ic_al_ly,cetically,target,s,1.0,0,a,o,ceticolly,1,9
jentor,jentor,r_long,jentor,,,jentor,target,r,,0,j,r,rentor,0,6
simcolgtaoni,simcolgtaoni,prss,colg,sim,ta_oni,simcolgtaoni,control,s,1.0,2,i,e,simcolgtaone,0,12
sidnifrapouisyl,sidnifradouisyl,pprss,frad,sid_ni,ouis_yl,sidnifradouisyl,control,r,,3,d,p,sidnifrapouisyl,3,15
koopistic,kookistic,rss,koop,,ist_ic,koopistic,target,r,,3,p,k,kookistic,1,9
disemfob,disemsob,ppr,fob,dis_em,,disemfob,target,r,,0,f,s,disemsob,1,8
indiscumion,indiscumion,pprs,cun,in_dis,ion,indiscunion,target,r,,2,n,m,indiscumion,2,11
nithilselba,nithilselba,rs_long,nithols,,elba,nitholselba,control,r,,4,o,i,nithilselba,2,11
simdojianoni,simdojianomi,prs_long,dojian,sim,oni,simdojianoni,control,s,0.0,1,n,m,simdojianomi,1,12
nuponcison,nutoncison,prs,tonc,nu,ison,nutoncison,control,r,,0,t,p,nuponcison,3,10
edmaflazetaoni,edmaflazitaoni,prssss,maf,ed,la_zi_ta_oni,edmaflazitaoni,control,s,1.0,1,i,e,edmaflazetaoni,3,14
ninuc,ninuc,pr,noc,ni,,ninoc,control,r,,1,o,u,ninuc,2,5
conor,conor,rs,con,,or,conor,target,r,,1,o,a,canor,0,5
lisargonilayl,nisargonilayl,prsss,sarg,ni,oni_la_yl,nisargonilayl,control,p,0.0,0,n,l,lisargonilayl,3,13
etunithols,otunithols,pr_long,nithols,otu,,otunithols,control,p,0.0,0,o,e,etunithols,3,10
wimofcilayl,wimofcilayl,prsss,mof,mi,ci_la_yl,mimofcilayl,control,p,0.0,0,m,w,wimofcilayl,2,11
noc,noc,r,noc,,,noc,control,r,,0,n,m,moc,0,3
innegiolary,innegiolary,pprss,neg,in,ion_ary,innegionary,target,s,0.0,2,n,l,innegiolary,2,11
cunfully,cuntully,rss,cun,,ful_ly,cunfully,target,s,0.0,0,f,t,cuntully,1,8
orpgen,orphen,pr,gen,orp,,orpgen,control,r,,0,g,h,orphen,1,6
ettriglazitaoni,ettriglazitaoni,prssss,trig,ed,la_zi_ta_oni,edtriglazitaoni,control,p,0.0,1,d,t,ettriglazitaoni,2,15
riektaonilacim,riektaonilacim,rssss,riek,,ta_oni_la_sim,riektaonilasim,control,s,3.0,0,s,c,riektaonilacim,2,14
grivon,grivon,r_long,grivon,,,grivon,target,r,,1,r,m,gmivon,0,6
culorisious,pulorisious,rs_long,culoris,,ious,culorisious,target,r,,0,c,p,pulorisious,1,11
nesidbofoni,nisidbofoni,pprs,bof,ni_sid,oni,nisidbofoni,control,p,0.0,1,i,e,nesidbofoni,3,11
distuaker,disteaker,prs,teak,dis,er,disteaker,target,r,,1,e,u,distuaker,3,9
ersimpook,ersimpook,ppr,pook,er_sim,,ersimpook,control,p,1.0,2,m,w,ersiwpook,0,9
infumivate,infamivate,prss,fam,in,iv_ate,infamivate,target,r,,1,a,u,infumivate,3,10
meahro,meakro,rs,meak,,ro,meakro,control,r,,3,k,h,meahro,3,6
sidlosiburulf,sidlosiburulf,prs_long,losicur,sid,ulf,sidlosicurulf,control,r,,4,c,b,sidlosiburulf,2,13
rafnemtlasim,mafnemtlasim,rsss,maf,,nemt_la_sim,mafnemtlasim,control,r,,0,m,r,rafnemtlasim,3,12
louksitcilayl,loukhitcilayl,rssss,louk,,sit_ci_la_yl,louksitcilayl,control,s,0.0,0,s,h,loukhitcilayl,1,13
unslationally,unclationally,prsss,clat,un,ion_al_ly,unclationally,target,r,,0,c,s,unslationally,3,13
distrilanful,distrilanfur,prs_long,trilan,dis,ful,distrilanful,target,s,0.0,2,l,r,distrilanfur,1,12
koopmintalism,koopmentalism,rsss,koop,,ment_al_ism,koopmentalism,target,s,0.0,1,e,i,koopmintalism,3,13
nerfelneuis,nerfelneuis,rs_long,nerfeln,,ouis,nerfelnouis,control,s,0.0,0,o,e,nerfelneuis,2,11
reindarfance,reindarfance,pprs,darf,re_in,ance,reindarfance,target,s,0.0,2,c,t,reindarfante,0,12
erpcleriez,erpcleriez,pr_long,cleriez,erp,,erpcleriez,control,p,0.0,2,p,d,erdcleriez,0,10
koat,koat,r,keat,,,keat,control,r,,1,e,o,koat,2,4
sidneilre,sidneilre,prs,neil,sid,re,sidneilre,control,r,,2,i,o,sidneolre,0,9
incun,incun,pr,cun,in,,incun,target,p,0.0,1,n,m,imcun,0,5
nuboftaonilayl,nuboftaonilayl,prssss,bof,nu,ta_oni_la_yl,nuboftaonilayl,control,r,,1,o,i,nubiftaonilayl,0,14
remulfyl,remulfyl,rss,rem,,ulf_yl,remulfyl,control,r,,2,m,r,rerulfyl,0,8
dredisfam,dredisfam,ppr,fam,pre_dis,,predisfam,target,p,0.0,0,p,d,dredisfam,2,9
cleriez,cleriez,r_long,cleriez,,,cleriez,control,r,,3,r,l,cleliez,0,7
ingliciously,inglociously,pprss,gloc,in,ious_ly,inglociously,target,r,,2,o,i,ingliciously,3,12
otudeatouisyl,otukeatouisyl,prss,keat,otu,ouis_yl,otukeatouisyl,control,r,,0,k,d,otudeatouisyl,3,13
clatabla,clatabla,rs,clat,,able,clatable,target,s,0.0,3,e,a,clatabla,2,8
unlienious,unlionious,prs,lien,un,ious,unlienious,target,r,,2,e,o,unlionious,1,10
son,con,r,con,,,con,target,r,,0,c,s,son,3,3
imuriek,inuriek,pr,riek,inu,,inuriek,control,p,0.0,1,n,m,imuriek,3,7
derfmental,darfmental,rss,darf,,ment_al,darfmental,target,r,,1,a,e,derfmental,3,10
fradsels,fradsels,rs,frad,,sels,fradsels,control,r,,0,f,t,tradsels,0,8
misglefeniol,misglefenion,prs_long,glefen,mis,ion,misglefenion,target,s,0.0,2,n,l,misglefeniol,3,12
degrasalization,desrasalization,prssss,gras,de,al_iz_at_ion,degrasalization,target,r,,0,g,s,desrasalization,1,15
tecnemtlayl,tecnemtlaml,rsss,tec,,nemt_la_yl,tecnemtlayl,control,s,2.0,0,y,m,tecnemtlaml,1,11
flomakable,flomakable,rs_long,flomak,,able,flomakable,target,s,0.0,3,e,i,flomakabli,0,10
miftaunation,mistaunation,prss,taun,mis,at_ion,mistaunation,target,p,0.0,2,s,f,miftaunation,3,12
preflennur,preflennur,pr_long,flenner,pre,,preflenner,target,r,,5,e,u,preflennur,2,10
sidmetreg,sidmetreg,ppr,trig,sid_me,,sidmetrig,control,r,,2,i,e,sidmetreg,2,9
lienationalism,lienationalism,rssss,lien,,at_ion_al_ism,lienationalism,target,r,,3,n,y,lieyationalism,0,14
inwisiousness,inwesiousness,pprss,wis,in,ious_ness,inwisiousness,target,r,,1,i,e,inwesiousness,1,13
