first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
reetelba,reetelta,rs,reet,,elba,reetelba,control,s,0.0,2,b,t,reetelta,1,8
nocilsens,nocilsons,rss,noc,,il_sens,nocilsens,control,s,1.0,1,e,o,nocilsons,1,9
nukeatilfsens,nukeatilfsens,prss,keat,nu,ulf_sens,nukeatulfsens,control,s,0.0,0,u,i,nukeatilfsens,2,13
ingoefiously,ingoefiously,pprss,geef,in,ious_ly,ingeefiously,target,r,,1,e,o,ingoefiously,2,12
nearoz,neamoz,r_long,nearoz,,,nearoz,control,r,,3,r,m,neamoz,1,6
rintinithols,rentinithols,pr_long,nithols,renti,,rentinithols,control,p,0.0,1,e,i,rintinithols,3,12
zicerelunce,zicerelunce,rs_long,zicerel,,ance,zicerelance,target,s,0.0,0,a,u,zicerelunce,2,11
subdrun,subdrun,pr,drun,sub,,subdrun,target,p,0.0,0,s,p,pubdrun,0,7
miriekcilayl,miriekciluyl,prsss,riek,mi,ci_la_yl,miriekcilayl,control,s,1.0,1,a,u,miriekciluyl,1,12
honalisticly,honalisticly,rssss,con,,al_ist_ic_ly,conalisticly,target,r,,0,c,h,honalisticly,2,12
reinfomment,reinfomment,pprs,fom,re_in,ment,reinfomment,target,r,,2,m,l,reinfolment,0,11
retrilendable,retrilendabme,prs_long,trilend,re,able,retrilendable,target,s,0.0,2,l,m,retrilendabme,1,13
deteeralization,deteeralization,prssss,teer,de,al_iz_at_ion,deteeralization,target,p,0.0,0,d,f,feteeralization,0,15
prokoulion,prokoalion,prs,koul,pro,ion,prokoulion,target,r,,2,u,a,prokoalion,1,10
disemdrun,disemdrun,ppr,drun,dis_em,,disemdrun,target,r,,3,n,r,disemdrur,0,9
taun,taun,r,taun,,,taun,target,r,,2,u,e,taen,0,4
neilnemtlayl,neilnemtlayl,rsss,neil,,nemt_la_yl,neilnemtlayl,control,r,,2,i,e,neelnemtlayl,0,12
nunauhouisyl,nunauhouisyl,prss,naut,nu,ouis_yl,nunautouisyl,control,r,,3,t,h,nunauhouisyl,2,12
sidninautouissens,sidninautouissens,pprss,naut,sid_ni,ouis_sens,sidninautouissens,control,r,,1,a,e,sidnineutouissens,0,17
erminoilelba,erminoilelba,pprs,neil,er_mi,elba,ermineilelba,control,r,,1,e,o,erminoilelba,2,12
lielious,lienious,rs,lien,,ious,lienious,target,r,,3,n,l,lielious,3,8
nitholh,nithols,r_long,nithols,,,nithols,control,r,,6,s,h,nitholh,3,7
nenitholsnemt,nenitholsnemt,prs_long,nithols,ne,nemt,nenitholsnemt,control,r,,3,h,t,nenittolsnemt,0,13
negatioralism,negationalism,rssss,neg,,at_ion_al_ism,negationalism,target,s,1.0,2,n,r,negatioralism,3,13
sidmereek,sidmeriek,ppr,riek,sid_me,,sidmeriek,control,r,,1,i,e,sidmereek,3,9
sarg,sang,r,sarg,,,sarg,control,r,,2,r,n,sang,1,4
contfully,contfully,rss,cont,,ful_ly,contfully,target,r,,0,c,h,hontfully,0,9
ketmentally,ketmentally,rsss,ket,,ment_al_ly,ketmentally,target,s,0.0,3,t,s,ketmensally,0,11
orpnurdoni,orpnurdoni,prs,nurd,orp,oni,orpnurdoni,control,p,0.0,0,o,u,urpnurdoni,0,10
inteerically,iwteerically,prsss,teer,in,ic_al_ly,inteerically,target,p,0.0,1,n,w,iwteerically,1,12
edworklazitaoni,edwerklazitaoni,prssss,werk,ed,la_zi_ta_oni,edwerklazitaoni,control,r,,1,e,o,edworklazitaoni,3,15
prognivon,prognivon,pr_long,grivon,pro,,progrivon,target,r,,1,r,n,prognivon,2,9
losicurunca,losicurunca,rs_long,losicur,,enca,losicurenca,control,s,0.0,0,e,u,losicurunca,2,11
rentimaf,rentimif,pr,maf,renti,,rentimaf,control,r,,1,a,i,rentimif,1,8
girtion,girtion,rs,girt,,ion,girtion,target,r,,3,t,p,girpion,0,7
louklayl,louklayl,rss,louk,,la_yl,louklayl,control,r,,0,l,r,rouklayl,0,8
flenner,flenner,r_long,flenner,,,flenner,target,r,,3,n,m,flemner,0,7
selienalization,delienalization,prssss,lien,de,al_iz_at_ion,delienalization,target,p,0.0,0,d,s,selienalization,3,15
nitalcyl,nitolcyl,prs,talc,ni,yl,nitalcyl,control,r,,1,a,o,nitolcyl,1,8
lonconively,lonconively,prss,con,non,ive_ly,nonconively,target,p,0.0,0,n,l,lonconively,2,11
intertaun,intertaun,pr,taun,inter,,intertaun,target,p,0.0,4,r,w,intewtaun,0,9
remnemtlayl,remnemtnayl,rsss,rem,,nemt_la_yl,remnemtlayl,control,s,1.0,0,l,n,remnemtnayl,1,11
