first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
tecsitci,secsitci,rss,tec,,sit_ci,tecsitci,control,r,,0,t,s,secsitci,1,8
trunhels,trunhels,rs,trun,,sels,trunsels,control,s,0.0,0,s,h,trunhels,2,8
sidtecyl,sidtecyl,prs,tec,sid,yl,sidtecyl,control,r,,1,e,o,sidtocyl,0,8
teakationolism,teakationolism,rssss,teak,,at_ion_al_ism,teakationalism,target,s,2.0,0,a,o,teakationolism,2,14
ermikeatelba,ermikeaselba,pprs,keat,er_mi,elba,ermikeatelba,control,r,,3,t,s,ermikeaselba,1,12
wondel,wondel,r_long,wondel,,,wondel,target,r,,2,n,r,wordel,0,6
nicleraezelba,nicleriezelba,prs_long,cleriez,ni,elba,nicleriezelba,control,r,,4,i,a,nicleraezelba,3,13
mef,maf,r,maf,,,maf,control,r,,1,a,e,mef,3,3
maflasitti,maflasitci,rsss,maf,,la_sit_ci,maflasitci,control,s,2.0,0,c,t,maflasitti,3,10
rekoopivape,rekoopivape,prss,koop,re,iv_ate,rekoopivate,target,s,1.0,1,t,p,rekoopivape,2,11
nulouktaonila,nulouktaonila,prsss,louk,nu,ta_oni_la,nulouktaonila,control,s,0.0,0,t,f,nuloukfaonila,0,13
lendowenca,lendowenca,rs_long,lendow,,enca,lendowenca,control,r,,3,d,t,lentowenca,0,10
diszicerel,dishicerel,pr_long,zicerel,dis,,diszicerel,target,r,,0,z,h,dishicerel,1,10
sidnisiwouissens,sidnisiwouissens,pprss,siw,sid_ni,ouis_sens,sidnisiwouissens,control,r,,1,i,e,sidnisewouissens,0,16
untaunalisticly,untaunalisticly,prssss,taun,un,al_ist_ic_ly,untaunalisticly,target,p,0.0,0,u,o,ontaunalisticly,0,15
pifeeg,pufeeg,pr,feeg,pu,,pufeeg,control,p,0.0,1,u,i,pifeeg,3,6
ersimsarg,ersimsarg,ppr,sarg,er_sim,,ersimsarg,control,p,1.0,0,s,f,erfimsarg,0,9
wisionam,wisionam,rss,wis,,ion_al,wisional,target,s,1.0,1,l,m,wisionam,2,8
mubofla,nubofla,prs,bof,nu,la,nubofla,control,p,0.0,0,n,m,mubofla,3,7
erotutons,erotutonc,ppr,tonc,er_otu,,erotutonc,control,r,,3,c,s,erotutons,3,9
disglefenment,disglefenment,prs_long,glefen,dis,ment,disglefenment,target,p,0.0,2,s,f,difglefenment,0,13
prejenten,prejenten,pr_long,jentel,pre,,prejentel,target,r,,5,l,n,prejenten,2,9
kaflom,kuflom,r_long,kaflom,,,kaflom,control,r,,1,a,u,kuflom,1,6
inlieniousnesb,inlieniousnesb,pprss,lien,in,ious_ness,inlieniousness,target,s,1.0,3,s,b,inlieniousnesb,2,14
edselktaoniolsim,edselktaonialsim,prssss,selk,ed,ta_oni_al_sim,edselktaonialsim,control,s,2.0,0,a,o,edselktaoniolsim,3,16
undrunicalln,undrunicalln,prsss,drun,un,ic_al_ly,undrunically,target,s,2.0,1,y,n,undrunicalln,2,12
outkrewenly,outkrewenly,prss,krew,out,en_ly,outkrewenly,target,r,,3,w,y,outkreyenly,0,11
meralistic,meralistic,rsss,mer,,al_ist_ic,meralistic,target,r,,0,m,l,leralistic,0,10
maftionilasim,maftionilasim,rssss,maf,,ta_oni_la_sim,maftaonilasim,control,s,0.0,1,a,i,maftionilasim,2,13
inutec,inetec,pr,tec,inu,,inutec,control,p,0.0,2,u,e,inetec,1,6
ertimgennemt,ertimgennemt,pprs,gen,er_sim,nemt,ersimgennemt,control,p,1.0,0,s,t,ertimgennemt,2,12
zicerelious,zicerelious,rs_long,zicerel,,ious,zicerelious,target,r,,4,r,m,zicemelious,0,11
sarg,darg,r,sarg,,,sarg,control,r,,0,s,d,darg,1,4
rerkci,rerkci,rs,werk,,ci,werkci,control,r,,0,w,r,rerkci,2,6
glefenamce,glefenance,rs_long,glefen,,ance,glefenance,target,s,0.0,1,n,m,glefenamce,3,10
upfob,upfob,pr,fob,up,,upfob,target,r,,2,b,h,upfoh,0,5
reinkoulable,reinkoulable,pprs,koul,re_in,able,reinkoulable,target,r,,3,l,r,reinkourable,0,12
otufeegneyl,etufeegneyl,prss,feeg,otu,ne_yl,otufeegneyl,control,p,0.0,0,o,e,etufeegneyl,1,11
unflomakious,unflomakaous,prs_long,flomak,un,ious,unflomakious,target,s,0.0,0,i,a,unflomakaous,1,12
nutekulf,lutekulf,prs,tek,nu,ulf,nutekulf,control,p,0.0,0,n,l,lutekulf,1,8
unlienationally,unlienationally,prssss,lien,un,at_ion_al_ly,unlienationally,target,r,,2,e,o,unlionationally,0,15
detically,detically,rsss,cet,,ic_al_ly,cetically,target,r,,0,c,d,detically,2,9
pooctaonilasit,pooktaonilasit,rssss,pook,,ta_oni_la_sit,pooktaonilasit,control,r,,3,k,c,pooctaonilasit,3,14
remiskrew,remiscrew,ppr,krew,re_mis,,remiskrew,target,r,,0,k,c,remiscrew,1,9
darfness,darfmess,rs,darf,,ness,darfness,target,s,0.0,0,n,m,darfmess,1,8
glefen,glefen,r_long,glefen,,,glefen,target,r,,3,f,d,gleden,0,6
tam,fam,r,fam,,,fam,target,r,,0,f,t,tam,3,3
overjenter,overjenter,pr_long,jentor,over,,overjentor,target,r,,4,o,e,overjenter,2,10
incetisablity,inceticablity,prsss,cet,in,ic_abl_ity,inceticablity,target,s,0.0,1,c,s,incetisablity,3,13
nautoniya,nautoniya,rss,naut,,oni_la,nautonila,control,s,1.0,0,l,y,nautoniya,2,9
ircontionary,incontionary,pprss,cont,in,ion_ary,incontionary,target,p,0.0,1,n,r,ircontionary,3,12
