first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
conmentally,conmentally,rsss,con,,ment_al_ly,conmentally,target,r,,1,o,i,cinmentally,0,11
tidsargyti,sidsargyti,prs,sarg,sid,yti,sidsargyti,control,p,0.0,0,s,t,tidsargyti,3,10
micolgcilayl,micolgcileyl,prsss,colg,mi,ci_la_yl,micolgcilayl,control,s,1.0,1,a,e,micolgcileyl,1,12
bofouisyr,bofouisyr,rss,bof,,ouis_yl,bofouisyl,control,s,1.0,1,l,r,bofouisyr,2,9
ernitonc,ernitonc,ppr,tonc,er_ni,,ernitonc,control,r,,2,n,m,ernitomc,0,8
outcarizol,outcarizol,pr_long,carizor,out,,outcarizor,target,r,,6,r,l,outcarizol,2,10
simroziraconi,simroziracini,prs_long,rozirac,sim,oni,simroziraconi,control,s,0.0,0,o,i,simroziracini,1,13
eredpooknemt,eredpoobnemt,pprs,pook,er_ed,nemt,eredpooknemt,control,r,,3,k,b,eredpoobnemt,1,12
wis,wis,r,wis,,,wis,target,r,,0,w,r,ris,0,3
lejent,lejent,r_long,lejent,,,lejent,control,r,,3,e,a,lejant,0,6
moossitcilayl,moodsitcilayl,rssss,moos,,sit_ci_la_yl,moossitcilayl,control,r,,3,s,d,moodsitcilayl,1,13
edfradlazitaoni,edfradlazitaoni,prssss,frad,ed,la_zi_ta_oni,edfradlazitaoni,control,p,0.0,1,d,b,ebfradlazitaoni,0,15
prenes,preneg,pr,neg,pre,,preneg,target,r,,2,g,s,prenes,3,6
krewious,krewious,rs,krew,,ious,krewious,target,r,,3,w,r,krerious,0,8
inteorionary,inteerionary,pprss,teer,in,ion_ary,inteerionary,target,r,,2,e,o,inteorionary,3,12
krutenable,krotenable,rs_long,kroten,,able,krotenable,target,r,,2,o,u,krutenable,3,10
juriekouisyl,nuriekouisyl,prss,riek,nu,ouis_yl,nuriekouisyl,control,p,0.0,0,n,j,juriekouisyl,3,12
louknemtlayl,louknemtlayl,rsss,louk,,nemt_la_yl,louknemtlayl,control,r,,3,k,c,loucnemtlayl,0,12
fradsitbilayl,fradsitbilayl,rssss,frad,,sit_ci_la_yl,fradsitcilayl,control,s,1.0,0,c,b,fradsitbilayl,2,13
neelouis,neilouis,rs,neil,,ouis,neilouis,control,r,,2,i,e,neelouis,3,8
tirvinelba,tirvinelba,rs_long,tirvin,,elba,tirvinelba,control,r,,0,t,f,firvinelba,0,10
ernipook,ernipook,ppr,pook,er_ni,,ernipook,control,p,1.0,1,i,a,ernapook,0,8
setiously,setiously,rss,cet,,ious_ly,cetiously,target,r,,0,c,s,setiously,2,9
mihtrivinment,mihtrivinment,prs_long,trivin,mis,ment,mistrivinment,target,p,0.0,2,s,h,mihtrivinment,2,13
flenner,flenner,r_long,flenner,,,flenner,target,r,,6,r,l,flennel,0,7
nitomctaoni,nitonctaoni,prss,tonc,ni,ta_oni,nitonctaoni,control,r,,2,n,m,nitomctaoni,3,11
deconationalism,deconetionalism,prssss,con,de,at_ion_al_ism,deconationalism,target,s,0.0,0,a,e,deconetionalism,1,15
edmeak,edmeah,pr,meak,ed,,edmeak,control,r,,3,k,h,edmeah,1,6
vrun,vrun,r,drun,,,drun,target,r,,0,d,v,vrun,2,4
ingrasly,inhrasly,prs,gras,in,ly,ingrasly,target,r,,0,g,h,inhrasly,1,8
reanteerable,reanteerable,pprs,teer,re_in,able,reinteerable,target,p,1.0,0,i,a,reanteerable,2,12
irpnuccilayl,irpnuccilayl,prsss,nuc,erp,ci_la_yl,erpnuccilayl,control,p,0.0,0,e,i,irpnuccilayl,2,12
infobionary,enfobionary,pprss,fob,in,ion_ary,infobionary,target,p,0.0,0,i,e,enfobionary,1,11
inukaflom,inukaflom,pr_long,kaflom,inu,,inukaflom,control,p,0.0,1,n,r,irukaflom,0,9
onnermoosvoyit,onnermoosviyit,pprss,moos,onn_er,vi_yit,onnermoosviyit,control,s,0.0,1,i,o,onnermoosvoyit,3,14
siddojian,siddojian,pr_long,dojian,sid,,siddojian,control,r,,4,a,e,siddojien,0,9
ermicolgelba,ermicolgemba,pprs,colg,er_mi,elba,ermicolgelba,control,s,0.0,1,l,m,ermicolgemba,1,12
cleriez,cleliez,r_long,cleriez,,,cleriez,control,r,,3,r,l,cleliez,1,7
unkaopiously,unkaopiously,prss,koop,un,ious_ly,unkoopiously,target,r,,1,o,a,unkaopiously,2,12
kourable,kourable,rs,koul,,able,koulable,target,r,,3,l,r,kourable,2,8
koopationalism,koopationalism,rssss,koop,,at_ion_al_ism,koopationalism,target,s,0.0,1,t,p,koopapionalism,0,14
