first,second,morphemes,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
lienalistic,lienalistic,rsss,lien,,al_ist_ic,lienalistic,target,r,,2,e,o,lionalistic,0,11
intertrilock,intertrilock,pr_long,trilock,inter,,intertrilock,target,p,0.0,2,t,b,inbertrilock,0,12
reet,reet,r,reet,,,reet,control,r,,0,r,l,leet,0,4
tisinmerion,tisinmerion,pprs,mer,dis_in,ion,disinmerion,target,p,0.0,0,d,t,tisinmerion,2,11
orpnirgovoni,orpnirgovoni,prs_long,nirgov,orp,oni,orpnirgovoni,control,r,,3,g,t,orpnirtovoni,0,12
sidnurdouisyl,sidnurdouipyl,prss,nurd,sid,ouis_yl,sidnurdouisyl,control,s,0.0,3,s,p,sidnurdouipyl,1,13
anglocistically,unglocistically,prssss,gloc,un,ist_ic_al_ly,unglocistically,target,p,0.0,0,u,a,anglocistically,3,15
namhtor,namptor,r_long,namptor,,,namptor,target,r,,3,p,h,namhtor,3,7
roltickouis,roltickouis,rs_long,roltick,,ouis,roltickouis,control,s,0.0,2,i,e,roltickoues,0,11
tectim,tecsim,rs,tec,,sim,tecsim,control,s,0.0,0,s,t,tectim,3,6
inkoopiousness,inkoopieusness,pprss,koop,in,ious_ness,inkoopiousness,target,s,0.0,1,o,e,inkoopieusness,1,14
insamivation,insamivation,prsss,fam,in,iv_at_ion,infamivation,target,r,,0,f,s,insamivation,2,12
feagnemtla,feagnemtla,rss,feeg,,nemt_la,feegnemtla,control,r,,2,e,a,feagnemtla,2,10
premifgloc,premisgloc,ppr,gloc,pre_mis,,premisgloc,target,p,1.0,2,s,f,premifgloc,3,10
maslien,mislien,pr,lien,mis,,mislien,target,p,0.0,1,i,a,maslien,3,7
negationalism,negatiolalism,rssss,neg,,at_ion_al_ism,negationalism,target,s,1.0,2,n,l,negatiolalism,1,13
nisargyl,nisartyl,prs,sarg,ni,yl,nisargyl,control,r,,3,g,t,nisartyl,1,8
