first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
incuniously,incuniouslw,pprss,cun,in,ious_ly,incuniously,target,s,1.0,1,y,w,incuniouslw,1,11
onnerkoopviyit,onnerkoopvimit,pprss,koop,onn_er,vi_yit,onnerkoopviyit,control,s,1.0,0,y,m,onnerkoopvimit,1,14
misdarfably,misdarfablm,pprss,darf,mis,abl_y,misdarfably,target,s,1.0,0,y,m,misdarfablm,1,11
indisfomion,indisfemion,pprs,fom,in_dis,ion,indisfomion,target,r,,1,o,e,indisfemion,1,11
indruniously,undruniously,prss,drun,in,ious_ly,indruniously,target,p,0.0,0,i,u,undruniously,1,12
erotuwerk,erotuwerk,ppr,werk,er_otu,,erotuwerk,control,r,,0,w,m,erotumerk,0,9
unmisgirtable,unmisgirtable,pprs,girt,un_mis,able,unmisgirtable,target,s,0.0,3,e,o,unmisgirtablo,0,13
sarpelba,sarpelba,rs,sarp,,elba,sarpelba,control,s,0.0,1,l,m,sarpemba,0,8
repsimreem,repsumreem,ppr,reem,rep_sim,,repsimreem,control,p,1.0,1,i,u,repsumreem,1,10
glocfully,slocfully,rss,gloc,,ful_ly,glocfully,target,r,,0,g,s,slocfully,1,9
jadolinance,jadolenance,rs_long,jadolin,,ance,jadolinance,target,r,,5,i,e,jadolenance,1,11
nurdtaonilasit,nardtaonilasit,rssss,nurd,,ta_oni_la_sit,nurdtaonilasit,control,r,,1,u,a,nardtaonilasit,1,14
unmeeralisticly,unmeeralisticly,prssss,meer,un,al_ist_ic_ly,unmeeralisticly,target,s,3.0,1,y,r,unmeeralisticlr,0,15
mitraniloni,metraniloni,prs_long,tranil,mi,oni,mitraniloni,control,p,0.0,1,i,e,metraniloni,1,11
outskrupit,iutskrupit,pr_long,skrupit,out,,outskrupit,target,p,0.0,0,o,i,iutskrupit,1,10
ernireem,ernireem,ppr,reem,er_ni,,ernireem,control,r,,0,r,n,ernineem,0,8
decuner,decunew,prs,cun,de,er,decuner,target,s,0.0,1,r,w,decunew,1,7
genlasitci,genlasitci,rsss,gen,,la_sit_ci,genlasitci,control,r,,2,n,m,gemlasitci,0,10
premisclat,premiscrat,ppr,clat,pre_mis,,premisclat,target,r,,1,l,r,premiscrat,1,10
unclatistically,unclatistically,prssss,clat,un,ist_ic_al_ly,unclatistically,target,p,0.0,1,n,r,urclatistically,0,15
ket,ket,r,ket,,,ket,target,r,,2,t,k,kek,0,3
nusimtonpbaly,nusimtonpbaly,pprss,tonp,nu_sim,bal_y,nusimtonpbaly,control,p,0.0,1,u,o,nosimtonpbaly,0,13
orpnearozoni,orpnearozori,prs_long,nearoz,orp,oni,orpnearozoni,control,s,0.0,1,n,r,orpnearozori,1,12
koulalisticly,koulalisticly,rssss,koul,,al_ist_ic_ly,koulalisticly,target,r,,0,k,t,toulalisticly,0,13
bels,bels,r,bels,,,bels,target,r,,2,l,r,bers,0,4
nisidnoloni,nisidnoloni,pprs,nol,ni_sid,oni,nisidnoloni,control,s,0.0,1,n,r,nisidnolori,0,11
moflasitci,moflasitci,rsss,mof,,la_sit_ci,moflasitci,control,r,,1,o,e,meflasitci,0,10
ednolzitaoni,ednolzitaoni,prsss,nol,ed,zi_ta_oni,ednolzitaoni,control,p,0.0,1,d,f,efnolzitaoni,0,12
pleriez,pleriez,r_long,pleriez,,,pleriez,target,r,,1,l,m,pmeriez,0,7
glocability,glocahility,rss,gloc,,abil_ity,glocability,target,s,0.0,1,b,h,glocahility,1,11
nusiwnemtla,rusiwnemtla,prss,siw,nu,nemt_la,nusiwnemtla,control,p,0.0,0,n,r,rusiwnemtla,1,11
reamance,reamance,rs,ream,,ance,reamance,target,s,0.0,3,e,o,reamanco,0,8
unfomly,unfomly,prs,fom,un,ly,unfomly,target,p,0.0,0,u,a,anfomly,0,7
ednurd,ednurf,pr,nurd,ed,,ednurd,control,r,,3,d,f,ednurf,1,6
deteakization,deseakization,prsss,teak,de,iz_at_ion,deteakization,target,r,,0,t,s,deseakization,1,13
dedarf,dedark,pr,darf,de,,dedarf,target,r,,3,f,k,dedark,1,6
relonivity,relonivity,pprss,lon,re,iv_ity,relonivity,target,r,,0,l,r,reronivity,0,10
redebelsment,redebelsment,pprs,bels,re_de,ment,redebelsment,target,r,,1,e,a,redebalsment,0,12
reinpook,reinpoot,ppr,pook,re_in,,reinpook,target,r,,3,k,t,reinpoot,1,8
nicolgouisyl,nicolgouisyl,prss,colg,ni,ouis_yl,nicolgouisyl,control,p,0.0,0,n,l,licolgouisyl,0,12
selbtaonilasim,selbtaonilasim,rssss,selb,,ta_oni_la_sim,selbtaonilasim,control,r,,3,b,s,selstaonilasim,0,14
tirvinenca,tinvinenca,rs_long,tirvin,,enca,tirvinenca,control,r,,2,r,n,tinvinenca,1,10
orptrup,orptrip,pr,trup,orp,,orptrup,control,r,,2,u,i,orptrip,1,7
otunefelg,otunafelg,pr_long,nefelg,otu,,otunefelg,control,r,,1,e,a,otunafelg,1,9
unclatmental,unclatmental,prss,clat,un,ment_al,unclatmental,target,s,1.0,0,a,o,unclatmentol,0,12
sidnitalcouisyl,sidnitalcouesyl,pprss,talc,sid_ni,ouis_yl,sidnitalcouisyl,control,s,0.0,2,i,e,sidnitalcouesyl,1,15
edfeegtaonialsim,edfeegtaonialsim,prssss,feeg,ed,ta_oni_al_sim,edfeegtaonialsim,control,s,2.0,0,a,i,edfeegtaoniilsim,0,16
miremcilayl,miremcilayl,prsss,rem,mi,ci_la_yl,miremcilayl,control,r,,1,e,i,mirimcilayl,0,11
intersoom,intersooy,pr,soom,inter,,intersoom,target,r,,3,m,y,intersooy,1,9
nucolgsitcilayl,nucolgsitcimayl,prssss,colg,nu,sit_ci_la_yl,nucolgsitcilayl,control,s,2.0,0,l,m,nucolgsitcimayl,1,15
cunable,cunabla,rs,cun,,able,cunable,target,s,0.0,3,e,a,cunabla,1,7
imflomakion,imflomakion,prs_long,flomak,im,ion,imflomakion,target,s,0.0,1,o,a,imflomakian,0,11
drozirac,drozirac,r_long,drozirac,,,drozirac,control,r,,4,i,e,drozerac,0,8
pontally,poytally,rss,pont,,al_ly,pontally,target,r,,2,n,y,poytally,1,8
discetableness,discetableness,prss,cet,dis,able_ness,discetableness,target,p,0.0,0,d,t,tiscetableness,0,14
drunationalism,drunationalism,rssss,drun,,at_ion_al_ism,drunationalism,target,s,2.0,0,a,e,drunationelism,0,14
erpnuccilayl,erpnutcilayl,prsss,nuc,erp,ci_la_yl,erpnuccilayl,control,r,,2,c,t,erpnutcilayl,1,12
nefelgoni,nefelgoni,rs_long,nefelg,,oni,nefelgoni,control,r,,2,f,d,nedelgoni,0,9
renegal,ranegal,prs,neg,re,al,renegal,target,p,0.0,1,e,a,ranegal,1,7
sidgenelbasens,sidginelbasens,prss,gen,sid,elba_sens,sidgenelbasens,control,r,,1,e,i,sidginelbasens,1,14
reoutkeir,reautkeir,ppr,keir,re_out,,reoutkeir,target,p,1.0,0,o,a,reautkeir,1,9
