first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
inmeerionary,inmeorionary,pprss,meer,in,ion_ary,inmeerionary,target,r,,2,e,o,inmeorionary,1,12
nukoopouisyl,nukoopouisyl,prss,koop,nu,ouis_yl,nukoopouisyl,control,r,,1,o,e,nukeopouisyl,0,12
erninolacne,ernenolacne,pprs,nol,er_ni,acne,erninolacne,control,p,1.0,1,i,e,ernenolacne,1,11
imponticablity,imponticablity,prsss,pont,im,ic_abl_ity,imponticablity,target,r,,2,n,l,impolticablity,0,14
drun,drun,r,drun,,,drun,target,r,,2,u,e,dren,0,4
koulically,koulically,rsss,koul,,ic_al_ly,koulically,target,r,,3,l,r,kourically,0,10
nefelg,nefelg,r_long,nefelg,,,nefelg,control,r,,0,n,m,mefelg,0,6
moparntnemt,moparnpnemt,rs_long,moparnt,,nemt,moparntnemt,control,r,,6,t,p,moparnpnemt,1,11
feegsim,feegsum,rs,feeg,,sim,feegsim,control,s,0.0,1,i,u,feegsum,1,7
bofcila,bofcila,rss,bof,,ci_la,bofcila,control,r,,1,o,i,bifcila,0,7
darfable,darfable,rs,darf,,able,darfable,target,r,,3,f,c,darcable,0,8
darfism,dorfism,rs,darf,,ism,darfism,target,r,,1,a,o,dorfism,1,7
flomak,flomak,r_long,flomak,,,flomak,target,r,,5,k,f,flomaf,0,6
orpnearozoni,orpnearozoni,prs_long,nearoz,orp,oni,orpnearozoni,control,r,,3,r,m,orpneamozoni,0,12
trilanment,trilanment,rs_long,trilan,,ment,trilanment,target,r,,4,a,e,trilenment,0,10
roltick,rolticf,r_long,roltick,,,roltick,control,r,,6,k,f,rolticf,1,7
subgirt,suhgirt,pr,girt,sub,,subgirt,target,p,0.0,2,b,h,suhgirt,1,7
neilouisyl,neilouisyl,rss,neil,,ouis_yl,neilouisyl,control,r,,3,l,m,neimouisyl,0,10
nunolsitcilayl,nunolsitcilayl,prssss,nol,nu,sit_ci_la_yl,nunolsitcilayl,control,p,0.0,0,n,l,lunolsitcilayl,0,14
nautlasitciyl,nautlasitciyl,rssss,naut,,la_sit_ci_yl,nautlasitciyl,control,s,1.0,2,t,f,nautlasifciyl,0,13
jadolin,jadolin,r_long,jadolin,,,jadolin,target,r,,5,i,e,jadolen,0,7
rentidrozirac,rintidrozirac,pr_long,drozirac,renti,,rentidrozirac,control,p,0.0,1,e,i,rintidrozirac,1,13
sidninautoniray,sidninautoliray,pprss,naut,sid_ni,oni_ray,sidninautoniray,control,s,0.0,1,n,l,sidninautoliray,1,15
tauniously,tauniously,rss,taun,,ious_ly,tauniously,target,s,1.0,0,l,y,tauniousyy,0,10
nifeegonilayl,nifeegonilayr,prsss,feeg,ni,oni_la_yl,nifeegonilayl,control,s,2.0,1,l,r,nifeegonilayr,1,13
relienivity,relienivity,pprss,lien,re,iv_ity,relienivity,target,s,0.0,1,v,t,relienitity,0,11
subclat,subclat,pr,clat,sub,,subclat,target,p,0.0,0,s,k,kubclat,0,7
simnolulfyl,simnolulfyl,prss,nol,sim,ulf_yl,simnolulfyl,control,p,0.0,1,i,e,semnolulfyl,0,11
distaunableness,distaunableness,prss,taun,dis,able_ness,distaunableness,target,p,0.0,2,s,t,dittaunableness,0,15
inflenitable,inflenitable,prs_long,flenit,in,able,inflenitable,target,r,,5,t,x,inflenixable,0,12
ermisarpelba,ermisarpelba,pprs,sarp,er_mi,elba,ermisarpelba,control,p,0.0,1,r,n,enmisarpelba,0,12
sidreemelbasens,sidreemelbosens,prss,reem,sid,elba_sens,sidreemelbasens,control,s,0.0,3,a,o,sidreemelbosens,1,15
