first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
inlienivation,inlienivation,prsss,lien,in,iv_at_ion,inlienivation,target,r,,2,e,u,inliunivation,0,13
ram,ram,r,ram,,,ram,target,r,,0,r,l,lam,0,3
inbelsionary,inbelsionary,pprss,bels,in,ion_ary,inbelsionary,target,p,0.0,0,i,e,enbelsionary,0,12
inwisly,inwisly,prs,wis,in,ly,inwisly,target,p,0.0,1,n,m,imwisly,0,7
inlieniousness,inrieniousness,pprss,lien,in,ious_ness,inlieniousness,target,r,,0,l,r,inrieniousness,1,14
cetate,cetate,rs,cet,,ate,cetate,target,r,,0,c,s,setate,0,6
unpookly,unpoohly,prs,pook,un,ly,unpookly,target,r,,3,k,h,unpoohly,1,8
otuloukhissens,otuloukhissens,prss,louk,otu,his_sens,otuloukhissens,control,p,0.0,0,o,e,etuloukhissens,0,14
intaunivation,intaunivation,prsss,taun,in,iv_at_ion,intaunivation,target,r,,1,a,e,inteunivation,0,13
inutuskrip,inutuskrip,pr_long,tuskrip,inu,,inutuskrip,control,r,,3,k,t,inutustrip,0,10
truptaonilasit,truptaonilasit,rssss,trup,,ta_oni_la_sit,truptaonilasit,control,r,,3,p,b,trubtaonilasit,0,14
redismeer,redismeer,ppr,meer,re_dis,,redismeer,target,r,,3,r,m,redismeem,0,9
disflenition,digflenition,prs_long,flenit,dis,ion,disflenition,target,p,0.0,2,s,g,digflenition,1,12
outnegishness,outnegishness,prss,neg,out,ish_ness,outnegishness,target,s,1.0,2,s,h,outnegishnehs,0,13
nimoosvitaoni,nimoosvitaono,prsss,moos,ni,vi_ta_oni,nimoosvitaoni,control,s,2.0,2,i,o,nimoosvitaono,1,13
simnol,simnol,pr,nol,sim,,simnol,control,r,,2,l,m,simnom,0,6
siwouissens,sewouissens,rss,siw,,ouis_sens,siwouissens,control,r,,1,i,e,sewouissens,1,11
ream,riam,r,ream,,,ream,target,r,,1,e,i,riam,1,4
edtalctaonialsim,edtalctaonielsim,prssss,talc,ed,ta_oni_al_sim,edtalctaonialsim,control,s,2.0,0,a,e,edtalctaonielsim,1,16
reinpont,reinsont,ppr,pont,re_in,,reinpont,target,r,,0,p,s,reinsont,1,8
nusimremelba,nusimremelba,pprs,rem,nu_sim,elba,nusimremelba,control,r,,2,m,r,nusimrerelba,0,12
lendow,mendow,r_long,lendow,,,lendow,control,r,,0,l,m,mendow,1,6
misneg,misneg,pr,neg,mis,,misneg,target,p,0.0,1,i,o,mosneg,0,6
krewationalist,krewationalast,rssss,krew,,at_ion_al_ist,krewationalist,target,s,3.0,0,i,a,krewationalast,1,14
sidnineilouissens,sidnineilouissens,pprss,neil,sid_ni,ouis_sens,sidnineilouissens,control,p,0.0,2,d,t,sitnineilouissens,0,17
fomically,fimically,rsss,fom,,ic_al_ly,fomically,target,r,,1,o,i,fimically,1,9
remiskrew,wemiskrew,ppr,krew,re_mis,,remiskrew,target,p,0.0,0,r,w,wemiskrew,1,9
ersidsarp,ersidsarp,ppr,sarp,er_sid,,ersidsarp,control,p,1.0,2,d,c,ersicsarp,0,9
remlasit,remlasit,rss,rem,,la_sit,remlasit,control,s,0.0,0,l,r,remrasit,0,8
gencilayl,genciwayl,rsss,gen,,ci_la_yl,gencilayl,control,s,1.0,0,l,w,genciwayl,1,9
keatnemtlayl,keatnemtlayl,rsss,keat,,nemt_la_yl,keatnemtlayl,control,r,,3,t,h,keahnemtlayl,0,12
edwerklazitaoni,edwertlazitaoni,prssss,werk,ed,la_zi_ta_oni,edwerklazitaoni,control,r,,3,k,t,edwertlazitaoni,1,15
nefelgsens,nepelgsens,rs_long,nefelg,,sens,nefelgsens,control,r,,2,f,p,nepelgsens,1,10
cunationalist,cunationalist,rssss,cun,,at_ion_al_ist,cunationalist,target,r,,1,u,a,canationalist,0,13
jentor,jeltor,r_long,jentor,,,jentor,target,r,,2,n,l,jeltor,1,6
lejentenca,lejentence,rs_long,lejent,,enca,lejentenca,control,s,0.0,3,a,e,lejentence,1,10
erednurdnemt,erednurdnemt,pprs,nurd,er_ed,nemt,erednurdnemt,control,r,,0,n,r,eredrurdnemt,0,12
