first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
meermentally,meermentelly,rsss,meer,,ment_al_ly,meermentally,target,s,1.0,0,a,e,meermentelly,1,12
werkulfsens,werkulfsens,rss,werk,,ulf_sens,werkulfsens,control,r,,2,r,m,wemkulfsens,0,11
nucla,nucla,rs,nuc,,la,nucla,control,r,,1,u,o,nocla,0,5
reimmerment,reimrerment,pprs,mer,re_im,ment,reimmerment,target,r,,0,m,r,reimrerment,1,11
untaunable,untaumable,prs,taun,un,able,untaunable,target,r,,3,n,m,untaumable,1,10
ertekeviyl,ersekeviyl,prss,tek,er,evi_yl,ertekeviyl,control,r,,0,t,s,ersekeviyl,1,10
wisationalist,witationalist,rssss,wis,,at_ion_al_ist,wisationalist,target,r,,2,s,t,witationalist,1,13
nusimtekelba,nusimtekolba,pprs,tek,nu_sim,elba,nusimtekelba,control,s,0.0,0,e,o,nusimtekolba,1,12
trivin,trivin,r_long,trivin,,,trivin,target,r,,2,i,a,travin,0,6
relonivity,relonihity,pprss,lon,re,iv_ity,relonivity,target,s,0.0,1,v,h,relonihity,1,10
reinteak,reenteak,ppr,teak,re_in,,reinteak,target,p,1.0,0,i,e,reenteak,1,8
purtiously,puwtiously,rss,purt,,ious_ly,purtiously,target,r,,2,r,w,puwtiously,1,10
overgrivon,overgrivon,pr_long,grivon,over,,overgrivon,target,r,,3,v,b,overgribon,0,10
numoftaonila,namoftaonila,prsss,mof,nu,ta_oni_la,numoftaonila,control,p,0.0,1,u,a,namoftaonila,1,12
unmispookable,unmispookable,pprs,pook,un_mis,able,unmispookable,target,s,0.0,2,l,m,unmispookabme,0,13
edselbtaonialsim,odselbtaonialsim,prssss,selb,ed,ta_oni_al_sim,edselbtaonialsim,control,p,0.0,0,e,o,odselbtaonialsim,1,16
keirion,keirion,rs,keir,,ion,keirion,target,s,0.0,2,n,m,keiriom,0,7
interkroten,interkrotew,pr_long,kroten,inter,,interkroten,target,r,,5,n,w,interkrotew,1,11
sidmegen,sidmegen,ppr,gen,sid_me,,sidmegen,control,r,,0,g,p,sidmepen,0,8
