Root,ReverseRoot,Pattern
neez,zeen,cvvc
keir,riek,cvvc
mein,niem,cvvc
taub,buat,cvvc
keal,laek,cvvc
heed,deeh,cvvc
loor,rool,cvvc
pook,koop,cvvc
zoun,nuoz,cvvc
meer,reem,cvvc
girt,trig,cvcc
carp,prac,cvcc
larp,pral,cvcc
yarb,bray,cvcc
clat,talc,cvcc
lan,nal,cvc
cun,nuc,cvc
kam,mak,cvc
fen,nef,cvc
ram,mar,cvc
ket,tek,cvc
bod,dob,cvc
buk,kub,cvc
zuc,cuz,cvc
sig,gis,cvc
pras,sarp,ccvc
trew,wert,ccvc
trup,purt,ccvc
gloc,colg,ccvc
drun,nurd,ccvc
