Token,Condition,Prefix2,Prefix1,Root,Suffix1,Suffix2,Wordlength,Monomorpheme,MonoPrefix2,MonoPrefix1,MonoRoot,MonoSuffix1,MonoSuffix2,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,MonoErrorPrefix2,MonoErrorPrefix1,MonoErrorRoot,MonoErrorSuffix1,MonoErrorSuffix2,MonoChangedIndexP2,MonoChangedIndexP1,MonoChangedIndexR,MonoChangedIndexS1,MonoChangedIndexS2
untiteg,pr,,un,titeg,,,7,ungetit,,nu,getit,,,,antiteg,untiseg,,,,0,2,,,,rugetit,nusetit,,,,0,0,,
insid,pr,,in,sid,,,5,indis,,ni,dis,,,,iwsid,insis,,,,1,2,,,,ridis,nidos,,,,0,1,,
debal,pr,,de,bal,,,5,delab,,ed,lab,,,,sebal,depal,,,,0,0,,,,etlab,edrab,,,,1,0,,
deabep,pr,,de,abep,,,6,depeba,,ed,peba,,,,duabep,deabed,,,,1,3,,,,udpeba,edteba,,,,0,0,,
unulpo,pr,,un,ulpo,,,6,unoplu,,nu,oplu,,,,umulpo,unolpo,,,,1,0,,,,yuoplu,nuopwu,,,,0,2,,
preulpo,pr,,pre,ulpo,,,7,preoplu,,erp,oplu,,,,hreulpo,prealpo,,,,0,0,,,,elpoplu,erpopla,,,,1,3,,
insid,pr,,in,sid,,,5,indis,,ni,dis,,,,irsid,insed,,,,1,1,,,,widis,nigis,,,,0,0,,
untiteg,pr,,un,titeg,,,7,ungetit,,nu,getit,,,,ujtiteg,untitig,,,,1,3,,,,rugetit,nugetot,,,,0,3,,
uneys,pr,,un,eys,,,5,unsye,,nu,sye,,,,uweys,unoys,,,,1,0,,,,rusye,nusle,,,,0,1,,
presid,pr,,pre,sid,,,6,predis,,erp,dis,,,,cresid,precid,,,,0,0,,,,eypdis,erpsis,,,,1,0,,
demit,pr,,de,mit,,,5,detim,,ed,tim,,,,dimit,demih,,,,1,2,,,,udtim,edtam,,,,0,1,,
deulpo,pr,,de,ulpo,,,6,deoplu,,ed,oplu,,,,beulpo,deulto,,,,0,2,,,,eboplu,edoplo,,,,1,3,,
dererh,pr,,de,rerh,,,6,dehrer,,ed,hrer,,,,sererh,dewerh,,,,0,0,,,,idhrer,edhrar,,,,0,2,,
insid,pr,,in,sid,,,5,indis,,ni,dis,,,,imsid,insod,,,,1,1,,,,nodis,nihis,,,,1,0,,
debal,pr,,de,bal,,,5,delab,,ed,lab,,,,dibal,dedal,,,,1,0,,,,udlab,edrab,,,,0,0,,
detiteg,pr,,de,titeg,,,7,degetit,,ed,getit,,,,setiteg,detoteg,,,,0,1,,,,efgetit,edgetot,,,,1,3,,
prebal,pr,,pre,bal,,,6,prelab,,erp,lab,,,,hrebal,prebar,,,,0,2,,,,orplab,erplob,,,,0,1,,
unepa,pr,,un,epa,,,5,unape,,nu,ape,,,,inepa,unepe,,,,0,2,,,,noape,nuapi,,,,1,2,,
inepa,pr,,in,epa,,,5,inape,,ni,ape,,,,ijepa,inipa,,,,1,0,,,,riape,niupe,,,,0,0,,
debal,pr,,de,bal,,,5,delab,,ed,lab,,,,tebal,debel,,,,0,1,,,,idlab,edlat,,,,0,2,,
inulpo,pr,,in,ulpo,,,6,inoplu,,ni,oplu,,,,irulpo,inuypo,,,,1,1,,,,rioplu,niiplu,,,,0,0,,
dehode,pr,,de,hode,,,6,deedoh,,ed,edoh,,,,sehode,dehade,,,,0,1,,,,adedoh,edefoh,,,,0,1,,
premit,pr,,pre,mit,,,6,pretim,,erp,tim,,,,hremit,premot,,,,0,1,,,,enptim,erpsim,,,,1,0,,
intiteg,pr,,in,titeg,,,7,ingetit,,ni,getit,,,,antiteg,inteteg,,,,0,1,,,,nagetit,nigepit,,,,1,2,,
deulpo,pr,,de,ulpo,,,6,deoplu,,ed,oplu,,,,doulpo,deulpe,,,,1,3,,,,epoplu,edoplo,,,,1,3,,
prebal,pr,,pre,bal,,,6,prelab,,erp,lab,,,,pmebal,prebul,,,,1,1,,,,emplab,erpnab,,,,1,0,,
unbal,pr,,un,bal,,,5,unlab,,nu,lab,,,,umbal,unbaw,,,,1,2,,,,nalab,nulap,,,,1,2,,
demit,pr,,de,mit,,,5,detim,,ed,tim,,,,damit,demih,,,,1,2,,,,ehtim,edtem,,,,1,1,,
untiteg,pr,,un,titeg,,,7,ungetit,,nu,getit,,,,urtiteg,unhiteg,,,,1,0,,,,yugetit,nuvetit,,,,0,0,,
dehode,pr,,de,hode,,,6,deedoh,,ed,edoh,,,,pehode,dehodo,,,,0,3,,,,adedoh,ededob,,,,0,3,,
inbal,pr,,in,bal,,,5,inlab,,ni,lab,,,,irbal,insal,,,,1,0,,,,milab,nilap,,,,0,2,,
prebal,pr,,pre,bal,,,6,prelab,,erp,lab,,,,probal,prebil,,,,2,1,,,,arplab,erplat,,,,0,2,,
untiteg,pr,,un,titeg,,,7,ungetit,,nu,getit,,,,entiteg,untitet,,,,0,4,,,,negetit,nugetat,,,,1,3,,
inmit,pr,,in,mit,,,5,intim,,ni,tim,,,,anmit,inlit,,,,0,0,,,,litim,nitem,,,,0,1,,
unhode,pr,,un,hode,,,6,unedoh,,nu,edoh,,,,urhode,unhodo,,,,1,3,,,,noedoh,nuefoh,,,,1,1,,
deulpo,pr,,de,ulpo,,,6,deoplu,,ed,oplu,,,,heulpo,deolpo,,,,0,0,,,,odoplu,edoklu,,,,0,1,,
untiteg,pr,,un,titeg,,,7,ungetit,,nu,getit,,,,urtiteg,unciteg,,,,1,0,,,,nogetit,nugutit,,,,1,1,,
inhode,pr,,in,hode,,,6,inedoh,,ni,edoh,,,,enhode,insode,,,,0,0,,,,needoh,niedov,,,,1,3,,
inrerh,pr,,in,rerh,,,6,inhrer,,ni,hrer,,,,anrerh,inrerp,,,,0,3,,,,rihrer,nihrey,,,,0,3,,
prererh,pr,,pre,rerh,,,7,prehrer,,erp,hrer,,,,frererh,prenerh,,,,0,0,,,,erdhrer,erphren,,,,2,3,,
presid,pr,,pre,sid,,,6,predis,,erp,dis,,,,dresid,presis,,,,0,2,,,,urpdis,erphis,,,,0,0,,
presid,pr,,pre,sid,,,6,predis,,erp,dis,,,,dresid,prebid,,,,0,0,,,,ercdis,erpdik,,,,2,2,,
unmit,pr,,un,mit,,,5,untim,,nu,tim,,,,enmit,unmet,,,,0,1,,,,mutim,nutom,,,,0,1,,
inmit,pr,,in,mit,,,5,intim,,ni,tim,,,,anmit,inmet,,,,0,1,,,,netim,nihim,,,,1,0,,
inmit,pr,,in,mit,,,5,intim,,ni,tim,,,,ilmit,inmih,,,,1,2,,,,ritim,nitiy,,,,0,2,,
detiteg,pr,,de,titeg,,,7,degetit,,ed,getit,,,,setiteg,dehiteg,,,,0,0,,,,eggetit,edgotit,,,,1,1,,
deabep,pr,,de,abep,,,6,depeba,,ed,peba,,,,daabep,deubep,,,,1,0,,,,idpeba,edpeta,,,,0,2,,
prererh,pr,,pre,rerh,,,7,prehrer,,erp,hrer,,,,crererh,prerirh,,,,0,1,,,,eyphrer,erpgrer,,,,1,0,,
deulpo,pr,,de,ulpo,,,6,deoplu,,ed,oplu,,,,heulpo,deolpo,,,,0,0,,,,adoplu,edeplu,,,,0,0,,
detiteg,pr,,de,titeg,,,7,degetit,,ed,getit,,,,datiteg,dediteg,,,,1,0,,,,esgetit,edgetig,,,,1,4,,
unhode,pr,,un,hode,,,6,unedoh,,nu,edoh,,,,enhode,unhede,,,,0,1,,,,naedoh,nuetoh,,,,1,1,,
inhode,pr,,in,hode,,,6,inedoh,,ni,edoh,,,,imhode,inhohe,,,,1,2,,,,riedoh,niedah,,,,0,2,,
presid,pr,,pre,sid,,,6,predis,,erp,dis,,,,prosid,prefid,,,,2,0,,,,erhdis,erpdit,,,,2,2,,
inabep,pr,,in,abep,,,6,inpeba,,ni,peba,,,,enabep,inebep,,,,0,0,,,,nopeba,nipeha,,,,1,2,,
demit,pr,,de,mit,,,5,detim,,ed,tim,,,,dimit,demid,,,,1,2,,,,eptim,edtem,,,,1,1,,
deulpo,pr,,de,ulpo,,,6,deoplu,,ed,oplu,,,,teulpo,deuldo,,,,0,2,,,,odoplu,edople,,,,0,3,,
dererh,pr,,de,rerh,,,6,dehrer,,ed,hrer,,,,sererh,demerh,,,,0,0,,,,eghrer,edhror,,,,1,2,,
prehode,pr,,pre,hode,,,7,preedoh,,erp,edoh,,,,prahode,prehote,,,,2,2,,,,irpedoh,erpedeh,,,,0,2,,
deulpo,pr,,de,ulpo,,,6,deoplu,,ed,oplu,,,,daulpo,deurpo,,,,1,1,,,,idoplu,edopla,,,,0,3,,
dererh,pr,,de,rerh,,,6,dehrer,,ed,hrer,,,,hererh,dereyh,,,,0,2,,,,odhrer,edhyer,,,,0,1,,
dehode,pr,,de,hode,,,6,deedoh,,ed,edoh,,,,gehode,dehote,,,,0,2,,,,esedoh,ededot,,,,1,3,,
unrerh,pr,,un,rerh,,,6,unhrer,,nu,hrer,,,,enrerh,unrorh,,,,0,1,,,,wuhrer,nusrer,,,,0,0,,
deabep,pr,,de,abep,,,6,depeba,,ed,peba,,,,heabep,deabes,,,,0,3,,,,adpeba,edpaba,,,,0,1,,
prererh,pr,,pre,rerh,,,7,prehrer,,erp,hrer,,,,vrererh,prerers,,,,0,3,,,,ershrer,erphrir,,,,2,2,,
preulpo,pr,,pre,ulpo,,,7,preoplu,,erp,oplu,,,,praulpo,preulpe,,,,2,3,,,,ercoplu,erposlu,,,,2,1,,
insid,pr,,in,sid,,,5,indis,,ni,dis,,,,onsid,insis,,,,0,2,,,,nedis,nivis,,,,1,0,,
preulpo,pr,,pre,ulpo,,,7,preoplu,,erp,oplu,,,,priulpo,preumpo,,,,2,1,,,,urpoplu,erpoklu,,,,0,1,,
pretiteg,pr,,pre,titeg,,,8,pregetit,,erp,getit,,,,sretiteg,pretited,,,,0,4,,,,erhgetit,erpgetot,,,,2,3,,
prebal,pr,,pre,bal,,,6,prelab,,erp,lab,,,,hrebal,prebel,,,,0,1,,,,eyplab,erplac,,,,1,2,,
presid,pr,,pre,sid,,,6,predis,,erp,dis,,,,gresid,pregid,,,,0,0,,,,empdis,erpdit,,,,1,2,,
unmit,pr,,un,mit,,,5,untim,,nu,tim,,,,inmit,unmis,,,,0,2,,,,yutim,nufim,,,,0,0,,
inmit,pr,,in,mit,,,5,intim,,ni,tim,,,,enmit,inmic,,,,0,2,,,,netim,nihim,,,,1,0,,
unbal,pr,,un,bal,,,5,unlab,,nu,lab,,,,enbal,unpal,,,,0,0,,,,nelab,nulag,,,,1,2,,
dehode,pr,,de,hode,,,6,deedoh,,ed,edoh,,,,dihode,dehodi,,,,1,3,,,,ehedoh,edehoh,,,,1,1,,
deulpo,pr,,de,ulpo,,,6,deoplu,,ed,oplu,,,,heulpo,deelpo,,,,0,0,,,,adoplu,edohlu,,,,0,1,,
inhode,pr,,in,hode,,,6,inedoh,,ni,edoh,,,,imhode,inhoda,,,,1,3,,,,liedoh,niidoh,,,,0,0,,
prererh,pr,,pre,rerh,,,7,prehrer,,erp,hrer,,,,vrererh,prelerh,,,,0,0,,,,orphrer,erpsrer,,,,0,0,,
unrerh,pr,,un,rerh,,,6,unhrer,,nu,hrer,,,,enrerh,unrerp,,,,0,3,,,,muhrer,nuhrem,,,,0,3,,
inulpo,pr,,in,ulpo,,,6,inoplu,,ni,oplu,,,,irulpo,inelpo,,,,1,0,,,,nooplu,niopla,,,,1,3,,
pretiteg,pr,,pre,titeg,,,8,pregetit,,erp,getit,,,,pmetiteg,preteteg,,,,1,1,,,,erdgetit,erpgetat,,,,2,3,,
untiteg,pr,,un,titeg,,,7,ungetit,,nu,getit,,,,umtiteg,untikeg,,,,1,2,,,,wugetit,nugetiz,,,,0,4,,
preulpo,pr,,pre,ulpo,,,7,preoplu,,erp,oplu,,,,pleulpo,preulpa,,,,1,3,,,,orpoplu,erpohlu,,,,0,1,,
demit,pr,,de,mit,,,5,detim,,ed,tim,,,,damit,demat,,,,1,1,,,,odtim,edtir,,,,0,2,,
demit,pr,,de,mit,,,5,detim,,ed,tim,,,,temit,derit,,,,0,0,,,,ettim,edtiy,,,,1,2,,
debal,pr,,de,bal,,,5,delab,,ed,lab,,,,dabal,detal,,,,1,0,,,,idlab,edlah,,,,0,2,,
inrerh,pr,,in,rerh,,,6,inhrer,,ni,hrer,,,,imrerh,inwerh,,,,1,0,,,,nuhrer,nihror,,,,1,2,,
preulpo,pr,,pre,ulpo,,,7,preoplu,,erp,oplu,,,,treulpo,preulso,,,,0,2,,,,orpoplu,erpopyu,,,,0,2,,
demit,pr,,de,mit,,,5,detim,,ed,tim,,,,domit,demip,,,,1,2,,,,idtim,edtiy,,,,0,2,,
unmit,pr,,un,mit,,,5,untim,,nu,tim,,,,onmit,unmet,,,,0,1,,,,wutim,nutem,,,,0,1,,
dererh,pr,,de,rerh,,,6,dehrer,,ed,hrer,,,,darerh,derirh,,,,1,1,,,,idhrer,edhler,,,,0,1,,
insid,pr,,in,sid,,,5,indis,,ni,dis,,,,imsid,insiv,,,,1,2,,,,nadis,nidip,,,,1,2,,
ineys,pr,,in,eys,,,5,insye,,ni,sye,,,,imeys,inoys,,,,1,0,,,,nasye,nisya,,,,1,2,,
inabep,pr,,in,abep,,,6,inpeba,,ni,peba,,,,irabep,inibep,,,,1,0,,,,nopeba,niheba,,,,1,0,,
presid,pr,,pre,sid,,,6,predis,,erp,dis,,,,tresid,presad,,,,0,1,,,,arpdis,erpkis,,,,0,0,,
prebal,pr,,pre,bal,,,6,prelab,,erp,lab,,,,crebal,prebel,,,,0,1,,,,ewplab,erplas,,,,1,2,,
unabep,pr,,un,abep,,,6,unpeba,,nu,peba,,,,anabep,unabap,,,,0,2,,,,yupeba,nupesa,,,,0,2,,
inulpo,pr,,in,ulpo,,,6,inoplu,,ni,oplu,,,,ilulpo,inurpo,,,,1,1,,,,nooplu,niopla,,,,1,3,,
unbal,pr,,un,bal,,,5,unlab,,nu,lab,,,,anbal,ungal,,,,0,0,,,,nalab,numab,,,,1,0,,
unmit,pr,,un,mit,,,5,untim,,nu,tim,,,,enmit,unmih,,,,0,2,,,,mutim,nutem,,,,0,1,,
uneys,pr,,un,eys,,,5,unsye,,nu,sye,,,,umeys,unays,,,,1,0,,,,nesye,nusyo,,,,1,2,,
deabep,pr,,de,abep,,,6,depeba,,ed,peba,,,,teabep,deebep,,,,0,0,,,,ehpeba,edseba,,,,1,0,,
inulpo,pr,,in,ulpo,,,6,inoplu,,ni,oplu,,,,anulpo,inulho,,,,0,2,,,,naoplu,nieplu,,,,1,0,,
dererh,pr,,de,rerh,,,6,dehrer,,ed,hrer,,,,direrh,demerh,,,,1,0,,,,ephrer,edhren,,,,1,3,,
deabep,pr,,de,abep,,,6,depeba,,ed,peba,,,,teabep,deabip,,,,0,2,,,,idpeba,edpesa,,,,0,2,,
presid,pr,,pre,sid,,,6,predis,,erp,dis,,,,prosid,prefid,,,,2,0,,,,arpdis,erpdit,,,,0,2,,
unabep,pr,,un,abep,,,6,unpeba,,nu,peba,,,,umabep,unabup,,,,1,2,,,,rupeba,nupepa,,,,0,2,,
preulpo,pr,,pre,ulpo,,,7,preoplu,,erp,oplu,,,,greulpo,preulpa,,,,0,3,,,,ergoplu,erpaplu,,,,2,0,,
prebal,pr,,pre,bal,,,6,prelab,,erp,lab,,,,probal,pretal,,,,2,0,,,,arplab,erpleb,,,,0,1,,
debal,pr,,de,bal,,,5,delab,,ed,lab,,,,tebal,debar,,,,0,2,,,,eslab,edlat,,,,1,2,,
deabep,pr,,de,abep,,,6,depeba,,ed,peba,,,,diabep,deabip,,,,1,2,,,,odpeba,edseba,,,,0,0,,
prererh,pr,,pre,rerh,,,7,prehrer,,erp,hrer,,,,zrererh,prerirh,,,,0,1,,,,urphrer,erphmer,,,,0,1,,
dehode,pr,,de,hode,,,6,deedoh,,ed,edoh,,,,duhode,dehodi,,,,1,3,,,,etedoh,edidoh,,,,1,0,,
inmit,pr,,in,mit,,,5,intim,,ni,tim,,,,iymit,inyit,,,,1,0,,,,natim,nitam,,,,1,1,,
unhode,pr,,un,hode,,,6,unedoh,,nu,edoh,,,,urhode,unpode,,,,1,0,,,,muedoh,nuedeh,,,,0,2,,
debal,pr,,de,bal,,,5,delab,,ed,lab,,,,bebal,debar,,,,0,2,,,,odlab,edlah,,,,0,2,,
preulpo,pr,,pre,ulpo,,,7,preoplu,,erp,oplu,,,,pyeulpo,preulpi,,,,1,3,,,,empoplu,erpopli,,,,1,3,,
unepa,pr,,un,epa,,,5,unape,,nu,ape,,,,umepa,uneta,,,,1,1,,,,ruape,nuepe,,,,0,0,,
unsid,pr,,un,sid,,,5,undis,,nu,dis,,,,insid,unsih,,,,0,2,,,,wudis,nusis,,,,0,0,,
inabep,pr,,in,abep,,,6,inpeba,,ni,peba,,,,onabep,inafep,,,,0,1,,,,nepeba,nipeva,,,,1,2,,
insid,pr,,in,sid,,,5,indis,,ni,dis,,,,imsid,intid,,,,1,0,,,,nedis,nidip,,,,1,2,,
ulpoable,rs,,,ulpo,able,,8,opluable,,,oplu,elba,,,,ultoable,ulpoabli,,,,2,3,,,,ocluelba,opluelbi,,,,1,3,
titeger,rs,,,titeg,er,,7,getiter,,,getit,re,,,,teteger,titegel,,,,1,1,,,,gesitre,getitme,,,,2,0,
hodeable,rs,,,hode,able,,8,edohable,,,edoh,elba,,,,hoveable,hodeabme,,,,2,2,,,,eduhelba,edohelbu,,,,2,3,
titeger,rs,,,titeg,er,,7,getiter,,,getit,re,,,,giteger,titegar,,,,0,0,,,,cetitre,getitme,,,,0,0,
balion,rs,,,bal,ion,,6,labion,,,lab,noi,,,,calion,baleon,,,,0,0,,,,lebnoi,labnei,,,,1,1,
ulpoable,rs,,,ulpo,able,,8,opluable,,,oplu,elba,,,,ultoable,ulpoabwe,,,,2,2,,,,ohluelba,opluilba,,,,1,0,
sidion,rs,,,sid,ion,,6,dision,,,dis,noi,,,,sihion,sideon,,,,2,0,,,,dosnoi,diswoi,,,,1,0,
balable,rs,,,bal,able,,7,labable,,,lab,elba,,,,bamable,balabme,,,,2,2,,,,lobelba,labelga,,,,1,2,
epaion,rs,,,epa,ion,,6,apeion,,,ape,noi,,,,ehaion,epaeon,,,,1,0,,,,adenoi,apenoa,,,,1,2,
ulpoable,rs,,,ulpo,able,,8,opluable,,,oplu,elba,,,,olpoable,ulpoaple,,,,0,1,,,,ocluelba,opluemba,,,,1,1,
abepable,rs,,,abep,able,,8,pebaable,,,peba,elba,,,,abedable,abepabre,,,,3,2,,,,pibaelba,pebaelpa,,,,1,2,
sider,rs,,,sid,er,,5,diser,,,dis,re,,,,siser,sidir,,,,2,0,,,,ditre,disme,,,,2,0,
miter,rs,,,mit,er,,5,timer,,,tim,re,,,,riter,mitem,,,,0,1,,,,himre,timri,,,,0,1,
rerhful,rs,,,rerh,ful,,7,hrerful,,,hrer,luf,,,,rarhful,rerhsul,,,,1,0,,,,hrirluf,hrerlof,,,,2,1,
ulpoion,rs,,,ulpo,ion,,7,opluion,,,oplu,noi,,,,ulfoion,ulpoiun,,,,2,1,,,,opmunoi,oplunii,,,,2,1,
epaion,rs,,,epa,ion,,6,apeion,,,ape,noi,,,,epeion,epaeon,,,,2,0,,,,upenoi,apenoo,,,,0,2,
hodeable,rs,,,hode,able,,8,edohable,,,edoh,elba,,,,sodeable,hodeatle,,,,0,1,,,,edahelba,edohilba,,,,2,0,
hodeion,rs,,,hode,ion,,7,edohion,,,edoh,noi,,,,hedeion,hodeiom,,,,1,2,,,,ehohnoi,edohnei,,,,1,1,
epaion,rs,,,epa,ion,,6,apeion,,,ape,noi,,,,epeion,epaiom,,,,2,2,,,,ipenoi,apewoi,,,,0,0,
mitful,rs,,,mit,ful,,6,timful,,,tim,luf,,,,matful,mitfuy,,,,1,2,,,,simluf,timlud,,,,0,2,
hodeful,rs,,,hode,ful,,7,edohful,,,edoh,luf,,,,hoseful,hodefal,,,,2,1,,,,edihluf,edohlup,,,,2,2,
titegion,rs,,,titeg,ion,,8,getition,,,getit,noi,,,,pitegion,titegiol,,,,0,2,,,,gatitnoi,getitwoi,,,,1,0,
balful,rs,,,bal,ful,,6,labful,,,lab,luf,,,,bamful,balfel,,,,2,1,,,,lacluf,labmuf,,,,2,0,
abepion,rs,,,abep,ion,,7,pebaion,,,peba,noi,,,,afepion,abepien,,,,1,1,,,,pabanoi,pebanoa,,,,1,2,
titegable,rs,,,titeg,able,,9,getitable,,,getit,elba,,,,titepable,titegabne,,,,4,2,,,,ketitelba,getitulba,,,,0,0,
rerhion,rs,,,rerh,ion,,7,hrerion,,,hrer,noi,,,,rersion,rerheon,,,,3,0,,,,hrirnoi,hrernoe,,,,2,2,
titeger,rs,,,titeg,er,,7,getiter,,,getit,re,,,,titeher,titegem,,,,4,1,,,,getifre,getitme,,,,4,0,
miter,rs,,,mit,er,,5,timer,,,tim,re,,,,riter,mitew,,,,0,1,,,,tirre,timra,,,,2,1,
ulpoion,rs,,,ulpo,ion,,7,opluion,,,oplu,noi,,,,unpoion,ulpoaon,,,,1,0,,,,oplenoi,opluyoi,,,,3,0,
ulpoer,rs,,,ulpo,er,,6,opluer,,,oplu,re,,,,ulpier,ulpoem,,,,3,1,,,,oblure,opluwe,,,,1,0,
mitful,rs,,,mit,ful,,6,timful,,,tim,luf,,,,midful,mitfel,,,,2,1,,,,tinluf,timruf,,,,2,0,
eyser,rs,,,eys,er,,5,syeer,,,sye,re,,,,iyser,eysel,,,,0,1,,,,swere,syeme,,,,1,0,
abepion,rs,,,abep,ion,,7,pebaion,,,peba,noi,,,,abapion,abepeon,,,,2,0,,,,petanoi,pebaroi,,,,2,0,
abeper,rs,,,abep,er,,6,pebaer,,,peba,re,,,,ebeper,abepej,,,,0,1,,,,bebare,pebara,,,,0,1,
sidful,rs,,,sid,ful,,6,disful,,,dis,luf,,,,pidful,sidfol,,,,0,1,,,,desluf,dislif,,,,1,1,
eysion,rs,,,eys,ion,,6,syeion,,,sye,noi,,,,aysion,eysian,,,,0,1,,,,slenoi,syeyoi,,,,1,0,
sidable,rs,,,sid,able,,7,disable,,,dis,elba,,,,sihable,sidavle,,,,2,1,,,,doselba,diselda,,,,1,2,
epaer,rs,,,epa,er,,5,apeer,,,ape,re,,,,epeer,epaar,,,,2,0,,,,apore,apera,,,,2,1,
baler,rs,,,bal,er,,5,laber,,,lab,re,,,,galer,balir,,,,0,0,,,,mabre,labra,,,,0,1,
abepion,rs,,,abep,ion,,7,pebaion,,,peba,noi,,,,abopion,abepien,,,,2,1,,,,pebonoi,pebanoa,,,,3,2,
titegion,rs,,,titeg,ion,,8,getition,,,getit,noi,,,,sitegion,titegiun,,,,0,1,,,,gecitnoi,getitmoi,,,,2,0,
sidion,rs,,,sid,ion,,6,dision,,,dis,noi,,,,tidion,sidiom,,,,0,2,,,,ditnoi,disnoa,,,,2,2,
abepful,rs,,,abep,ful,,7,pebaful,,,peba,luf,,,,abetful,abepfol,,,,3,1,,,,pebeluf,pebalaf,,,,3,1,
balful,rs,,,bal,ful,,6,labful,,,lab,luf,,,,salful,balsul,,,,0,0,,,,mabluf,labluc,,,,0,2,
rerhful,rs,,,rerh,ful,,7,hrerful,,,hrer,luf,,,,rervful,rerhfuy,,,,3,2,,,,prerluf,hrerlut,,,,0,2,
epaful,rs,,,epa,ful,,6,apeful,,,ape,luf,,,,edaful,epafum,,,,1,2,,,,aseluf,apelud,,,,1,2,
balion,rs,,,bal,ion,,6,labion,,,lab,noi,,,,barion,balaon,,,,2,0,,,,lapnoi,labnai,,,,2,1,
mitable,rs,,,mit,able,,7,timable,,,tim,elba,,,,motable,mitabla,,,,1,3,,,,cimelba,timelbe,,,,0,3,
abepable,rs,,,abep,able,,8,pebaable,,,peba,elba,,,,abapable,abepablo,,,,2,3,,,,bebaelba,pebaelbi,,,,0,3,
rerhful,rs,,,rerh,ful,,7,hrerful,,,hrer,luf,,,,rarhful,rerhhul,,,,1,0,,,,brerluf,hrerlif,,,,0,1,
eysion,rs,,,eys,ion,,6,syeion,,,sye,noi,,,,eydion,eysior,,,,2,2,,,,syinoi,syenoo,,,,2,2,
epaful,rs,,,epa,ful,,6,apeful,,,ape,luf,,,,ipaful,epafuw,,,,0,2,,,,aheluf,apelof,,,,1,1,
abeper,rs,,,abep,er,,6,pebaer,,,peba,re,,,,ibeper,abepem,,,,0,1,,,,pibare,pebara,,,,1,1,
epaion,rs,,,epa,ion,,6,apeion,,,ape,noi,,,,etaion,epaiom,,,,1,2,,,,afenoi,apemoi,,,,1,0,
abepion,rs,,,abep,ion,,7,pebaion,,,peba,noi,,,,obepion,abepior,,,,0,2,,,,pesanoi,pebamoi,,,,2,0,
ulpoful,rs,,,ulpo,ful,,7,opluful,,,oplu,luf,,,,elpoful,ulpofur,,,,0,2,,,,ofluluf,oplulef,,,,1,1,
hodeable,rs,,,hode,able,,8,edohable,,,edoh,elba,,,,hodiable,hodeablo,,,,3,3,,,,esohelba,edohalba,,,,1,0,
sidable,rs,,,sid,able,,7,disable,,,dis,elba,,,,tidable,sidablo,,,,0,3,,,,ditelba,disalba,,,,2,0,
sidion,rs,,,sid,ion,,6,dision,,,dis,noi,,,,sition,sidien,,,,2,1,,,,dixnoi,disyoi,,,,2,0,
ulpoion,rs,,,ulpo,ion,,7,opluion,,,oplu,noi,,,,urpoion,ulpoien,,,,1,1,,,,oplonoi,oplunoe,,,,3,2,
rerhful,rs,,,rerh,ful,,7,hrerful,,,hrer,luf,,,,jerhful,rerhfol,,,,0,1,,,,hrewluf,hrerluh,,,,3,2,
epaer,rs,,,epa,er,,5,apeer,,,ape,re,,,,epeer,epaur,,,,2,0,,,,ipere,apeme,,,,0,0,
eyser,rs,,,eys,er,,5,syeer,,,sye,re,,,,oyser,eysir,,,,0,0,,,,srere,syera,,,,1,1,
abepful,rs,,,abep,ful,,7,pebaful,,,peba,luf,,,,agepful,abepfel,,,,1,1,,,,pepaluf,pebalef,,,,2,1,
hodeion,rs,,,hode,ion,,7,edohion,,,edoh,noi,,,,hideion,hodeien,,,,1,1,,,,etohnoi,edohnoa,,,,1,2,
sidion,rs,,,sid,ion,,6,dision,,,dis,noi,,,,sadion,sidoon,,,,1,0,,,,dosnoi,disnei,,,,1,1,
hodeable,rs,,,hode,able,,8,edohable,,,edoh,elba,,,,podeable,hodeabre,,,,0,2,,,,ecohelba,edohelbi,,,,1,3,
sidion,rs,,,sid,ion,,6,dision,,,dis,noi,,,,sadion,sidien,,,,1,1,,,,dosnoi,disnoa,,,,1,2,
ulpoful,rs,,,ulpo,ful,,7,opluful,,,oplu,luf,,,,elpoful,ulpopul,,,,0,0,,,,apluluf,oplulef,,,,0,1,
titegful,rs,,,titeg,ful,,8,getitful,,,getit,luf,,,,hitegful,titegfel,,,,0,1,,,,setitluf,getitlef,,,,0,1,
mitful,rs,,,mit,ful,,6,timful,,,tim,luf,,,,misful,mitvul,,,,2,0,,,,tomluf,timlof,,,,1,1,
balable,rs,,,bal,able,,7,labable,,,lab,elba,,,,bamable,balaple,,,,2,1,,,,lahelba,labilba,,,,2,0,
balable,rs,,,bal,able,,7,labable,,,lab,elba,,,,halable,balablu,,,,0,3,,,,lobelba,labemba,,,,1,1,
hodeion,rs,,,hode,ion,,7,edohion,,,edoh,noi,,,,hoheion,hodeiol,,,,2,2,,,,edehnoi,edohnei,,,,2,1,
baler,rs,,,bal,er,,5,laber,,,lab,re,,,,buler,balem,,,,1,1,,,,lobre,lable,,,,1,0,
sidable,rs,,,sid,able,,7,disable,,,dis,elba,,,,fidable,sidabla,,,,0,3,,,,deselba,diselsa,,,,1,2,
