Token,Condition,Prefix2,Prefix1,Root,Suffix1,Suffix2,Wordlength,Monomorpheme,MonoPrefix2,MonoPrefix1,MonoRoot,MonoSuffix1,MonoSuffix2,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,MonoErrorPrefix2,MonoErrorPrefix1,MonoErrorRoot,MonoErrorSuffix1,MonoErrorSuffix2,MonoChangedIndexP2,MonoChangedIndexP1,MonoChangedIndexR,MonoChangedIndexS1,MonoChangedIndexS2
bal,r,,,bal,,,3,lab,,,lab,,,,,bel,,,,,1,,,,,lob,,,,,1,,
hode,r,,,hode,,,4,edoh,,,edoh,,,,,gode,,,,,0,,,,,edeh,,,,,2,,
bal,r,,,bal,,,3,lab,,,lab,,,,,bel,,,,,1,,,,,lap,,,,,2,,
abep,r,,,abep,,,4,peba,,,peba,,,,,abip,,,,,2,,,,,heba,,,,,0,,
abep,r,,,abep,,,4,peba,,,peba,,,,,abap,,,,,2,,,,,pebi,,,,,3,,
bal,r,,,bal,,,3,lab,,,lab,,,,,fal,,,,,0,,,,,lub,,,,,1,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,elpo,,,,,0,,,,,uplu,,,,,0,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sit,,,,,2,,,,,dig,,,,,2,,
bal,r,,,bal,,,3,lab,,,lab,,,,,hal,,,,,0,,,,,lat,,,,,2,,
epa,r,,,epa,,,3,ape,,,ape,,,,,eta,,,,,1,,,,,ade,,,,,1,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,ulpe,,,,,3,,,,,oqlu,,,,,1,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sod,,,,,1,,,,,fis,,,,,0,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,ulto,,,,,2,,,,,iplu,,,,,0,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,olpo,,,,,0,,,,,ople,,,,,3,,
epa,r,,,epa,,,3,ape,,,ape,,,,,eda,,,,,1,,,,,ase,,,,,1,,
hode,r,,,hode,,,4,edoh,,,edoh,,,,,hade,,,,,1,,,,,edog,,,,,3,,
eys,r,,,eys,,,3,sye,,,sye,,,,,eyb,,,,,2,,,,,syi,,,,,2,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,hiteg,,,,,0,,,,,gatit,,,,,1,,
hode,r,,,hode,,,4,edoh,,,edoh,,,,,hede,,,,,1,,,,,adoh,,,,,0,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,tiheg,,,,,2,,,,,gehit,,,,,2,,
abep,r,,,abep,,,4,peba,,,peba,,,,,ebep,,,,,0,,,,,pebo,,,,,3,,
mit,r,,,mit,,,3,tim,,,tim,,,,,mat,,,,,1,,,,,tam,,,,,1,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sif,,,,,2,,,,,tis,,,,,0,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,reyh,,,,,2,,,,,hrur,,,,,2,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,rirh,,,,,1,,,,,hmer,,,,,1,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,teteg,,,,,1,,,,,gatit,,,,,1,,
eys,r,,,eys,,,3,sye,,,sye,,,,,ays,,,,,0,,,,,sne,,,,,1,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,hiteg,,,,,0,,,,,gatit,,,,,1,,
epa,r,,,epa,,,3,ape,,,ape,,,,,eta,,,,,1,,,,,api,,,,,2,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,tikeg,,,,,2,,,,,gefit,,,,,2,,
epa,r,,,epa,,,3,ape,,,ape,,,,,epo,,,,,2,,,,,ate,,,,,1,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,alpo,,,,,0,,,,,ople,,,,,3,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,titeh,,,,,4,,,,,gedit,,,,,2,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,ulso,,,,,2,,,,,ohlu,,,,,1,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,uwpo,,,,,1,,,,,opyu,,,,,2,,
eys,r,,,eys,,,3,sye,,,sye,,,,,eyg,,,,,2,,,,,sya,,,,,2,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,remh,,,,,2,,,,,hmer,,,,,1,,
mit,r,,,mit,,,3,tim,,,tim,,,,,rit,,,,,0,,,,,him,,,,,0,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,ulpe,,,,,3,,,,,iplu,,,,,0,,
hode,r,,,hode,,,4,edoh,,,edoh,,,,,pode,,,,,0,,,,,evoh,,,,,1,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,elpo,,,,,0,,,,,aplu,,,,,0,,
hode,r,,,hode,,,4,edoh,,,edoh,,,,,hote,,,,,2,,,,,adoh,,,,,0,,
abep,r,,,abep,,,4,peba,,,peba,,,,,atep,,,,,1,,,,,pebu,,,,,3,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sip,,,,,2,,,,,tis,,,,,0,,
abep,r,,,abep,,,4,peba,,,peba,,,,,obep,,,,,0,,,,,pega,,,,,2,,
mit,r,,,mit,,,3,tim,,,tim,,,,,met,,,,,1,,,,,tam,,,,,1,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,elpo,,,,,0,,,,,odlu,,,,,1,,
eys,r,,,eys,,,3,sye,,,sye,,,,,els,,,,,1,,,,,syo,,,,,2,,
eys,r,,,eys,,,3,sye,,,sye,,,,,eyx,,,,,2,,,,,sya,,,,,2,,
eys,r,,,eys,,,3,sye,,,sye,,,,,ers,,,,,1,,,,,syi,,,,,2,,
eys,r,,,eys,,,3,sye,,,sye,,,,,eyd,,,,,2,,,,,hye,,,,,0,,
mit,r,,,mit,,,3,tim,,,tim,,,,,rit,,,,,0,,,,,tir,,,,,2,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,ulto,,,,,2,,,,,ople,,,,,3,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,ulpa,,,,,3,,,,,ovlu,,,,,1,,
sid,r,,,sid,,,3,dis,,,dis,,,,,gid,,,,,0,,,,,his,,,,,0,,
epa,r,,,epa,,,3,ape,,,ape,,,,,epi,,,,,2,,,,,apo,,,,,2,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sed,,,,,1,,,,,bis,,,,,0,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,biteg,,,,,0,,,,,gedit,,,,,2,,
abep,r,,,abep,,,4,peba,,,peba,,,,,obep,,,,,0,,,,,deba,,,,,0,,
epa,r,,,epa,,,3,ape,,,ape,,,,,eta,,,,,1,,,,,abe,,,,,1,,
hode,r,,,hode,,,4,edoh,,,edoh,,,,,hope,,,,,2,,,,,edeh,,,,,2,,
hode,r,,,hode,,,4,edoh,,,edoh,,,,,hoda,,,,,3,,,,,esoh,,,,,1,,
abep,r,,,abep,,,4,peba,,,peba,,,,,adep,,,,,1,,,,,poba,,,,,1,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,teteg,,,,,1,,,,,gevit,,,,,2,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,elpo,,,,,0,,,,,opmu,,,,,2,,
abep,r,,,abep,,,4,peba,,,peba,,,,,ebep,,,,,0,,,,,pesa,,,,,2,,
bal,r,,,bal,,,3,lab,,,lab,,,,,dal,,,,,0,,,,,leb,,,,,1,,
mit,r,,,mit,,,3,tim,,,tim,,,,,mat,,,,,1,,,,,him,,,,,0,,
epa,r,,,epa,,,3,ape,,,ape,,,,,opa,,,,,0,,,,,ahe,,,,,1,,
epa,r,,,epa,,,3,ape,,,ape,,,,,epu,,,,,2,,,,,epe,,,,,0,,
mit,r,,,mit,,,3,tim,,,tim,,,,,rit,,,,,0,,,,,tir,,,,,2,,
bal,r,,,bal,,,3,lab,,,lab,,,,,sal,,,,,0,,,,,rab,,,,,0,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,ulho,,,,,2,,,,,otlu,,,,,1,,
bal,r,,,bal,,,3,lab,,,lab,,,,,bel,,,,,1,,,,,lob,,,,,1,,
epa,r,,,epa,,,3,ape,,,ape,,,,,eka,,,,,1,,,,,api,,,,,2,,
bal,r,,,bal,,,3,lab,,,lab,,,,,kal,,,,,0,,,,,las,,,,,2,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,biteg,,,,,0,,,,,tetit,,,,,0,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,rewh,,,,,2,,,,,hmer,,,,,1,,
bal,r,,,bal,,,3,lab,,,lab,,,,,bol,,,,,1,,,,,las,,,,,2,,
mit,r,,,mit,,,3,tim,,,tim,,,,,nit,,,,,0,,,,,pim,,,,,0,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,rers,,,,,3,,,,,hmer,,,,,1,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,rerd,,,,,3,,,,,hmer,,,,,1,,
epa,r,,,epa,,,3,ape,,,ape,,,,,epe,,,,,2,,,,,apo,,,,,2,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,rert,,,,,3,,,,,crer,,,,,0,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,rerp,,,,,3,,,,,hrir,,,,,2,,
bal,r,,,bal,,,3,lab,,,lab,,,,,cal,,,,,0,,,,,lav,,,,,2,,
abep,r,,,abep,,,4,peba,,,peba,,,,,ahep,,,,,1,,,,,peca,,,,,2,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sed,,,,,1,,,,,des,,,,,1,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,ulpu,,,,,3,,,,,opla,,,,,3,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sod,,,,,1,,,,,des,,,,,1,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,rewh,,,,,2,,,,,prer,,,,,0,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,toteg,,,,,1,,,,,getet,,,,,3,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,rirh,,,,,1,,,,,hrir,,,,,2,,
abep,r,,,abep,,,4,peba,,,peba,,,,,ahep,,,,,1,,,,,poba,,,,,1,,
eys,r,,,eys,,,3,sye,,,sye,,,,,uys,,,,,0,,,,,syo,,,,,2,,
bal,r,,,bal,,,3,lab,,,lab,,,,,bol,,,,,1,,,,,lah,,,,,2,,
sid,r,,,sid,,,3,dis,,,dis,,,,,cid,,,,,0,,,,,dih,,,,,2,,
titeg,r,,,titeg,,,5,getit,,,getit,,,,,titek,,,,,4,,,,,gotit,,,,,1,,
epa,r,,,epa,,,3,ape,,,ape,,,,,ipa,,,,,0,,,,,api,,,,,2,,
sid,r,,,sid,,,3,dis,,,dis,,,,,sip,,,,,2,,,,,dit,,,,,2,,
hode,r,,,hode,,,4,edoh,,,edoh,,,,,kode,,,,,0,,,,,udoh,,,,,0,,
eys,r,,,eys,,,3,sye,,,sye,,,,,ers,,,,,1,,,,,sya,,,,,2,,
hode,r,,,hode,,,4,edoh,,,edoh,,,,,hohe,,,,,2,,,,,edoc,,,,,3,,
bal,r,,,bal,,,3,lab,,,lab,,,,,tal,,,,,0,,,,,rab,,,,,0,,
mit,r,,,mit,,,3,tim,,,tim,,,,,mib,,,,,2,,,,,tin,,,,,2,,
mit,r,,,mit,,,3,tim,,,tim,,,,,mut,,,,,1,,,,,tom,,,,,1,,
abep,r,,,abep,,,4,peba,,,peba,,,,,abap,,,,,2,,,,,pebe,,,,,3,,
bal,r,,,bal,,,3,lab,,,lab,,,,,bol,,,,,1,,,,,lav,,,,,2,,
ulpo,r,,,ulpo,,,4,oplu,,,oplu,,,,,elpo,,,,,0,,,,,aplu,,,,,0,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,rirh,,,,,1,,,,,hrir,,,,,2,,
eys,r,,,eys,,,3,sye,,,sye,,,,,ays,,,,,0,,,,,tye,,,,,0,,
mit,r,,,mit,,,3,tim,,,tim,,,,,yit,,,,,0,,,,,tiy,,,,,2,,
epa,r,,,epa,,,3,ape,,,ape,,,,,eda,,,,,1,,,,,ate,,,,,1,,
rerh,r,,,rerh,,,4,hrer,,,hrer,,,,,remh,,,,,2,,,,,hrey,,,,,3,,
bal,r,,,bal,,,3,lab,,,lab,,,,,ban,,,,,2,,,,,lib,,,,,1,,
hode,r,,,hode,,,4,edoh,,,edoh,,,,,hide,,,,,1,,,,,odoh,,,,,0,,
mit,r,,,mit,,,3,tim,,,tim,,,,,mih,,,,,2,,,,,tin,,,,,2,,
epa,r,,,epa,,,3,ape,,,ape,,,,,epe,,,,,2,,,,,api,,,,,2,,
bal,r,,,bal,,,3,lab,,,lab,,,,,bol,,,,,1,,,,,rab,,,,,0,,
