Token,Condition,n_trials,Prefix3,Prefix2,Prefix1,Root,Suffix1,Suffix2,Suffix3,Wordlength,Monomorpheme,ErrorPrefix3,ErrorPrefix2,ErrorPrefix1,ErrorRoot,ErrorSuffix1,ErrorSuffix2,ErrorSuffix3,ChangedIndexP3,ChangedIndexP2,ChangedIndexP1,ChangedIndexR,ChangedIndexS1,ChangedIndexS2,ChangedIndexS3
inneek,pr,6,,,in,neek,,,,6,nikeen,,,onneek,inneeb,,,,,,0,3,,,
neekful,rs,6,,,,neek,ful,,,7,keenluf,,,,neetful,neekfel,,,,,,3,1,,
unmonion,prs,6,,,un,mon,ion,,,8,nunomnoi,,,urmonion,unmowion,unmonioy,,,,,1,2,2,,
