Suffix1,Suffix2,Suffix3,Frequency,Condition,n_affixes
ation,,,6530204,s,1
al,,,4704731,s,1
er,,,4569119,s,1
ly,,,3857999,s,1
ate,,,2569118,s,1
ic,,,1472797,s,1
ment,,,1423689,s,1
able,,,1227992,s,1
ance,,,977837,s,1
ure,,,541479,s,1
ious,,,450833,s,1
ful,,,429561,s,1
ist,,,382916,s,1
ism,,,218200,s,1
ness,,,181553,s,1
ic,al,,6177528,ss,2
ment,al,,6128420,ss,2
al,ly,,8562730,ss,2
ist,ic,,1855713,ss,2
ious,ly,,4308832,ss,2
ious,ness,,632386,ss,2
ly,ness,,4039552,ss,2
ful,ly,,4287560,ss,2
ful,ness,,611114,ss,2
ation,al,,11234935,ss,2
ic,al,ly,10035527,sss,3
ful,ly,ness,4469113,sss,3
ist,ic,ly,5713712,sss,3
ment,al,ly,9986419,sss,3
al,ist,ic,6560444,sss,3
